emissions_id,sector_id,emissions_value
US CRA:EPA_1010897:2012,US_WA_GHGRP:sector:Wood Products,809
US CRA:EPA_1010897:2013,US_WA_GHGRP:sector:Wood Products,559
US CRA:EPA_1010897:2014,US_WA_GHGRP:sector:Wood Products,605
US CRA:EPA_1010897:2015,US_WA_GHGRP:sector:Wood Products,530
US CRA:EPA_1010897:2016,US_WA_GHGRP:sector:Wood Products,561
US CRA:EPA_1010897:2017,US_WA_GHGRP:sector:Wood Products,582
US CRA:EPA_1010897:2018,US_WA_GHGRP:sector:Wood Products,559
US CRA:EPA_1010897:2019,US_WA_GHGRP:sector:Wood Products,769
US CRA:EPA_1010897:2020,US_WA_GHGRP:sector:Wood Products,520
US GHR:EPA_1010895:2012,US_WA_GHGRP:sector:Wood Products,7204
US GHR:EPA_1010895:2013,US_WA_GHGRP:sector:Wood Products,3852
US GHR:EPA_1010895:2014,US_WA_GHGRP:sector:Wood Products,3621
US GHR:EPA_1010895:2015,US_WA_GHGRP:sector:Wood Products,3603
US GHR:EPA_1010895:2016,US_WA_GHGRP:sector:Wood Products,4601
US GHR:EPA_1010895:2017,US_WA_GHGRP:sector:Wood Products,3833
US GHR:EPA_1010895:2018,US_WA_GHGRP:sector:Wood Products,3968
US GHR:EPA_1010895:2019,US_WA_GHGRP:sector:Wood Products,5541
US GHR:EPA_1010895:2020,US_WA_GHGRP:sector:Wood Products,4813
US PAE:EPA_1000640:2012,US_WA_GHGRP:sector:Manufacturing,71463
US PAE:EPA_1000640:2013,US_WA_GHGRP:sector:Manufacturing,73643
US PAE:EPA_1000640:2014,US_WA_GHGRP:sector:Manufacturing,73522
US PAE:EPA_1000640:2015,US_WA_GHGRP:sector:Manufacturing,66276
US PAE:EPA_1000640:2016,US_WA_GHGRP:sector:Manufacturing,76191
US PAE:EPA_1000640:2017,US_WA_GHGRP:sector:Manufacturing,80529
US PAE:EPA_1000640:2018,US_WA_GHGRP:sector:Manufacturing,72308
US PAE:EPA_1000640:2019,US_WA_GHGRP:sector:Manufacturing,77572
US PAE:EPA_1000640:2020,US_WA_GHGRP:sector:Manufacturing,67553
