target_id,tag_id
IGES_NDC:unconditional:AD,BAU
IGES_NDC:unconditional:AE,BAU
IGES_NDC:unconditional:AL,BAU
IGES_NDC:unconditional:AO,BAU
IGES_NDC:unconditional:BD,BAU
IGES_NDC:unconditional:BF,BAU
IGES_NDC:unconditional:BI,BAU
IGES_NDC:unconditional:BJ,BAU
IGES_NDC:unconditional:BN,BAU
IGES_NDC:unconditional:BS,BAU
IGES_NDC:unconditional:CD,BAU
IGES_NDC:unconditional:CF,BAU
IGES_NDC:unconditional:CI,BAU
IGES_NDC:unconditional:CO,BAU
IGES_NDC:unconditional:DO,BAU
IGES_NDC:unconditional:DZ,BAU
IGES_NDC:unconditional:EG,BAU
IGES_NDC:unconditional:ET,BAU
IGES_NDC:unconditional:FJ,BAU
IGES_NDC:unconditional:GM,BAU
IGES_NDC:unconditional:GT,BAU
IGES_NDC:unconditional:GW,BAU
IGES_NDC:unconditional:HN,BAU
IGES_NDC:unconditional:HT,BAU
IGES_NDC:unconditional:ID,BAU
IGES_NDC:unconditional:IR,BAU
IGES_NDC:unconditional:JM,BAU
IGES_NDC:unconditional:JO,BAU
IGES_NDC:unconditional:KE,BAU
IGES_NDC:unconditional:KG,BAU
IGES_NDC:unconditional:KH,BAU
IGES_NDC:unconditional:KI,BAU
IGES_NDC:unconditional:KM,BAU
IGES_NDC:unconditional:KP,BAU
IGES_NDC:unconditional:KW,BAU
IGES_NDC:unconditional:LB,BAU
IGES_NDC:unconditional:LK,BAU
IGES_NDC:unconditional:LR,BAU
IGES_NDC:unconditional:LS,BAU
IGES_NDC:unconditional:MA,BAU
IGES_NDC:unconditional:MG,BAU
IGES_NDC:unconditional:ML,BAU
IGES_NDC:unconditional:MN,BAU
IGES_NDC:unconditional:MR,BAU
IGES_NDC:unconditional:MU,BAU
IGES_NDC:unconditional:MW,BAU
IGES_NDC:unconditional:MX,BAU
IGES_NDC:unconditional:MZ,BAU
IGES_NDC:unconditional:NE,BAU
IGES_NDC:unconditional:NG,BAU
IGES_NDC:unconditional:OM,BAU
IGES_NDC:unconditional:PA,BAU
IGES_NDC:unconditional:PH,BAU
IGES_NDC:unconditional:PK,BAU
IGES_NDC:unconditional:PS,BAU
IGES_NDC:unconditional:PY,BAU
IGES_NDC:unconditional:RW,BAU
IGES_NDC:unconditional:SC,BAU
IGES_NDC:unconditional:SD,BAU
IGES_NDC:unconditional:SN,BAU
IGES_NDC:unconditional:SO,BAU
IGES_NDC:unconditional:ST,BAU
IGES_NDC:unconditional:SZ,BAU
IGES_NDC:unconditional:TG,BAU
IGES_NDC:unconditional:TH,BAU
IGES_NDC:unconditional:TR,BAU
IGES_NDC:unconditional:TT,BAU
IGES_NDC:unconditional:TZ,BAU
IGES_NDC:unconditional:UG,BAU
IGES_NDC:unconditional:VC,BAU
IGES_NDC:unconditional:VE,BAU
IGES_NDC:unconditional:VN,BAU
IGES_NDC:unconditional:YE,BAU
IGES_NDC:unconditional:ZM,BAU
IGES_NDC:unconditional:AD,unconditional
IGES_NDC:unconditional:AE,unconditional
IGES_NDC:unconditional:AL,unconditional
IGES_NDC:unconditional:AO,unconditional
IGES_NDC:unconditional:BD,unconditional
IGES_NDC:unconditional:BF,unconditional
IGES_NDC:unconditional:BI,unconditional
IGES_NDC:unconditional:BJ,unconditional
IGES_NDC:unconditional:BN,unconditional
IGES_NDC:unconditional:BS,unconditional
IGES_NDC:unconditional:CD,unconditional
IGES_NDC:unconditional:CF,unconditional
IGES_NDC:unconditional:CI,unconditional
IGES_NDC:unconditional:CO,unconditional
IGES_NDC:unconditional:DO,unconditional
IGES_NDC:unconditional:DZ,unconditional
IGES_NDC:unconditional:EG,unconditional
IGES_NDC:unconditional:ET,unconditional
IGES_NDC:unconditional:FJ,unconditional
IGES_NDC:unconditional:GM,unconditional
IGES_NDC:unconditional:GT,unconditional
IGES_NDC:unconditional:GW,unconditional
IGES_NDC:unconditional:HN,unconditional
IGES_NDC:unconditional:HT,unconditional
IGES_NDC:unconditional:ID,unconditional
IGES_NDC:unconditional:IR,unconditional
IGES_NDC:unconditional:JM,unconditional
IGES_NDC:unconditional:JO,unconditional
IGES_NDC:unconditional:KE,unconditional
IGES_NDC:unconditional:KG,unconditional
IGES_NDC:unconditional:KH,unconditional
IGES_NDC:unconditional:KI,unconditional
IGES_NDC:unconditional:KM,unconditional
IGES_NDC:unconditional:KP,unconditional
IGES_NDC:unconditional:KW,unconditional
IGES_NDC:unconditional:LB,unconditional
IGES_NDC:unconditional:LK,unconditional
IGES_NDC:unconditional:LR,unconditional
IGES_NDC:unconditional:LS,unconditional
IGES_NDC:unconditional:MA,unconditional
IGES_NDC:unconditional:MG,unconditional
IGES_NDC:unconditional:ML,unconditional
IGES_NDC:unconditional:MN,unconditional
IGES_NDC:unconditional:MR,unconditional
IGES_NDC:unconditional:MU,unconditional
IGES_NDC:unconditional:MW,unconditional
IGES_NDC:unconditional:MX,unconditional
IGES_NDC:unconditional:MZ,unconditional
IGES_NDC:unconditional:NE,unconditional
IGES_NDC:unconditional:NG,unconditional
IGES_NDC:unconditional:OM,unconditional
IGES_NDC:unconditional:PA,unconditional
IGES_NDC:unconditional:PH,unconditional
IGES_NDC:unconditional:PK,unconditional
IGES_NDC:unconditional:PS,unconditional
IGES_NDC:unconditional:PY,unconditional
IGES_NDC:unconditional:RW,unconditional
IGES_NDC:unconditional:SC,unconditional
IGES_NDC:unconditional:SD,unconditional
IGES_NDC:unconditional:SN,unconditional
IGES_NDC:unconditional:SO,unconditional
IGES_NDC:unconditional:ST,unconditional
IGES_NDC:unconditional:SZ,unconditional
IGES_NDC:unconditional:TG,unconditional
IGES_NDC:unconditional:TH,unconditional
IGES_NDC:unconditional:TR,unconditional
IGES_NDC:unconditional:TT,unconditional
IGES_NDC:unconditional:TZ,unconditional
IGES_NDC:unconditional:UG,unconditional
IGES_NDC:unconditional:VC,unconditional
IGES_NDC:unconditional:VE,unconditional
IGES_NDC:unconditional:VN,unconditional
IGES_NDC:unconditional:YE,unconditional
IGES_NDC:unconditional:ZM,unconditional
