actor_id,name,language,preferred,datasource_id
549300WDDKEXOHTWRW72,Sierra Pacific Industries,en,1,GLEIF_golden_copy
RVHJWBXLJ1RFUBSY1F30,The Boeing Company,en,1,GLEIF_golden_copy
