"actor_id","identifier","namespace","datasource_id"
"GD","GRD","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GP","GLP","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GU","GUM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GT","GTM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GG","GGY","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GN","GIN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GW","GNB","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GY","GUY","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"HT","HTI","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"HM","HMD","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"VA","VAT","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"HN","HND","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"HK","HKG","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"HU","HUN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"IS","ISL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"IN","IND","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"ID","IDN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"IR","IRN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"IQ","IRQ","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"IE","IRL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"IM","IMN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"IL","ISR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"IT","ITA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"JM","JAM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"JP","JPN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"JE","JEY","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"JO","JOR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"KZ","KAZ","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"KE","KEN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"KI","KIR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"KP","PRK","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"KR","KOR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"KW","KWT","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"KG","KGZ","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"LA","LAO","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"LV","LVA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"LB","LBN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"LS","LSO","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"LR","LBR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"LY","LBY","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"LI","LIE","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"LT","LTU","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"LU","LUX","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MO","MAC","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MG","MDG","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MW","MWI","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MY","MYS","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MV","MDV","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"ML","MLI","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MT","MLT","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MH","MHL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MQ","MTQ","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MR","MRT","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MU","MUS","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"YT","MYT","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MX","MEX","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"FM","FSM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MD","MDA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MC","MCO","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MN","MNG","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"ME","MNE","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MS","MSR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MA","MAR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MZ","MOZ","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MM","MMR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"NA","NAM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"NR","NRU","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"NP","NPL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"NL","NLD","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"NC","NCL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"NZ","NZL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"NI","NIC","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"NE","NER","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"NG","NGA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"NU","NIU","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"NF","NFK","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MK","MKD","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MP","MNP","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"NO","NOR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"OM","OMN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PK","PAK","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PW","PLW","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PS","PSE","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PA","PAN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PG","PNG","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PY","PRY","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PE","PER","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PH","PHL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PN","PCN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PL","POL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PT","PRT","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PR","PRI","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"QA","QAT","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"RO","ROU","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"RU","RUS","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"RW","RWA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"RE","REU","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"BL","BLM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SH","SHN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"KN","KNA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"LC","LCA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"MF","MAF","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"PM","SPM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"VC","VCT","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"WS","WSM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SM","SMR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"ST","STP","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SA","SAU","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SN","SEN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"RS","SRB","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SC","SYC","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SL","SLE","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SG","SGP","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SX","SXM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SK","SVK","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SI","SVN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SB","SLB","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SO","SOM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"ZA","ZAF","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GS","SGS","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SS","SSD","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"ES","ESP","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"LK","LKA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SD","SDN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SR","SUR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SJ","SJM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SE","SWE","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"CH","CHE","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"SY","SYR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TW","TWN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TJ","TJK","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TZ","TZA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TH","THA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TL","TLS","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TG","TGO","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TK","TKL","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TO","TON","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TT","TTO","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TN","TUN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TM","TKM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TC","TCA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TV","TUV","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"TR","TUR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"UG","UGA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"UA","UKR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AE","ARE","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"GB","GBR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"UM","UMI","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"US","USA","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"UY","URY","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"UZ","UZB","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"VU","VUT","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"VE","VEN","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"VN","VNM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"VG","VGB","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"VI","VIR","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"WF","WLF","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"EH","ESH","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"YE","YEM","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"ZM","ZMB","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"ZW","ZWE","ISO-3166-1 alpha-3","ISO 3166-1:2020"
"AF","004","ISO-3166-1 numeric","ISO 3166-1:2020"
"AL","008","ISO-3166-1 numeric","ISO 3166-1:2020"
"DZ","012","ISO-3166-1 numeric","ISO 3166-1:2020"
