actor_id,country_emissions,country_targets,country_population,country_gdp,country_territory,subnational_count,subnational_emissions,subnational_targets,subnational_population,subnational_gdp,subnational_territory,city_count,city_emissions,city_targets,city_population,city_gdp,city_territory
IM,0,0,1,0,1,0,0,0,0,0,0,,,,,,
IL,1,1,1,1,1,6,0,0,3,0,6,,,,,,
IT,1,1,1,1,1,20,2,2,20,0,20,,,,,,
JM,1,1,1,1,1,14,0,0,12,0,14,,,,,,
JP,1,1,1,1,1,47,0,0,46,0,47,,,,,,
JE,0,0,1,0,0,0,0,0,0,0,0,,,,,,
JO,1,1,1,1,1,12,0,0,12,0,12,,,,,,
KZ,1,1,1,1,1,17,0,0,7,0,17,,,,,,
VU,1,0,1,1,1,6,0,0,0,0,6,,,,,,
VN,1,1,1,1,1,63,0,0,6,0,63,,,,,,
KE,1,1,1,1,1,47,0,0,47,0,46,,,,,,
KI,1,1,1,1,1,3,0,0,3,0,2,,,,,,
KW,1,1,1,1,1,6,0,0,0,0,6,,,,,,
KG,1,1,1,1,1,9,0,0,2,0,9,,,,,,
LV,1,1,1,1,1,43,0,0,43,0,43,,,,,,
LB,1,1,1,1,1,8,0,0,2,0,8,,,,,,
LS,1,1,1,1,1,10,0,0,8,0,10,,,,,,
LR,1,1,1,1,1,15,0,0,15,0,15,,,,,,
LY,1,0,1,1,1,22,0,0,0,0,9,,,,,,
LI,1,1,1,0,1,11,0,0,11,0,11,,,,,,
LT,1,1,1,1,1,10,0,0,5,0,10,,,,,,
LU,1,1,1,1,1,12,0,0,12,0,12,,,,,,
MO,1,0,1,1,1,0,0,0,0,0,0,,,,,,
MG,1,1,1,1,1,6,0,0,0,0,6,,,,,,
MW,1,1,1,1,1,3,0,0,3,0,3,,,,,,
MY,1,1,1,1,1,16,0,0,9,0,16,,,,,,
MV,1,0,1,1,1,21,0,0,0,0,4,,,,,,
ML,1,1,1,1,1,11,0,0,8,0,10,,,,,,
MT,1,1,1,1,1,68,0,0,1,0,68,,,,,,
MQ,0,0,1,0,0,0,0,0,0,0,0,,,,,,
MR,1,1,1,1,1,15,0,0,7,0,15,,,,,,
MU,1,1,1,1,1,12,0,0,0,0,12,,,,,,
YT,0,0,1,0,0,0,0,0,0,0,0,,,,,,
MX,1,1,1,1,1,32,12,5,26,0,32,,,,,,
NA,1,0,0,1,1,14,0,0,0,0,12,,,,,,
BH,1,0,1,1,1,4,0,0,1,0,4,,,,,,
BD,1,1,1,1,1,8,0,0,6,0,8,,,,,,
BB,1,1,1,1,1,11,0,0,0,0,11,,,,,,
BY,1,1,1,1,1,7,0,0,7,0,7,,,,,,
BE,1,1,1,1,1,3,0,0,3,0,3,,,,,,
BZ,1,1,1,1,1,6,0,0,0,0,6,,,,,,
BJ,1,1,1,1,1,12,0,0,11,0,12,,,,,,
BM,0,0,1,0,1,0,0,0,0,0,0,,,,,,
AX,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BT,1,0,1,1,1,20,0,0,17,0,19,,,,,,
BQ,0,0,1,0,0,3,0,0,1,0,3,,,,,,
BA,1,1,1,1,1,3,0,0,1,0,3,,,,,,
BW,1,1,1,1,1,16,0,0,2,0,10,,,,,,
GE,1,1,1,1,1,12,0,0,11,0,12,,,,,,
DE,1,1,1,1,1,16,1,0,13,0,16,,,,,,
BO,1,0,1,1,1,9,0,0,1,0,9,,,,,,
IO,0,0,0,0,0,0,0,0,0,0,0,,,,,,
KY,0,0,1,0,1,0,0,0,0,0,0,,,,,,
CF,1,1,1,1,1,17,0,0,1,0,17,,,,,,
CC,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FI,1,1,1,1,1,19,0,0,19,0,19,,,,,,
FR,1,1,1,1,1,26,0,0,19,0,26,,,,,,
