actor_id,lat,lng,datasource_id
ECCC:GHGRP:10001,485650,-716555,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10003,0,0,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10004,442095,-767246,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10006,538420,-1130930,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10007,535319,-1133649,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10008,510490,-1140670,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10009,549231,-1128618,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10010,540028,-1286953,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10011,465217,-843637,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10012,501582,-664415,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10013,492583,-681461,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10014,463829,-723874,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10015,535090,-1134088,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10016,488361,-915656,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10018,525647,-1121414,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10020,452753,-660269,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10021,451123,-730129,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10022,479058,-658670,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10024,490960,-1030305,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10025,483486,-893067,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10026,497583,-972004,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10027,437512,-797168,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10028,498449,-998896,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10029,531812,-1157625,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10030,529470,-1159026,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10031,422798,-830946,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10032,438685,-791005,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10033,452393,-633347,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10036,492944,-1229888,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10038,0,0,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10039,429437,-824153,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10040,511805,-1139366,ECCC:GHGRP_facilities:2022-04-14
