tag_id,tag_name
GHGs_included_CO2_CH4_N2O_F_gases,"GHGs included: CO2, CH4, N2O, and F-gases"
excludes_international_shipping_aviation,Excludes emissions from international shipping and aviation
excludes_LULUCF,Excludes LULUCF
GWP_100_AR5,Uses GWP100 from IPCC AR5
