ISO-3166-1,Region Name, ISO-3166-2
BE,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest,BE-BRU
BE,Vlaanderen,BE-VLG
BE,Wallonie,BE-WAL
BG,Област_Благоевград,BG-01
BG,Област_Бургас,BG-02
BG,Област_Варна,BG-03
BG,Област_Велико Търново,BG-04
BG,Област_Видин,BG-05
BG,Област_Враца,BG-06
BG,Област_Габрово,BG-07
BG,Област_Добрич,BG-08
BG,Област_Кърджали,BG-09
BG,Област_Кюстендил,BG-10
BG,Област_Ловеч,BG-11
BG,Област_Монтана,BG-12
BG,Област_Пазарджик,BG-13
BG,Област_Перник,BG-14
BG,Област_Плевен,BG-15
BG,Област_Пловдив,BG-16
BG,Област_Разград,BG-17
BG,Област_Русе,BG-18
BG,Област_Силистра,BG-19
BG,Област_Сливен,BG-20
BG,Област_Смолян,BG-21
BG,Област_София-град,BG-22
BG,Област_Стара Загора,BG-23
BG,Област_Търговище,BG-24
BG,Област_Хасково,BG-25
BG,Област_Шумен,BG-26
BG,Област_Ямбол,BG-27
BG,Софийска,BG-28
CH,Kanton_Aargau,CH-AG
CH,Kanton_Appenzell Ausserrhoden,CH-AR
CH,Kanton_Appenzell Innerrhoden,CH-AI
CH,Kanton_Basel-Landschaft,CH-BL
CH,Kanton_Basel-Stadt,CH-BS
CH,Kanton_BernBerne,CH-BE
CH,Kanton_FribourgFreiburg,CH-FR
CH,Kanton_Genève,CH-GE
CH,Kanton_Glarus,CH-GL
CH,Kanton_GraubündenGrigioniGrischun,CH-GR
CH,Kanton_Jura,CH-JU
CH,Kanton_Luzern,CH-LU
CH,Kanton_Neuchâtel,CH-NE
CH,Kanton_Nidwalden,CH-NW
CH,Kanton_Obwalden,CH-OW
CH,Kanton_Sankt Gallen,CH-SG
CH,Kanton_Schaffhausen,CH-SH
CH,Kanton_Schwyz,CH-SZ
CH,Kanton_Solothurn,CH-SO
CH,Kanton_Thurgau,CH-TG
CH,Kanton_Ticino,CH-TI
CH,Kanton_Uri,CH-UR
CH,Kanton_ValaisWallis,CH-VS
CH,Kanton_Vaud,CH-VD
CH,Kanton_Zug,CH-ZG
CH,Kanton_Zürich,CH-ZH
CZ,Jihozápad,CZ-JM
CZ,Moravskoslezsko,CZ-MO
CZ,Praha,CZ-PR
CZ,Severovýchod,CZ-SA
CZ,Severozápad,CZ-SZ
CZ,Střední Morava,CZ-ST
CZ,Střední Čechy,CZ-SC
DE,Bundesland_Baden-Württemberg,DE-BW
DE,Bundesland_Brandenburg,DE-BB
DE,Bundesland_Bremen,DE-HB
DE,Bundesland_Hessen,DE-HE
DE,Bundesland_Mecklenburg-Vorpommern,DE-MV
DE,Bundesland_Niedersachsen,DE-NI
DE,Bundesland_Nordrhein-Westfalen,DE-NW
DE,Bundesland_Rheinland-Pfalz,DE-RP
DE,Bundesland_Saarland,DE-SL
DE,Bundesland_Sachsen-Anhalt,DE-ST
DE,Bundesland_Sachsen,DE-SN
DE,Bundesland_Schleswig-Holstein,DE-SH
DE,Bundesland_Thüringen,DE-TH
DE,Freie und Hansestadt_Hamburg,DE-HH
DE,Freistaat_Bayern,DE-BY
DK,Region Hovedstaden,DK-84
DK,Region Midtjylland,DK-82
DK,Region Nordjylland,DK-81
DK,Region Sjælland,DK-85
DK,Region Syddanmark,DK-83
ES,Asturias Asturies,ES-O
ES,Catalunya,ES-CT
ES,Comunidad de Madrid,ES-M
ES,Comunitat Valenciana,ES-VC
ES,Euskadi,ES-PV
ES,Galicia Galiza,ES-GA
ES,Gibraltar,ES-GI
ES,Illes Balears,ES-IB
ES,La Rioja,ES-RI
ES,Navarra - Nafarroa,ES-NA
ES,Región de Murcia,ES-MC
FI,Kanta-Häme,FI-07
FI,Landskapet Åland,FI-06
FI,Pirkanmaa,FI-16
FI,Pohjois-Karjala,FI-15
FI,Pohjois-Pohjanmaa,FI-14
FI,Pohjois-Savo,FI-13
FI,Päijät-Häme,FI-12
FI,Satakunta,FI-08
