ISO-3166-1,name,locode
CA,"Hamilton, ON",CA HMH
CA,"Calgary, AB",CA CAL
CA,Kitchener-Cambridge-Waterloo,CA KTC
CA,Ottawa-Gatineau,CA OTT
CA,"Winnipeg, MB",CA WNP
DE,Frankfurt,DE FRA
GR,Thessaloniki,GR SKG
IT,Genoa,IT GOA
JP,Nagoya,JP NGO
MX,"León, Mexico",MX LEN
SE,Gothenburg,SE GOT
US,"Chicago, IL",US CHI
US,Minneapolis-St. Paul,US MES
US,"Nashville and Davidson County, TN",US BNA
US,"Orlando, FL",US ORL
US,"Pittsburgh, PA",US PIT
US,"Portland, OR",US PDX
US,"San José, CA",US SJC
US,"Cincinnati, OH",US CVG
US,"Cleveland, OH",US CLE
US,Colorado Springs,US COS
US,Concord,US CON
US,"Fresno, CA",US FAT
US,"Louisville, KY",US LUI
US,"Memphis, TN",US MEM
US,"Rochester, NY",US ROC
US,"Springfield, Massachusetts",US WSP
TW,Gaoxiong,TW KHH
