actor_id,area,datasource_id
IT GSB,11,OEF:WD:city-area:20221105
IT IOR,6,OEF:WD:city-area:20221105
IT GOE,3,OEF:WD:city-area:20221105
IT GRA,9,OEF:WD:city-area:20221105
IT GRO,8,OEF:WD:city-area:20221105
IT GMD,10,OEF:WD:city-area:20221105
AT KDT,3,OEF:WD:city-area:20221105
SE SL2,244,OEF:WD:city-area:20221105
IT LLO,2,OEF:WD:city-area:20221105
IT LFF,7,OEF:WD:city-area:20221105
IT LNZ,13,OEF:WD:city-area:20221105
IT LEE,6,OEF:WD:city-area:20221105
IT LVR,8,OEF:WD:city-area:20221105
IT LUA,4,OEF:WD:city-area:20221105
IT Z7G,3,OEF:WD:city-area:20221105
IT ADO,3,OEF:WD:city-area:20221105
IT MPL,9,OEF:WD:city-area:20221105
IT EGO,22,OEF:WD:city-area:20221105
IT DLO,4,OEF:WD:city-area:20221105
IT ZNF,6,OEF:WD:city-area:20221105
IT OTL,2,OEF:WD:city-area:20221105
IT MSR,7,OEF:WD:city-area:20221105
IT MOZ,9,OEF:WD:city-area:20221105
IT MZP,4,OEF:WD:city-area:20221105
IT NEM,15,OEF:WD:city-area:20221105
IT OLM,8,OEF:WD:city-area:20221105
IT OOR,12,OEF:WD:city-area:20221105
IT OAS,3,OEF:WD:city-area:20221105
IT ORF,5,OEF:WD:city-area:20221105
IT OSS,8,OEF:WD:city-area:20221105
CA SPG,32,OEF:WD:city-area:20221105
IT ZZN,5,OEF:WD:city-area:20221105
IT PAD,2,OEF:WD:city-area:20221105
US CTK,8340000,OEF:WD:city-area:20221105
IT AZG,14,OEF:WD:city-area:20221105
IT PLC,11,OEF:WD:city-area:20221105
IT ZQU,22,OEF:WD:city-area:20221105
US SWS,17,OEF:WD:city-area:20221105
IT PBO,4,OEF:WD:city-area:20221105
IT PEQ,4,OEF:WD:city-area:20221105
IT PZB,7,OEF:WD:city-area:20221105
IT PXC,3,OEF:WD:city-area:20221105
IT PNS,6,OEF:WD:city-area:20221105
GR PAL,5,OEF:WD:city-area:20221105
GR MDR,19,OEF:WD:city-area:20221105
IT PSP,5,OEF:WD:city-area:20221105
IT NTC,8,OEF:WD:city-area:20221105
IT OTD,10,OEF:WD:city-area:20221105
IT PUO,11,OEF:WD:city-area:20221105
IT PLA,8,OEF:WD:city-area:20221105
IT PR2,11,OEF:WD:city-area:20221105
IT PS8,2,OEF:WD:city-area:20221105
IT ZXE,10,OEF:WD:city-area:20221105
IT IRN,4,OEF:WD:city-area:20221105
IT RGN,16,OEF:WD:city-area:20221105
IT ROL,19,OEF:WD:city-area:20221105
IT RVA,25,OEF:WD:city-area:20221105
IT SGB,31,OEF:WD:city-area:20221105
IT PLR,5,OEF:WD:city-area:20221105
IT SPT,23,OEF:WD:city-area:20221105
IT SOB,16,OEF:WD:city-area:20221105
IT SRI,7,OEF:WD:city-area:20221105
IT SZT,11,OEF:WD:city-area:20221105
NZ LYJ,377,OEF:WD:city-area:20221105
IT DR9,6,OEF:WD:city-area:20221105
IT SER,13,OEF:WD:city-area:20221105
NZ PRU,182,OEF:WD:city-area:20221105
IT WF2,27,OEF:WD:city-area:20221105
IT STO,12,OEF:WD:city-area:20221105
IT SOZ,1,OEF:WD:city-area:20221105
IT SNW,13,OEF:WD:city-area:20221105
IT SL8,12,OEF:WD:city-area:20221105
IT SNX,5,OEF:WD:city-area:20221105
IT OVR,18,OEF:WD:city-area:20221105
IT ESP,10,OEF:WD:city-area:20221105
IT STZ,9,OEF:WD:city-area:20221105
IT SRZ,4,OEF:WD:city-area:20221105
IT SUI,5,OEF:WD:city-area:20221105
IT TAB,11,OEF:WD:city-area:20221105
IT TEL,8,OEF:WD:city-area:20221105
IT TDO,4,OEF:WD:city-area:20221105
IT TBD,3,OEF:WD:city-area:20221105
IT TPC,11,OEF:WD:city-area:20221105
IT TOV,3,OEF:WD:city-area:20221105
IT ZVJ,14,OEF:WD:city-area:20221105
IT TVG,32,OEF:WD:city-area:20221105
IT TVL,8,OEF:WD:city-area:20221105
IT URG,15,OEF:WD:city-area:20221105
IT VBM,4,OEF:WD:city-area:20221105
IT VLI,4,OEF:WD:city-area:20221105
IT VRD,7,OEF:WD:city-area:20221105
IT VRT,16,OEF:WD:city-area:20221105
IT VII,5,OEF:WD:city-area:20221105
IT VOO,12,OEF:WD:city-area:20221105
IT VDD,6,OEF:WD:city-area:20221105
IT VAM,6,OEF:WD:city-area:20221105
IT VIL,5,OEF:WD:city-area:20221105
CA YOD,60,OEF:WD:city-area:20221105
IT VLD,5,OEF:WD:city-area:20221105
IT VOG,6,OEF:WD:city-area:20221105
IT ZAN,6,OEF:WD:city-area:20221105
IT ZNC,15,OEF:WD:city-area:20221105
IT ZGO,35,OEF:WD:city-area:20221105
AR XPD,2150,OEF:WD:city-area:20221105
JP OGA,104,OEF:WD:city-area:20221105
IT AGL,12,OEF:WD:city-area:20221105
IT AAZ,36,OEF:WD:city-area:20221105
IT ITA,55,OEF:WD:city-area:20221105
IT B52,16,OEF:WD:city-area:20221105
IT BVT,51,OEF:WD:city-area:20221105
IT UZN,7,OEF:WD:city-area:20221105
IT DEX,38,OEF:WD:city-area:20221105
IT CDS,37,OEF:WD:city-area:20221105
IT CR3,41,OEF:WD:city-area:20221105
NO DOM,2,OEF:WD:city-area:20221105
IT LMO,22,OEF:WD:city-area:20221105
RU ALE,4387,OEF:WD:city-area:20221105
IT LA6,25,OEF:WD:city-area:20221105
IT NAL,43,OEF:WD:city-area:20221105
IT APP,63,OEF:WD:city-area:20221105
IT MCZ,16,OEF:WD:city-area:20221105
IT CNG,44,OEF:WD:city-area:20221105
IT ZGV,53,OEF:WD:city-area:20221105
IT MOT,33,OEF:WD:city-area:20221105
IT CVP,35,OEF:WD:city-area:20221105
IT MNT,32,OEF:WD:city-area:20221105
IT PCA,79,OEF:WD:city-area:20221105
IT ZQH,13,OEF:WD:city-area:20221105
RU ABD,47,OEF:WD:city-area:20221105
IT GIO,36,OEF:WD:city-area:20221105
IT QUA,46,OEF:WD:city-area:20221105
IT SM9,86,OEF:WD:city-area:20221105
RU AZO,66,OEF:WD:city-area:20221105
IT FNZ,60,OEF:WD:city-area:20221105
IT GED,44,OEF:WD:city-area:20221105
IT GSL,31,OEF:WD:city-area:20221105
IT SEI,42,OEF:WD:city-area:20221105
NL RTM,12713,OEF:WD:city-area:20221105
IT ZBJ,35,OEF:WD:city-area:20221105
IT GPP,56,OEF:WD:city-area:20221105
IT UZZ,8,OEF:WD:city-area:20221105
IT LUV,54,OEF:WD:city-area:20221105
IT MCD,46,OEF:WD:city-area:20221105
IT NBN,44,OEF:WD:city-area:20221105
IT PAJ,36,OEF:WD:city-area:20221105
IT POD,44,OEF:WD:city-area:20221105
IT PDL,44,OEF:WD:city-area:20221105
IT PTN,34,OEF:WD:city-area:20221105
IT RGR,44,OEF:WD:city-area:20221105
IT RFO,35,OEF:WD:city-area:20221105
IT ZJP,49,OEF:WD:city-area:20221105
IT ARM,27,OEF:WD:city-area:20221105
IT VPC,73,OEF:WD:city-area:20221105
IT BEI,29,OEF:WD:city-area:20221105
IT BUP,23,OEF:WD:city-area:20221105
IT VGZ,42,OEF:WD:city-area:20221105
IT VSA,37,OEF:WD:city-area:20221105
IT ZFA,15,OEF:WD:city-area:20221105
IT ZZP,33,OEF:WD:city-area:20221105
IT CM3,14,OEF:WD:city-area:20221105
IT CT3,37,OEF:WD:city-area:20221105
IT CCN,79,OEF:WD:city-area:20221105
IT XCT,48,OEF:WD:city-area:20221105
IT MTM,46,OEF:WD:city-area:20221105
IT PI7,62,OEF:WD:city-area:20221105
IT CEP,27,OEF:WD:city-area:20221105
IT FAU,42,OEF:WD:city-area:20221105
IT LJT,73,OEF:WD:city-area:20221105
IT LRR,45,OEF:WD:city-area:20221105
IT IT5,19,OEF:WD:city-area:20221105
IT IMQ,155,OEF:WD:city-area:20221105
IT PMQ,20,OEF:WD:city-area:20221105
IT ZOK,30,OEF:WD:city-area:20221105
RU AKS,68,OEF:WD:city-area:20221105
IT PPB,74,OEF:WD:city-area:20221105
IT PCC,93,OEF:WD:city-area:20221105
IT PPP,228,OEF:WD:city-area:20221105
IT OAC,20,OEF:WD:city-area:20221105
IT PND,46,OEF:WD:city-area:20221105
IT RPA,59,OEF:WD:city-area:20221105
IT SGT,92,OEF:WD:city-area:20221105
IT SMI,102,OEF:WD:city-area:20221105
IT CSU,17,OEF:WD:city-area:20221105
IT XSL,67,OEF:WD:city-area:20221105
IT SAH,38,OEF:WD:city-area:20221105
RU ADH,33,OEF:WD:city-area:20221105
IT TTQ,43,OEF:WD:city-area:20221105
IT VEC,68,OEF:WD:city-area:20221105
IT OPI,27,OEF:WD:city-area:20221105
RU ALV,26,OEF:WD:city-area:20221105
RU AAD,26,OEF:WD:city-area:20221105
IT AQF,10,OEF:WD:city-area:20221105
RU SAK,22,OEF:WD:city-area:20221105
IT ARO,14,OEF:WD:city-area:20221105
IT AGZ,14,OEF:WD:city-area:20221105
IT ZKH,14,OEF:WD:city-area:20221105
RU ALX,34,OEF:WD:city-area:20221105
IT BS5,21,OEF:WD:city-area:20221105
IT AML,11,OEF:WD:city-area:20221105
IT BAM,31,OEF:WD:city-area:20221105
IT GOL,109,OEF:WD:city-area:20221105
RU ATK,115,OEF:WD:city-area:20221105
IT BBG,11,OEF:WD:city-area:20221105
RU AMU,145,OEF:WD:city-area:20221105
IT BAH,5,OEF:WD:city-area:20221105
IT BS2,9,OEF:WD:city-area:20221105
IT BED,26,OEF:WD:city-area:20221105
IT BER,5,OEF:WD:city-area:20221105
IT BZI,22,OEF:WD:city-area:20221105
IT IEN,31,OEF:WD:city-area:20221105
IT ION,17,OEF:WD:city-area:20221105
RU AGK,294,OEF:WD:city-area:20221105
IT ZDH,30,OEF:WD:city-area:20221105
IT BTL,8,OEF:WD:city-area:20221105
IT ZDX,6,OEF:WD:city-area:20221105
