"name","type","iso","locode"
"Bloomington, IN","City","USA","US B2L"
"Bloomington, IN","City","USA","US BMG"
"Bloomington, IN","City","USA","US B2M"
"Bloomington, IN","City","USA","US BQI"
"Bloomington, IN","City","USA","US BMR"
"Bloomington, IN","City","USA","US BLO"
"Barcelona","City","ESP","ES BCN"
"Dallas, TX","City","USA","US ZCO"
"Dallas, TX","City","USA","US DLB"
"Dallas, TX","City","USA","US DAC"
"Dallas, TX","City","USA","US DAE"
"Dallas, TX","City","USA","US DSP"
"Dallas, TX","City","USA","US DAL"
"Culver City, CA","City","USA","US KUV"
"Culver City, CA","City","USA","US CV8"
"Naples","City","ITA","IT NAP"
"Palmas","City","BRA","BR PMW"
"New York City, NY","City","USA","US T5X"
"Baltimore, MD","City","USA","US Z2A"
"Baltimore, MD","City","USA","US BZB"
"Cambridge, MA","City","USA","US 3CB"
"Cambridge, MA","City","USA","US 2CB"
"Cambridge, MA","City","USA","US JHY"
"Cambridge, MA","City","USA","US CGE"
"Cambridge, MA","City","USA","US B7G"
"Cambridge, MA","City","USA","US CBD"
"Cambridge, MA","City","USA","US CMB"
"Cambridge, MA","City","USA","US C45"
"Cambridge, MA","City","USA","US CR7"
"Cambridge, MA","City","USA","US CBH"
"Cambridge, MA","City","USA","US CB6"
"Cambridge, MA","City","USA","US AMG"
"Jersey City, NJ","City","USA","US JEC"
"Helsingborg","City","SWE","SE HEL"
"Aparecida","City","BRA","BR API"
"Hoboken, NJ","City","USA","US HBK"
"Florence","City","ITA","IT FLR"
"Hong Kong","City","HKG","HK HKG"
"Burlington, VT","City","USA","US BUU"
"Burlington, VT","City","USA","US BRL"
"Burlington, VT","City","USA","US BL7"
"Burlington, VT","City","USA","US BGZ"
"Burlington, VT","City","USA","US D3X"
"Burlington, VT","City","USA","US BHJ"
"Burlington, VT","City","USA","US BBF"
"Burlington, VT","City","USA","US B8U"
"Burlington, VT","City","USA","US UIG"
"Burlington, VT","City","USA","US XDD"
"Burlington, VT","City","USA","US BUH"
"Burlington, VT","City","USA","US UOG"
"Burlington, VT","City","USA","US JGZ"
"Burlington, VT","City","USA","US BGV"
"Burlington, VT","City","USA","US B9L"
"Burlington, VT","City","USA","US BTV"
"Burlington, VT","City","USA","US BGA"
"Burlington, VT","City","USA","US BUW"
"Burlington, VT","City","USA","US XCU"
"Arlington, VA","City","USA","US AGZ"
"Arlington, VA","City","USA","US ARD"
"Arlington, VA","City","USA","US IGN"
"Arlington, VA","City","USA","US RLG"
"Arlington, VA","City","USA","US IGB"
"Arlington, VA","City","USA","US ZAT"
"Arlington, VA","City","USA","US ARE"
"Arlington, VA","City","USA","US QAR"
"Arlington, VA","City","USA","US JIG"
"Arlington, VA","City","USA","US ARF"
"Arlington, VA","City","USA","US AGT"
"Arlington, VA","City","USA","US ARJ"
"Arlington, VA","City","USA","US ARP"
"Arlington, VA","City","USA","US XBC"
"Arlington, VA","City","USA","US AZZ"
"Arlington, VA","City","USA","US XBM"
"Bellingham, WA","City","USA","US BLI"
"Hoboken, NJ","City","USA","US OBP"
"Hoboken, NJ","City","USA","US HBK"
"Cañas","City","CRI","CR CAS"
"Leicester, UK","City","GBR","GB LCS"
"Helsingborg","City","SWE","SE HEL"
"Omaha, NE","City","USA","US OM3"
"Omaha, NE","City","USA","US OMA"
"Kristianstad","City","SWE","SE KID"
"Aurora, CO","City","USA","US AUZ"
