tag_id,tag_name
br,Brazil
brgov,Brazilian government data
pt,Data originally in Portuguese
population,Population datasource
census,Census data
city,City data
municipality,Municipality data
housing,Housing data
preliminary,Preliminary data
2022,2022 data
