actor_id,population,year,datasource_id
BR AFO,21494,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR AQM,96833,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CXI,5351,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CCL,86887,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CJS,15890,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CLW,15663,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR KMB,7519,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CQS,12627,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR EOT,29414,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR GJM,39387,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR JAR,50591,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR JPR,124333,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR MDW,30707,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR NBO,15679,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR OPE,35044,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR PBN,35079,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR PVH,460434,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR PMC,19327,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR RSP,3471,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR RMU,56406,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR ZIA,7419,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR VHA,95832,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR SOG,21635,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR NME,25444,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR AOE,13117,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR ADC,11479,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR ATP,16320,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR BUS,27992,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR NIO,7667,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CKU,4150,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CVN,8844,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CDJ,22310,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR KNH,3233,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CHU,9324,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CUM,14863,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR GJT,8001,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR IDW,8548,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR MNZ,6466,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR MED,9235,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR MTN,11548,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR NUO,6200,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR ECI,4125,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR PSO,2156,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR PVR,3076,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR SFT,5258,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR SCG,16286,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR GUE,11171,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR TXI,4256,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR THM,8113,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR URP,10725,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR VAI,7788,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR VPI,6479,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR ALI,14021,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR ABL,8100,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR BRL,26000,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR BUJ,12917,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CPX,10392,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CZS,91888,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR EPI,18757,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR FEJ,35426,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR JOO,9222,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR MLM,19294,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR MEU,11996,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR MTG,17093,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR PCC,16560,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR PWR,10735,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR RBR,364756,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR RAE,14938,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR RPU,6723,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR SGD,21454,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR SMA,41343,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR TAA,43467,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR XAI,18243,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR PWA,16693,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR AVS,15866,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR AMU,10819,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR ANM,9962,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR ANR,17194,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR AUI,20647,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR ADN,15314,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR AUS,41564,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR BAZ,18834,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR BEA,31051,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR BCT,37648,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR BEI,20718,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR BVR,23785,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR BCR,35447,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR BOB,33080,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR KPR,13469,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CTM,16869,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CRY,28742,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CRR,30792,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CVZ,19637,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CAR,70616,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR CDA,23549,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR ERN,33170,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR ENA,17186,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR FBA,25871,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR GJR,13815,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR HMA,57473,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR IXA,24311,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR IRB,61163,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR IAR,103598,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR YTR,10937,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR IPG,10162,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR JWA,8858,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR JRW,10742,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR JTY,25172,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR LBR,45448,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR MPR,101883,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR MQR,17107,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
BR MAO,2063689,2022,IBGE:agregados-prelimares-por-municipios-br:2024-03-20
