LOCODE,wikidata_id,distance
OMKHS,Q426646,
OMMCT,Q3826,1.785815906305715
OMNIZ,Q1915327,5.03155512705859e-08
OMQYT,Q3414795,5.713879408196354
OMRUS,Q623504,0.005021447735649853
OMSLL,Q1294439,
OMSOH,Q943270,
OMSUH,Q737270,
PABLB,Q2078026,
PABOC,Q888971,1.8309243836494653
PACTB,Q80777,1.3573338114226707
PADAV,Q279009,
PAGBT,Q2437057,1.8117675213178766
PALUM,Q3916792,0.5198087063522858
PALTB,Q2712890,8.238908986096909e-08
PAPCR,Q1985435,0.5198087063522858
PAAML,Q3130855,
PEAB4,Q215238,1.803384638583146
PEACO,Q2582682,1.5610516573108342
PEAIJ,Q3317408,5.193107369821561e-07
PEHAN,Q3317423,0.5867320903580207
PEANS,Q489660,
PEANT,Q879057,0.9808534611854597
PEAQP,Q159273,
PEATY,Q3322627,3.687097020964012e-08
PEAYP,Q504215,
PEAZA,Q2638284,1.8413305166754954
PEBAG,Q800155,5.217715958365701e-08
PEBAA,Q2582671,0.7549533927801148
PEBLP,Q3344055,
PECAJ,Q3344351,1.603685408264195
PECJA,Q205119,
PECJT,Q2638247,5.187476481215074e-08
PECAC,Q3344215,0.7552541694909926
PECLL,Q105037,
PECND,Q3344236,0.49401613095468894
PECAN,Q3344124,1.7654375609318071
PECTA,Q3322638,1.035835719081831e-07
PECHZ,Q1036082,2.170052856405552
PECAS,Q3236687,1.0669890269239202
PECEL,Q3344002,2.1739676563973354
PEPSC,Q674320,0.567471355302578
PECHH,Q757133,
PECHY,Q11168982,
PECIX,Q260911,
PECHM,Q518431,
PECAA,Q990685,3.609648114852766e-08
PECHS,Q878820,1.432552989276175
PECHT,Q2964558,2.1074331091641647
PECUP,Q3344173,1.3926333520815029
PECCP,Q43418,1.41983871693247
PECOZ,Q3344032,1.9119827580758126
PECOR,Q3318939,8.212759046688022e-08
PECUT,Q3348263,1.560013738361661
PECUZ,Q5582862,1.2293030099182987
PEDES,Q1200491,0.8693140202333911
PEFER,Q2143690,8.894511061641115
PEGDP,Q2117510,1.1817645963238503
PEHCO,Q1002052,
PEHCB,Q2307821,1.9968722318432286
PEHNC,Q2638267,1.2481877355645357
PEHUN,Q1000333,2.4074094927466856
PEJHY,Q468782,1.8145970132078773
PEHNT,Q2158344,1.6919599374327443
PEHUA,Q723677,2.1664045247481694
PEHUZ,Q793809,5.194817872838516e-08
PEHUI,Q3322143,7.1944656770049775
PEHUY,Q430862,
PEHYT,Q3344099,0.595930352778349
PEICA,Q840712,1.8000462209094572
PEILQ,Q1000341,
PEIQT,Q193289,
PEJAE,Q1229885,2.6057041883920316
PEJAU,Q917434,
PEJJI,Q2671983,2.621732977885106
PEJUL,Q696074,
PEJUN,Q2640092,3.641025790445337e-08
PELMC,Q1014543,1.3337272218179377
PELOA,Q1759360,
PELMA,Q3139869,5.21407993106075e-07
PELBQ,Q768086,0.0
PELMP,Q2638295,2.2489790472495224
PEMFT,Q676203,
PEMOH,Q934450,2.1357558539773596
PEMLQ,Q2351948,
PEMOQ,Q1000346,1.8445224544957215
PEMBP,Q285672,1.8451163480756783
PEOTU,Q3056421,1.9669464125678044
PEPAC,Q1279608,
PEPAI,Q1026270,
PEPAP,Q2640020,0.24104855025593805
PEPAM,Q25768004,
PEPAO,Q2989645,2.282965352243658
PEPAU,Q2989631,1.9434386043804863
PEPIO,Q290504,
PEPIU,Q223966,
PEPOM,Q3322611,1.218358404101085
PEPCL,Q217071,
PEPEM,Q541435,
PEPUN,Q232842,
PEREQ,Q3344103,0.7805901894931245
PERIJ,Q3344069,
PESNP,Q1134076,1.748409670862911
PESDA,Q3344209,5.1521069030357265e-08
PESDC,Q3344084,1.2843892863323216
PESQU,Q3344065,
PESIP,Q3057885,0.6263288825492612
PESIH,Q3055947,1.3259102871349897
PESUP,Q3504032,
PETCQ,Q272795,
PETYL,Q723584,
PETPP,Q927933,
