LOCODE,wikidata_id,distance
GABMM,Q1023124,
GACCB,Q491801,
GAFOU,Q1106169,
GAMVB,Q459369,
GAKOU,Q985614,2.6148108676161343
GALTL,Q1818610,3.5234591366340497
GALBV,Q3825,
GAMKU,Q1002583,
GAMDJ,Q16508929,1.9847689388584053
GAMVX,Q1100799,1.8540274610641698
GAMZC,Q3135733,
GAMJL,Q746670,
GAOYE,Q983886,
GATCH,Q690421,
GBABA,Q1765460,1.0569269148205769
GBABC,Q1868842,0.49582851318091975
GBABD,Q36405,1.8560401733177856
GBAFY,Q319566,0.9649063965768273
GBAGY,Q609161,0.049211983184862806
GBAEE,Q2771917,0.4324944988445818
GBABT,Q2272537,0.9930282620139358
GBAYW,Q213154,1.1339760688593246
GBABN,Q4667857,
GBACR,Q1622949,
GBACL,Q341938,0.6198888178999591
GBADN,Q353307,
GBADL,Q2293656,
GBAIR,Q408536,1.793615595640043
GBACS,Q1012025,
GBALB,Q2077402,
GBALD,Q646980,
GBADG,Q1807596,0.6726272451962442
GBALX,Q1240659,1.3767365130320186
GBABX,Q1876378,1.1349286390540194
GBALF,Q2462661,
GBAFT,Q1024099,1.3169814271173217
GBASE,Q737528,
GBALL,Q1009331,0.5062989840839149
GBASS,Q582452,0.7332579904079478
GBALW,Q1002826,
GBALG,Q2388660,
GBALS,Q2560190,
GBALN,Q443840,
GBACM,Q445058,0.3772756171430767
GBALA,Q448127,0.33510103236216776
GBAMB,Q1940839,
GBAML,Q391805,
GBAME,Q470188,
GBAMS,Q470299,
GBAMP,Q477350,1.0142236091157975
GBAVR,Q492805,
GBANN,Q564495,0.056556334914419214
GBANS,Q570401,0.7687569886740825
GBARB,Q630668,0.6058184645962675
GBARD,Q640073,2.986504784150871
GBASY,Q777460,1.3134201319569117
GBARE,Q2706897,0.38460324275743313
GBARO,Q694780,
GBARU,Q716658,
GBASC,Q723329,0.9757850999953103
GBASH,Q2190607,
GBABU,Q724915,0.08003216266767649
GBASD,Q725261,
GBASF,Q725270,
GBAST,Q202348,
GBARK,Q2555402,1.1029515200199338
GBAXP,Q1857198,1.5183964504786556
GB2AB,Q649838,0.22636744472103493
GBATH,Q747778,1.3636068827969772
GBATR,Q755504,0.7789954680659382
GBATC,Q4818260,0.6681304138386285
GBAWL,Q1975526,
GBACH,Q758623,
GBAMU,Q758624,0.7638463214322982
GBAUD,Q2575099,1.1739126033731488
GBAVE,Q2449718,
GBAIE,Q790938,
GBAVO,Q1792885,1.0935638607587195
GBAXB,Q651889,1.1231937569030717
GBAXM,Q792596,1.175401805443887
GBAYL,Q213474,
GBAYT,Q4831398,0.5211284168261366
GBAYH,Q237625,0.8451368807390598
GBAYR,Q654216,1.698557972002962
GBBAP,Q2514944,
GBBGL,Q3401133,0.1730127888473494
GBBAI,Q2575062,0.26573742198621875
GBBKW,Q2462719,
GBBAA,Q171923,
GBBAL,Q789348,
GBBLO,Q2880785,2.0801455912641726
GBBAX,Q805175,0.5801448065939708
GBBIN,Q1012304,1.0356411184118568
GBBPD,Q1229091,0.7369944780007535
GBBAB,Q806160,
GBBNC,Q806177,1.7114188039127065
GBBFF,Q54809,0.558259146697526
GBBNG,Q234178,
GBBKB,Q806906,1.8184789370666274
GBBSA,Q2280322,
GBBGO,Q2664179,0.3213837836233553
GBBMU,Q672545,0.6829269116461106
GBBCA,Q808437,
GBBHS,Q2884709,0.6234055108299453
GBBAK,Q2049578,
GBBSY,Q54212,0.49829552661061205
GBBND,Q808532,1.2502534980712348
GBBAH,Q2598252,1.9367797417741273
GBBYG,Q809009,1.3629020285851992
GBBAS,Q216649,
GBBGK,Q810196,
GBBTM,Q22889,1.7442377011714971
GBBTH,Q810794,0.66680688434791
GBBAY,Q810847,1.860787547168784
GBBTE,Q737593,
GBBWT,Q586090,1.6607473514893512
GBBEA,Q812906,
GBBMN,Q812945,
GBBSD,Q1908426,1.0886134940916343
GBBMR,Q1992389,
GBBEB,Q813552,0.9101049403115982
GBBCC,Q813574,
GBBDL,Q813810,
GBBEF,Q208257,
GBBTN,Q2249694,2.0110629245919074
GBBDW,Q3401157,1.8848575406636268
GBBWO,Q813962,
GBESN,Q2162582,1.119687172582062
GBBEE,Q814121,
GBIGH,Q56660379,0.0004323594451096636
GBBEI,Q1013620,2.224853813326502
GBBLL,Q680984,0.8498853795434078
GBBLP,Q2080375,
GBBKE,Q584443,1.0043512300684523
GBBKH,Q19784,
GBBWK,Q504678,1.585067731839253
GBETH,Q1883524,2.092932092979943
GBBEV,Q851718,1.4659023789291685
GBEEB,Q766594,
GBBIC,Q251903,
GBBDU,Q1109566,
GBBID,Q1234840,0.06016588335667085
GBBGX,Q3250089,0.6073790348886058
GBBIW,Q2224167,
GBBIL,Q862832,
GBBHW,Q862891,2.2354970380306884
GBBIS,Q1015967,
GBBAM,Q783269,
GBBGY,Q863832,0.47855283594376874
GBINE,Q4914420,1.7675533566620336
GBBRK,Q746718,2.1610349825687076
GBBHM,Q2256,1.7686158553597164
GBBIR,Q1614399,
GBBIP,Q866339,
GBBSP,Q866347,0.730762928385785
GBBST,Q19797,
GBBPW,Q1248930,
GBBSW,Q4918111,2.207926259663277
GBBPL,Q4923228,1.6147674485433405
GBBA5,Q3244306,0.8935741009958387
GBBLB,Q188313,
GBBFR,Q880816,1.512947801525782
GBBK5,Q2575395,1.0680493868242484
GBBLK,Q170377,
GBBCO,Q1615879,0.7375418256046746
GBBLW,Q880986,0.7849794916417352
GBBVN,Q804282,1.0802354879150313
GBYKJ,Q3404671,0.4643653003209983
GBZTH,Q881156,2.3095701900223387
GBZLD,Q24657181,1.0160764421038524
GBBLF,Q644530,
GBBYR,Q881708,3.0422200723214647
GBBLD,Q933113,1.265380237493108
GBBLX,Q2571140,1.1014723925721899
GBBLY,Q886899,
GBBDM,Q889888,
GBBSI,Q890621,0.5013565836720673
GBBOI,Q2247131,
GBBSO,Q2130058,
GBBLT,Q184579,4.3170660013991675e-08
GBBON,Q896424,1.9525774886980436
GBBNY,Q1014515,0.4274112062516544
GBBOG,Q4942522,0.9152378379425559
GBBOE,Q893159,2.382092522838276
GBODN,Q1613430,1.1049973925882148
GBBMD,Q19773,
GBBBR,Q2569056,
GBBOS,Q311975,
GBBWL,Q1773759,0.25760538851281006
GBBOM,Q4949737,0.7651155591696746
GBBUR,Q2223229,
GBBOH,Q170478,1.5017985184530729
GBBVT,Q895361,1.3418200266182216
GBBCK,Q671557,
GBBKN,Q783210,1.781456599530208
GBBRF,Q22905,1.1890393143833873
GBBSK,Q2265992,0.5427664116150825
GBBRI,Q676067,
GBBHL,Q2161108,1.0354609208219812
