actor_id,lat,lng,datasource_id
SE VVK,579587,163484,CDPCitiesTargets:2021
NL AMS,523702,48952,CDPCitiesTargets:2021
PT FAO,370194,-79304,CDPCitiesTargets:2021
IT ASI,430707,126196,CDPCitiesTargets:2021
NL HAG,520705,43007,CDPCitiesTargets:2021
PT FAO,370194,-79304,CDPCitiesTargets:2021
ES BCN,413823,21775,CDPCitiesTargets:2021
SG SIN,13521,1038200,CDPCitiesTargets:2021
DK FRE,559747,124058,CDPCitiesTargets:2021
CD FBM,110000,-270000,CDPCitiesTargets:2021
EC UIO,-2333,-785167,CDPCitiesTargets:2021
TH BKK,137712,1005560,CDPCitiesTargets:2021
IS REY,641265,-218174,CDPCitiesTargets:2021
IT PDA,454064,118768,CDPCitiesTargets:2021
IT PDA,454064,118768,CDPCitiesTargets:2021
MC MON,437374,74208,CDPCitiesTargets:2021
IT LCV,438399,106174,CDPCitiesTargets:2021
ID BOG,-65971,1068060,CDPCitiesTargets:2021
ES VIT,428400,-26700,CDPCitiesTargets:2021
BR CPS,-227440,-469372,CDPCitiesTargets:2021
TZ DAR,-67924,392083,CDPCitiesTargets:2021
AE DXB,252048,552708,CDPCitiesTargets:2021
FR NCE,437102,72620,CDPCitiesTargets:2021
TH BKK,137712,1005560,CDPCitiesTargets:2021
NL HAG,520705,43007,CDPCitiesTargets:2021
CH ZRH,473686,85392,CDPCitiesTargets:2021
GB GLW,558593,-42128,CDPCitiesTargets:2021
ES ZAZ,416086,-8870,CDPCitiesTargets:2021
CH ZRH,473686,85392,CDPCitiesTargets:2021
BR RIO,-229054,-435614,CDPCitiesTargets:2021
FR NCE,437102,72620,CDPCitiesTargets:2021
BR CWB,-254311,-492647,CDPCitiesTargets:2021
PE SDR,-120977,-770273,CDPCitiesTargets:2021
SN DKR,147645,-173660,CDPCitiesTargets:2021
CR BLN,100035,-841503,CDPCitiesTargets:2021
IT BLQ,444938,113387,CDPCitiesTargets:2021
NL AMS,523702,48952,CDPCitiesTargets:2021
DK CPH,556761,125683,CDPCitiesTargets:2021
