tag_id,tag_name
GHGs_included_CO2_CH4_N2O_F_gases,"GHGs included: CO2, CH4, N2O, and F-gases"
sectors_ag_energy_IPPU_waste,"Sectors: agriculture, energy, industrial processes, and waste"
excludes_LULUCF,Excludes LULUCF
GWP_100_AR4,Uses GWP100 from IPCC AR4
country_reported_data,Country-reported data
