emissions_id,sector_id,emissions_value
EDGARv7.0:ghg:AF:1995,EDGARv7.0:sector:Power Industry,361012
EDGARv7.0:ghg:AF:1996,EDGARv7.0:sector:Power Industry,398471
EDGARv7.0:ghg:AF:1997,EDGARv7.0:sector:Power Industry,396894
EDGARv7.0:ghg:AF:1998,EDGARv7.0:sector:Power Industry,481555
EDGARv7.0:ghg:AF:1999,EDGARv7.0:sector:Power Industry,450142
EDGARv7.0:ghg:AF:2000,EDGARv7.0:sector:Power Industry,390739
EDGARv7.0:ghg:AF:2001,EDGARv7.0:sector:Power Industry,351005
EDGARv7.0:ghg:AF:2002,EDGARv7.0:sector:Power Industry,325263
EDGARv7.0:ghg:AF:2003,EDGARv7.0:sector:Power Industry,388280
EDGARv7.0:ghg:AF:2004,EDGARv7.0:sector:Power Industry,344770
EDGARv7.0:ghg:AF:2005,EDGARv7.0:sector:Power Industry,495798
EDGARv7.0:ghg:AF:2006,EDGARv7.0:sector:Power Industry,549909
EDGARv7.0:ghg:AF:2007,EDGARv7.0:sector:Power Industry,689878
EDGARv7.0:ghg:AF:2008,EDGARv7.0:sector:Power Industry,1214616
EDGARv7.0:ghg:AF:2009,EDGARv7.0:sector:Power Industry,1757154
EDGARv7.0:ghg:AF:2010,EDGARv7.0:sector:Power Industry,2110574
EDGARv7.0:ghg:AF:2011,EDGARv7.0:sector:Power Industry,2678973
EDGARv7.0:ghg:AF:2012,EDGARv7.0:sector:Power Industry,2311282
EDGARv7.0:ghg:AF:2013,EDGARv7.0:sector:Power Industry,2150869
EDGARv7.0:ghg:AF:2014,EDGARv7.0:sector:Power Industry,2194728
EDGARv7.0:ghg:AF:2015,EDGARv7.0:sector:Power Industry,2413411
EDGARv7.0:ghg:AF:2016,EDGARv7.0:sector:Power Industry,2392414
EDGARv7.0:ghg:AF:2017,EDGARv7.0:sector:Power Industry,2548414
EDGARv7.0:ghg:AF:2018,EDGARv7.0:sector:Power Industry,2727520
EDGARv7.0:ghg:AF:2019,EDGARv7.0:sector:Power Industry,2424379
EDGARv7.0:ghg:AF:2020,EDGARv7.0:sector:Power Industry,2510424
EDGARv7.0:ghg:AF:2021,EDGARv7.0:sector:Power Industry,2560134
EDGARv7.0:ghg:AL:1970,EDGARv7.0:sector:Power Industry,699584
EDGARv7.0:ghg:AL:1971,EDGARv7.0:sector:Power Industry,699584
EDGARv7.0:ghg:AL:1972,EDGARv7.0:sector:Power Industry,744816
EDGARv7.0:ghg:AL:1973,EDGARv7.0:sector:Power Industry,758068
EDGARv7.0:ghg:AL:1974,EDGARv7.0:sector:Power Industry,765246
EDGARv7.0:ghg:AL:1975,EDGARv7.0:sector:Power Industry,711648
EDGARv7.0:ghg:AL:1976,EDGARv7.0:sector:Power Industry,723668
EDGARv7.0:ghg:AL:1977,EDGARv7.0:sector:Power Industry,719676
EDGARv7.0:ghg:AL:1978,EDGARv7.0:sector:Power Industry,800458
EDGARv7.0:ghg:AL:1979,EDGARv7.0:sector:Power Industry,842081
EDGARv7.0:ghg:AL:1980,EDGARv7.0:sector:Power Industry,821738
EDGARv7.0:ghg:AL:1981,EDGARv7.0:sector:Power Industry,792561
EDGARv7.0:ghg:AL:1982,EDGARv7.0:sector:Power Industry,902520
EDGARv7.0:ghg:AL:1983,EDGARv7.0:sector:Power Industry,932632
EDGARv7.0:ghg:AL:1984,EDGARv7.0:sector:Power Industry,978247
EDGARv7.0:ghg:AL:1985,EDGARv7.0:sector:Power Industry,999950
EDGARv7.0:ghg:AL:1986,EDGARv7.0:sector:Power Industry,1012479
EDGARv7.0:ghg:AL:1987,EDGARv7.0:sector:Power Industry,1012479
EDGARv7.0:ghg:AL:1988,EDGARv7.0:sector:Power Industry,1013965
EDGARv7.0:ghg:AL:1989,EDGARv7.0:sector:Power Industry,1003559
EDGARv7.0:ghg:AL:1990,EDGARv7.0:sector:Power Industry,526491
EDGARv7.0:ghg:AL:1991,EDGARv7.0:sector:Power Industry,333340
EDGARv7.0:ghg:AL:1992,EDGARv7.0:sector:Power Industry,186920
EDGARv7.0:ghg:AL:1993,EDGARv7.0:sector:Power Industry,320879
EDGARv7.0:ghg:AL:1994,EDGARv7.0:sector:Power Industry,392532
EDGARv7.0:ghg:AL:1995,EDGARv7.0:sector:Power Industry,264803
EDGARv7.0:ghg:AL:1996,EDGARv7.0:sector:Power Industry,218073
EDGARv7.0:ghg:AL:1997,EDGARv7.0:sector:Power Industry,202496
EDGARv7.0:ghg:AL:1998,EDGARv7.0:sector:Power Industry,214958
EDGARv7.0:ghg:AL:1999,EDGARv7.0:sector:Power Industry,211142
EDGARv7.0:ghg:AL:2000,EDGARv7.0:sector:Power Industry,284961
EDGARv7.0:ghg:AL:2001,EDGARv7.0:sector:Power Industry,274070
