tag_id,tag_name
geo,geographical data
contextual,contextual data
population,population of an area
worldbank,data extracted from the World Bank
cc0,Creative Commons CC0 license
extract,Dataset extracted from a larger database
oef,Dataset from Open Earth Foundation
evanp,Dataset by Evan Prodromou
