emissions_id,sector_id,emissions_value
carbon_monitor:BR:2019,carbon_monitor:sector:Domestic Aviation,10080266
carbon_monitor:BR:2019,carbon_monitor:sector:Ground Transport,171168400
carbon_monitor:BR:2019,carbon_monitor:sector:Industry,130017959
carbon_monitor:BR:2019,carbon_monitor:sector:International Aviation,6614273
carbon_monitor:BR:2019,carbon_monitor:sector:Power,80199986
carbon_monitor:BR:2019,carbon_monitor:sector:Residential,36624142
carbon_monitor:BR:2020,carbon_monitor:sector:Domestic Aviation,6073389
carbon_monitor:BR:2020,carbon_monitor:sector:Ground Transport,145027374
carbon_monitor:BR:2020,carbon_monitor:sector:Industry,124042622
carbon_monitor:BR:2020,carbon_monitor:sector:International Aviation,2798260
carbon_monitor:BR:2020,carbon_monitor:sector:Power,70788990
carbon_monitor:BR:2020,carbon_monitor:sector:Residential,36624160
carbon_monitor:BR:2021,carbon_monitor:sector:Domestic Aviation,8650256
carbon_monitor:BR:2021,carbon_monitor:sector:Ground Transport,162365603
carbon_monitor:BR:2021,carbon_monitor:sector:Industry,129403235
carbon_monitor:BR:2021,carbon_monitor:sector:International Aviation,2984170
carbon_monitor:BR:2021,carbon_monitor:sector:Power,122135908
carbon_monitor:BR:2021,carbon_monitor:sector:Residential,36624142
carbon_monitor:BR:2022,carbon_monitor:sector:Domestic Aviation,8921392
carbon_monitor:BR:2022,carbon_monitor:sector:Ground Transport,141019834
carbon_monitor:BR:2022,carbon_monitor:sector:Industry,108357302
carbon_monitor:BR:2022,carbon_monitor:sector:International Aviation,4029191
carbon_monitor:BR:2022,carbon_monitor:sector:Power,37944137
carbon_monitor:BR:2022,carbon_monitor:sector:Residential,30520113
carbon_monitor:CN:2019,carbon_monitor:sector:Domestic Aviation,62458510
carbon_monitor:CN:2019,carbon_monitor:sector:Ground Transport,923995090
carbon_monitor:CN:2019,carbon_monitor:sector:Industry,4101706000
carbon_monitor:CN:2019,carbon_monitor:sector:International Aviation,31438998
carbon_monitor:CN:2019,carbon_monitor:sector:Power,4569018870
carbon_monitor:CN:2019,carbon_monitor:sector:Residential,804380350
carbon_monitor:CN:2020,carbon_monitor:sector:Domestic Aviation,51552415
carbon_monitor:CN:2020,carbon_monitor:sector:Ground Transport,808948121
carbon_monitor:CN:2020,carbon_monitor:sector:Industry,4258219070
carbon_monitor:CN:2020,carbon_monitor:sector:International Aviation,12752768
carbon_monitor:CN:2020,carbon_monitor:sector:Power,4656292470
carbon_monitor:CN:2020,carbon_monitor:sector:Residential,808110080
carbon_monitor:CN:2021,carbon_monitor:sector:Domestic Aviation,57839920
carbon_monitor:CN:2021,carbon_monitor:sector:Ground Transport,907484070
carbon_monitor:CN:2021,carbon_monitor:sector:Industry,4371366870
carbon_monitor:CN:2021,carbon_monitor:sector:International Aviation,10995729
carbon_monitor:CN:2021,carbon_monitor:sector:Power,5077677780
carbon_monitor:CN:2021,carbon_monitor:sector:Residential,798531470
carbon_monitor:CN:2022,carbon_monitor:sector:Domestic Aviation,30244369
carbon_monitor:CN:2022,carbon_monitor:sector:Ground Transport,732309950
carbon_monitor:CN:2022,carbon_monitor:sector:Industry,3491438860
carbon_monitor:CN:2022,carbon_monitor:sector:International Aviation,7967527
carbon_monitor:CN:2022,carbon_monitor:sector:Power,4209314400
carbon_monitor:CN:2022,carbon_monitor:sector:Residential,624436520
carbon_monitor:DE:2019,carbon_monitor:sector:Domestic Aviation,2124094
carbon_monitor:DE:2019,carbon_monitor:sector:Ground Transport,150481393
carbon_monitor:DE:2019,carbon_monitor:sector:Industry,124054470
carbon_monitor:DE:2019,carbon_monitor:sector:International Aviation,28792267
carbon_monitor:DE:2019,carbon_monitor:sector:Power,243220002
carbon_monitor:DE:2019,carbon_monitor:sector:Residential,138213678
carbon_monitor:DE:2020,carbon_monitor:sector:Domestic Aviation,1018777
carbon_monitor:DE:2020,carbon_monitor:sector:Ground Transport,149137727
carbon_monitor:DE:2020,carbon_monitor:sector:Industry,113015205
carbon_monitor:DE:2020,carbon_monitor:sector:International Aviation,13103238
carbon_monitor:DE:2020,carbon_monitor:sector:Power,204702763
