state,actor_id,target_type,target_value,target_unit,baseline_year,target_year,actual_range,URL
Rhode Island,US-RI,Absolute emission reduction,10,percent,1990,2020,,http://webserver.rilin.state.ri.us/Statutes/TITLE42/42-6.2/42-6.2-2.HTM
Rhode Island,US-RI,Absolute emission reduction,45,percent,1990,2035,,http://webserver.rilin.state.ri.us/Statutes/TITLE42/42-6.2/42-6.2-2.HTM
Rhode Island,US-RI,Absolute emission reduction,80,percent,1990,2040,,http://webserver.rilin.state.ri.us/Statutes/TITLE42/42-6.2/42-6.2-2.HTM
Rhode Island,US-RI,Absolute emission reduction,100,percent,1990,2050,,http://webserver.rilin.state.ri.us/Statutes/TITLE42/42-6.2/42-6.2-2.HTM
Vermont,US-VT,Absolute emission reduction,26,percent,2005,2025,,https://legislature.vermont.gov/Documents/2020/Docs/ACTS/ACT153/ACT153%20As%20Enacted.pdf
Vermont,US-VT,Absolute emission reduction,40,percent,1990,2030,,https://legislature.vermont.gov/Documents/2020/Docs/ACTS/ACT153/ACT153%20As%20Enacted.pdf
Vermont,US-VT,Absolute emission reduction,80,percent,1990,2050,,https://legislature.vermont.gov/Documents/2020/Docs/ACTS/ACT153/ACT153%20As%20Enacted.pdf
Washington,US-WA,Absolute emission reduction,0,percent,1990,2020,,https://lawfilesext.leg.wa.gov/biennium/2019-20/Pdf/Bills/Session%20Laws/House/2311-S2.SL.pdf#page=1
Washington,US-WA,Absolute emission reduction,45,percent,1990,2030,,https://lawfilesext.leg.wa.gov/biennium/2019-20/Pdf/Bills/Session%20Laws/House/2311-S2.SL.pdf#page=1
Washington,US-WA,Absolute emission reduction,70,percent,1990,2040,,https://lawfilesext.leg.wa.gov/biennium/2019-20/Pdf/Bills/Session%20Laws/House/2311-S2.SL.pdf#page=1
Washington,US-WA,Absolute emission reduction,95,percent,1990,2050,,https://lawfilesext.leg.wa.gov/biennium/2019-20/Pdf/Bills/Session%20Laws/House/2311-S2.SL.pdf#page=1
Wisconsin,US-WI,Absolute emission reduction,26,percent,2005,2025,26-28,https://evers.wi.gov/Documents/EO%20038%20Clean%20Energy.pdf
