target_id,actor_id,target_type,baseline_year,target_year,target_value,target_unit,URL,datasource_id
IGES_NDC:unconditional:AD,AD,Relative emission reduction,2030,2030,37,percent,https://unfccc.int/sites/default/files/NDC/2022-06/20200514-%20Actualitzaci%C3%B3%20NDC.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:AE,AE,Relative emission reduction,2030,2030,31,percent,https://unfccc.int/sites/default/files/NDC/2022-09/UpdateNDC-EN-2022.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:AL,AL,Relative emission reduction,2030,2030,20,percent,https://unfccc.int/sites/default/files/2022-08/Albania%20Revised%20NDC.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:AM,AM,Absolute emission reduction,1990,2030,40,percent,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20of%20Republic%20of%20Armenia%20%202021-2030.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:AO,AO,Relative emission reduction,2030,2025,14,percent,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20Angola.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:AR,AR,Absolute emission reduction,2030,2030,349000000,tCO2e,https://unfccc.int/sites/default/files/NDC/2022-05/Actualizacio%CC%81n%20meta%20de%20emisiones%202030.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:AT,AT,Absolute emission reduction,1990,2030,55,percent,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:AU,AU,Absolute emission reduction,2005,2030,43,percent,https://unfccc.int/sites/default/files/NDC/2022-06/Australias%20NDC%20June%202022%20Update%20%283%29.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:AZ,AZ,Absolute emission reduction,1990,2030,35,percent,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20Azerbaijan.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BA,BA,Absolute emission reduction,2014,2030,12,percent,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20BiH_November%202020%20FINAL%20DRAFT%2005%20Nov%20ENG%20LR.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BB,BB,Absolute emission reduction,2008,2030,35,percent,https://unfccc.int/sites/default/files/NDC/2022-06/2021%20Barbados%20NDC%20update%20-%2021%20July%202021.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BD,BD,Relative emission reduction,2030,2030,6,percent,https://unfccc.int/sites/default/files/NDC/2022-06/NDC_submission_20210826revised.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BE,BE,Absolute emission reduction,1990,2030,55,percent,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BF,BF,Relative emission reduction,2030,2030,19,percent,https://unfccc.int/sites/default/files/NDC/2022-06/Rapport%20CDN_BKFA.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BG,BG,Absolute emission reduction,1990,2030,55,percent,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BI,BI,Relative emission reduction,2030,2030,3,percent,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20%20%20Burundi%20ANNEXE%201.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BJ,BJ,Relative emission reduction,2030,2030,20,percent,https://unfccc.int/sites/default/files/NDC/2022-06/CDN_ACTUALISEE_BENIN2021.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BN,BN,Relative emission reduction,2030,2030,20,percent,https://unfccc.int/sites/default/files/NDC/2022-06/Brunei%20Darussalam%27s%20NDC%202020.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BR,BR,Absolute emission reduction,2005,2030,50,percent,https://unfccc.int/sites/default/files/NDC/2022-06/Updated%20-%20First%20NDC%20-%20%20FINAL%20-%20PDF.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BS,BS,Relative emission reduction,2030,2030,30,percent,https://unfccc.int/sites/default/files/NDC/2022-06/Bahamas_COP-22%20UNFCCC.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BW,BW,Absolute emission reduction,2010,2030,15,percent,https://unfccc.int/sites/default/files/NDC/2022-06/BOTSWANA.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BY,BY,Absolute emission reduction,1990,2030,35,percent,https://unfccc.int/sites/default/files/NDC/2022-06/Belarus_NDC_Russian.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:BZ,BZ,Relative emission reduction,2030,2030,5000000,tCO2e,https://unfccc.int/sites/default/files/NDC/2022-06/Belize%20Updated%20NDC.pdf,IGES:NDC_db:10.57405/iges-5005
IGES_NDC:unconditional:CA,CA,Absolute emission reduction,2005,2030,40,percent,https://unfccc.int/sites/default/files/NDC/2022-06/Canada%27s%20Enhanced%20NDC%20Submission1_FINAL%20EN.pdf,IGES:NDC_db:10.57405/iges-5005
