actor_id,lat,lng,datasource_id
AM ASH,403000,443500,UNLOCODE:2023-2
AM BRD,408667,453833,UNLOCODE:2023-2
AM BYU,403000,445833,UNLOCODE:2023-2
AM DIL,407333,448667,UNLOCODE:2023-2
AM EZN,401500,442833,UNLOCODE:2023-2
AM GRS,395000,463333,UNLOCODE:2023-2
AM LWN,408000,438333,UNLOCODE:2023-2
AM HRA,405333,447667,UNLOCODE:2023-2
AM KJN,391500,461500,UNLOCODE:2023-2
AM KPN,392000,464000,UNLOCODE:2023-2
AM ARM,400167,444833,UNLOCODE:2023-2
AM MMA,402167,457667,UNLOCODE:2023-2
AM MTR,400667,442833,UNLOCODE:2023-2
AM RN4,397500,451667,UNLOCODE:2023-2
AM SPI,408333,442667,UNLOCODE:2023-2
AM VZR,408000,444667,UNLOCODE:2023-2
AM VED,399000,447167,UNLOCODE:2023-2
AM EVN,401833,445167,UNLOCODE:2023-2
AO ARO,-60667,113500,UNLOCODE:2023-2
AO BAB,-148333,122333,UNLOCODE:2023-2
AO BDT,-166000,117333,UNLOCODE:2023-2
AO BEL,-89167,131667,UNLOCODE:2023-2
AO CPO,-79833,131667,UNLOCODE:2023-2
AO CLV,-74500,115667,UNLOCODE:2023-2
AO CUI,-129833,129833,UNLOCODE:2023-2
AO DAL,-76833,117833,UNLOCODE:2023-2
AO FBY,-126167,132000,UNLOCODE:2023-2
AO GIM,-75333,121667,UNLOCODE:2023-2
AO GPO,-78333,121167,UNLOCODE:2023-2
AO MDZ,-60667,151000,UNLOCODE:2023-2
AO MTL,-147333,150333,UNLOCODE:2023-2
AO MOS,-151667,121500,UNLOCODE:2023-2
AO NDF,-93000,149167,UNLOCODE:2023-2
AO NQI,-58500,134333,UNLOCODE:2023-2
AO NTO,-72667,128500,UNLOCODE:2023-2
AO NGV,-170667,157333,UNLOCODE:2023-2
AO PAZ,-83500,121000,UNLOCODE:2023-2
AO PSA,-151333,121333,UNLOCODE:2023-2
AO FPO,-62333,107333,UNLOCODE:2023-2
AO RSN,-142500,123333,UNLOCODE:2023-2
AO STC,-73667,147333,UNLOCODE:2023-2
AO SBT,-63167,112167,UNLOCODE:2023-2
AO UGO,-76167,150500,UNLOCODE:2023-2
AO VNA,-89000,133667,UNLOCODE:2023-2
AO CEO,-113500,151167,UNLOCODE:2023-2
AQ ABA,-730500,-134167,UNLOCODE:2023-2
AQ AMS,-899833,1392667,UNLOCODE:2023-2
AQ ARC,-621500,-584667,UNLOCODE:2023-2
AQ ART,-621833,-589000,UNLOCODE:2023-2
AQ APT,-625000,-596833,UNLOCODE:2023-2
AQ BEL,-778667,-346167,UNLOCODE:2023-2
AQ BHN,-621833,-589500,UNLOCODE:2023-2
AQ CAS,-662833,1105167,UNLOCODE:2023-2
AQ CFZ,-620833,-583833,UNLOCODE:2023-2
AQ CON,-751000,1233833,UNLOCODE:2023-2
AQ DAV,-685667,779667,UNLOCODE:2023-2
AQ DMF,-773167,397000,UNLOCODE:2023-2
AQ DRZ,-697333,737000,UNLOCODE:2023-2
AQ DDU,-666500,1400000,UNLOCODE:2023-2
AQ ESC,-622000,-589500,UNLOCODE:2023-2
AQ ESP,-633833,-569833,UNLOCODE:2023-2
AQ GDC,-629833,-606833,UNLOCODE:2023-2
AQ OHG,-633167,-579000,UNLOCODE:2023-2
AQ GWL,-622167,-589667,UNLOCODE:2023-2
AQ HLY,-755667,-265333,UNLOCODE:2023-2
AQ JBS,-746000,1642000,UNLOCODE:2023-2
AQ JCP,-626500,-603833,UNLOCODE:2023-2
AQ JUB,-622333,-586500,UNLOCODE:2023-2
AQ KSG,-622167,-587833,UNLOCODE:2023-2
AQ KHN,-750000,667,UNLOCODE:2023-2
AQ LAW,-693833,763833,UNLOCODE:2023-2
AQ MTR,-707500,117333,UNLOCODE:2023-2
AQ MRB,-642333,-566500,UNLOCODE:2023-2
AQ MZU,-746833,1641167,UNLOCODE:2023-2
AQ MAW,-676000,628667,UNLOCODE:2023-2
AQ MCM,-778333,1666667,UNLOCODE:2023-2
AQ MIR,-665500,930000,UNLOCODE:2023-2
AQ NEU,-706333,-82500,UNLOCODE:2023-2
AQ NOV,-707667,118500,UNLOCODE:2023-2
AQ ORC,-607333,-447333,UNLOCODE:2023-2
AQ PLM,-647667,-640500,UNLOCODE:2023-2
AQ PFS,-630000,-605667,UNLOCODE:2023-2
AQ PRO,-694000,763833,UNLOCODE:2023-2
AQ ROT,-675667,-681167,UNLOCODE:2023-2
AQ SMT,-681167,-671000,UNLOCODE:2023-2
AQ SNA,-716667,-28167,UNLOCODE:2023-2
AQ SBA,-778500,1667500,UNLOCODE:2023-2
AQ SGN,-607167,-456000,UNLOCODE:2023-2
AQ SYW,-690000,395833,UNLOCODE:2023-2
AQ TNM,-622167,-589167,UNLOCODE:2023-2
AQ TOR,-718833,51500,UNLOCODE:2023-2
AQ TRL,-720000,25333,UNLOCODE:2023-2
AQ VKY,-652333,-642500,UNLOCODE:2023-2
AQ VOS,-784667,1068000,UNLOCODE:2023-2
AQ WSA,-730500,-134167,UNLOCODE:2023-2
AQ ZGN,-693667,763833,UNLOCODE:2023-2
