actor_id,population,year,datasource_id
US-PR,3193694,2019,OEF:WD:subnational-population:20221106
US-PR,3285874,2020,OEF:WD:subnational-population:20221106
BE-VLG,6552967,2018,OEF:WD:subnational-population:20221106
BE-VLG,6516011,2017,OEF:WD:subnational-population:20221106
BE-VLG,6589069,2019,OEF:WD:subnational-population:20221106
BE-VLG,6629143,2020,OEF:WD:subnational-population:20221106
US-IL,12812508,2020,OEF:WD:subnational-population:20221106
NO-03,673469,2018,OEF:WD:subnational-population:20221106
NO-03,681071,2019,OEF:WD:subnational-population:20221106
NO-03,693494,2020,OEF:WD:subnational-population:20221106
DE-SL,986887,2019,OEF:WD:subnational-population:20221106
US-MA,7029917,2020,OEF:WD:subnational-population:20221106
SI-146,6720,2020,OEF:WD:subnational-population:20221106
SI-146,6708,2017,OEF:WD:subnational-population:20221106
SI-146,6709,2018,OEF:WD:subnational-population:20221106
SI-146,6699,2019,OEF:WD:subnational-population:20221106
SI-040,16589,2020,OEF:WD:subnational-population:20221106
SI-040,16015,2017,OEF:WD:subnational-population:20221106
SI-040,16099,2018,OEF:WD:subnational-population:20221106
SI-040,16367,2019,OEF:WD:subnational-population:20221106
SI-129,16105,2020,OEF:WD:subnational-population:20221106
SI-129,16037,2019,OEF:WD:subnational-population:20221106
SI-129,16052,2018,OEF:WD:subnational-population:20221106
SI-129,16221,2017,OEF:WD:subnational-population:20221106
PH-QUI,203828,2020,OEF:WD:subnational-population:20221106
IT-TE,308892,2019,OEF:WD:subnational-population:20221106
IT-PG,657786,2018,OEF:WD:subnational-population:20221106
PH-WSA,793183,2020,OEF:WD:subnational-population:20221106
PH-ZAS,1050668,2020,OEF:WD:subnational-population:20221106
CA-NL,528430,2017,OEF:WD:subnational-population:20221106
RU-MUR,732864,2021,OEF:WD:subnational-population:20221106
RU-MUR,753557,2018,OEF:WD:subnational-population:20221106
RU-KGD,994599,2018,OEF:WD:subnational-population:20221106
RU-KGD,1018624,2021,OEF:WD:subnational-population:20221106
US-NM,2117522,2020,OEF:WD:subnational-population:20221106
US-MS,2961279,2020,OEF:WD:subnational-population:20221106
FR-59,2604361,2017,OEF:WD:subnational-population:20221106
FR-59,2606234,2018,OEF:WD:subnational-population:20221106
FR-59,2608346,2019,OEF:WD:subnational-population:20221106
PH-07,8081988,2020,OEF:WD:subnational-population:20221106
TJ-DU,948800,2022,OEF:WD:subnational-population:20221106
TJ-DU,863400,2020,OEF:WD:subnational-population:20221106
FR-65,228530,2017,OEF:WD:subnational-population:20221106
FR-65,229191,2018,OEF:WD:subnational-population:20221106
FR-65,229567,2019,OEF:WD:subnational-population:20221106
FR-74,807360,2017,OEF:WD:subnational-population:20221106
FR-74,816699,2018,OEF:WD:subnational-population:20221106
FR-74,826094,2019,OEF:WD:subnational-population:20221106
FR-32,191091,2017,OEF:WD:subnational-population:20221106
FR-32,191283,2018,OEF:WD:subnational-population:20221106
FR-32,191377,2019,OEF:WD:subnational-population:20221106
FR-82,258349,2017,OEF:WD:subnational-population:20221106
FR-82,259124,2018,OEF:WD:subnational-population:20221106
FR-82,260669,2019,OEF:WD:subnational-population:20221106
FR-53,307062,2019,OEF:WD:subnational-population:20221106
FR-53,307084,2018,OEF:WD:subnational-population:20221106
FR-53,307445,2017,OEF:WD:subnational-population:20221106
FR-86,436876,2017,OEF:WD:subnational-population:20221106
FR-86,437586,2018,OEF:WD:subnational-population:20221106
FR-86,438435,2019,OEF:WD:subnational-population:20221106
CH-SG,507697,2018,OEF:WD:subnational-population:20221106
FR-80,570559,2019,OEF:WD:subnational-population:20221106
FR-80,570662,2018,OEF:WD:subnational-population:20221106
FR-80,572443,2017,OEF:WD:subnational-population:20221106
PH-ILS,706009,2020,OEF:WD:subnational-population:20221106
FR-42,762941,2017,OEF:WD:subnational-population:20221106
FR-42,763441,2018,OEF:WD:subnational-population:20221106
FR-42,765634,2019,OEF:WD:subnational-population:20221106
FR-49,813493,2017,OEF:WD:subnational-population:20221106
FR-49,815883,2018,OEF:WD:subnational-population:20221106
FR-49,818273,2019,OEF:WD:subnational-population:20221106
GB-BBD,148942,2018,OEF:WD:subnational-population:20221106
CZ-324,62445,2017,OEF:WD:subnational-population:20221106
CZ-324,62736,2018,OEF:WD:subnational-population:20221106
CZ-324,63004,2019,OEF:WD:subnational-population:20221106
CZ-324,63488,2020,OEF:WD:subnational-population:20221106
CZ-324,68918,2022,OEF:WD:subnational-population:20221106
CZ-324,70131,2021,OEF:WD:subnational-population:20221106
RU-BA,4016481,2021,OEF:WD:subnational-population:20221106
RU-BA,4038151,2020,OEF:WD:subnational-population:20221106
RU-BA,4063293,2018,OEF:WD:subnational-population:20221106
ES-GA,2703290,2018,OEF:WD:subnational-population:20221106
ES-GA,2708339,2017,OEF:WD:subnational-population:20221106
UA-40,436670,2018,OEF:WD:subnational-population:20221106
UA-40,428753,2017,OEF:WD:subnational-population:20221106
UA-40,443212,2019,OEF:WD:subnational-population:20221106
UA-40,509992,2020,OEF:WD:subnational-population:20221106
