actor_id,year,population,datasource_id
AD,1950,6005,UN_DESA_PD:WorldPopulation:v2022
AD,1951,5827,UN_DESA_PD:WorldPopulation:v2022
AD,1952,5454,UN_DESA_PD:WorldPopulation:v2022
AD,1953,5308,UN_DESA_PD:WorldPopulation:v2022
AD,1954,5567,UN_DESA_PD:WorldPopulation:v2022
AD,1955,6116,UN_DESA_PD:WorldPopulation:v2022
AD,1956,6705,UN_DESA_PD:WorldPopulation:v2022
AD,1957,7331,UN_DESA_PD:WorldPopulation:v2022
AD,1958,7994,UN_DESA_PD:WorldPopulation:v2022
AD,1959,8700,UN_DESA_PD:WorldPopulation:v2022
AD,1960,9443,UN_DESA_PD:WorldPopulation:v2022
AD,1961,10216,UN_DESA_PD:WorldPopulation:v2022
AD,1962,11014,UN_DESA_PD:WorldPopulation:v2022
AD,1963,11840,UN_DESA_PD:WorldPopulation:v2022
AD,1964,12690,UN_DESA_PD:WorldPopulation:v2022
AD,1965,13563,UN_DESA_PD:WorldPopulation:v2022
AD,1966,14546,UN_DESA_PD:WorldPopulation:v2022
AD,1967,15745,UN_DESA_PD:WorldPopulation:v2022
AD,1968,17080,UN_DESA_PD:WorldPopulation:v2022
AD,1969,18449,UN_DESA_PD:WorldPopulation:v2022
AD,1970,19861,UN_DESA_PD:WorldPopulation:v2022
AD,1971,21322,UN_DESA_PD:WorldPopulation:v2022
AD,1972,22832,UN_DESA_PD:WorldPopulation:v2022
AD,1973,24394,UN_DESA_PD:WorldPopulation:v2022
AD,1974,26003,UN_DESA_PD:WorldPopulation:v2022
AD,1975,27640,UN_DESA_PD:WorldPopulation:v2022
AD,1976,29294,UN_DESA_PD:WorldPopulation:v2022
AD,1977,30949,UN_DESA_PD:WorldPopulation:v2022
AD,1978,32574,UN_DESA_PD:WorldPopulation:v2022
AD,1979,34142,UN_DESA_PD:WorldPopulation:v2022
AD,1980,35611,UN_DESA_PD:WorldPopulation:v2022
AD,1981,36988,UN_DESA_PD:WorldPopulation:v2022
AD,1982,38598,UN_DESA_PD:WorldPopulation:v2022
AD,1983,40432,UN_DESA_PD:WorldPopulation:v2022
AD,1984,42181,UN_DESA_PD:WorldPopulation:v2022
AD,1985,43810,UN_DESA_PD:WorldPopulation:v2022
AD,1986,45605,UN_DESA_PD:WorldPopulation:v2022
AD,1987,47635,UN_DESA_PD:WorldPopulation:v2022
AD,1988,49655,UN_DESA_PD:WorldPopulation:v2022
AD,1989,51639,UN_DESA_PD:WorldPopulation:v2022
AD,1990,53570,UN_DESA_PD:WorldPopulation:v2022
AD,1991,55435,UN_DESA_PD:WorldPopulation:v2022
AD,1992,57284,UN_DESA_PD:WorldPopulation:v2022
AD,1993,59156,UN_DESA_PD:WorldPopulation:v2022
AD,1994,61037,UN_DESA_PD:WorldPopulation:v2022
AD,1995,62928,UN_DESA_PD:WorldPopulation:v2022
AD,1996,64147,UN_DESA_PD:WorldPopulation:v2022
AD,1997,64682,UN_DESA_PD:WorldPopulation:v2022
AD,1998,65186,UN_DESA_PD:WorldPopulation:v2022
AD,1999,65655,UN_DESA_PD:WorldPopulation:v2022
AD,2000,66098,UN_DESA_PD:WorldPopulation:v2022
AD,2001,67820,UN_DESA_PD:WorldPopulation:v2022
AD,2002,70849,UN_DESA_PD:WorldPopulation:v2022
AD,2003,73908,UN_DESA_PD:WorldPopulation:v2022
AD,2004,76934,UN_DESA_PD:WorldPopulation:v2022
AD,2005,79826,UN_DESA_PD:WorldPopulation:v2022
AD,2006,80221,UN_DESA_PD:WorldPopulation:v2022
AD,2007,78169,UN_DESA_PD:WorldPopulation:v2022
AD,2008,76055,UN_DESA_PD:WorldPopulation:v2022
AD,2009,73852,UN_DESA_PD:WorldPopulation:v2022
AD,2010,71520,UN_DESA_PD:WorldPopulation:v2022
AD,2011,70568,UN_DESA_PD:WorldPopulation:v2022
AD,2012,71013,UN_DESA_PD:WorldPopulation:v2022
AD,2013,71367,UN_DESA_PD:WorldPopulation:v2022
AD,2014,71622,UN_DESA_PD:WorldPopulation:v2022
AD,2015,71746,UN_DESA_PD:WorldPopulation:v2022
AD,2016,72541,UN_DESA_PD:WorldPopulation:v2022
AD,2017,73837,UN_DESA_PD:WorldPopulation:v2022
AD,2018,75014,UN_DESA_PD:WorldPopulation:v2022
AD,2019,76343,UN_DESA_PD:WorldPopulation:v2022
AD,2020,77700,UN_DESA_PD:WorldPopulation:v2022
AD,2021,79034,UN_DESA_PD:WorldPopulation:v2022
AD,2022,79824,UN_DESA_PD:WorldPopulation:v2022
AE,1950,74592,UN_DESA_PD:WorldPopulation:v2022
AE,1951,79763,UN_DESA_PD:WorldPopulation:v2022
AE,1952,85092,UN_DESA_PD:WorldPopulation:v2022
AE,1953,90559,UN_DESA_PD:WorldPopulation:v2022
AE,1954,96136,UN_DESA_PD:WorldPopulation:v2022
AE,1955,101804,UN_DESA_PD:WorldPopulation:v2022
AE,1956,107563,UN_DESA_PD:WorldPopulation:v2022
AE,1957,113430,UN_DESA_PD:WorldPopulation:v2022
AE,1958,119606,UN_DESA_PD:WorldPopulation:v2022
AE,1959,126279,UN_DESA_PD:WorldPopulation:v2022
AE,1960,133426,UN_DESA_PD:WorldPopulation:v2022
AE,1961,140984,UN_DESA_PD:WorldPopulation:v2022
AE,1962,148878,UN_DESA_PD:WorldPopulation:v2022
AE,1963,157007,UN_DESA_PD:WorldPopulation:v2022
AE,1964,165306,UN_DESA_PD:WorldPopulation:v2022
AE,1965,173797,UN_DESA_PD:WorldPopulation:v2022
AE,1966,182509,UN_DESA_PD:WorldPopulation:v2022
AE,1967,191404,UN_DESA_PD:WorldPopulation:v2022
AE,1968,213582,UN_DESA_PD:WorldPopulation:v2022
AE,1969,253261,UN_DESA_PD:WorldPopulation:v2022
AE,1970,298085,UN_DESA_PD:WorldPopulation:v2022
AE,1971,344513,UN_DESA_PD:WorldPopulation:v2022
AE,1972,392369,UN_DESA_PD:WorldPopulation:v2022
AE,1973,441546,UN_DESA_PD:WorldPopulation:v2022
AE,1974,491956,UN_DESA_PD:WorldPopulation:v2022
AE,1975,543394,UN_DESA_PD:WorldPopulation:v2022
AE,1976,614177,UN_DESA_PD:WorldPopulation:v2022
AE,1977,706861,UN_DESA_PD:WorldPopulation:v2022
AE,1978,805232,UN_DESA_PD:WorldPopulation:v2022
AE,1979,908452,UN_DESA_PD:WorldPopulation:v2022
AE,1980,1014049,UN_DESA_PD:WorldPopulation:v2022
AE,1981,1100180,UN_DESA_PD:WorldPopulation:v2022
AE,1982,1167856,UN_DESA_PD:WorldPopulation:v2022
AE,1983,1237572,UN_DESA_PD:WorldPopulation:v2022
AE,1984,1308331,UN_DESA_PD:WorldPopulation:v2022
AE,1985,1379537,UN_DESA_PD:WorldPopulation:v2022
AE,1986,1468698,UN_DESA_PD:WorldPopulation:v2022
AE,1987,1575909,UN_DESA_PD:WorldPopulation:v2022
AE,1988,1683682,UN_DESA_PD:WorldPopulation:v2022
AE,1989,1791840,UN_DESA_PD:WorldPopulation:v2022
AE,1990,1900152,UN_DESA_PD:WorldPopulation:v2022
AE,1991,2008384,UN_DESA_PD:WorldPopulation:v2022
AE,1992,2116231,UN_DESA_PD:WorldPopulation:v2022
AE,1993,2223284,UN_DESA_PD:WorldPopulation:v2022
AE,1994,2329024,UN_DESA_PD:WorldPopulation:v2022
AE,1995,2433989,UN_DESA_PD:WorldPopulation:v2022
AE,1996,2572735,UN_DESA_PD:WorldPopulation:v2022
AE,1997,2746119,UN_DESA_PD:WorldPopulation:v2022
AE,1998,2921130,UN_DESA_PD:WorldPopulation:v2022
AE,1999,3097563,UN_DESA_PD:WorldPopulation:v2022
AE,2000,3275333,UN_DESA_PD:WorldPopulation:v2022
AE,2001,3454198,UN_DESA_PD:WorldPopulation:v2022
AE,2002,3633655,UN_DESA_PD:WorldPopulation:v2022
AE,2003,3813443,UN_DESA_PD:WorldPopulation:v2022
AE,2004,3993339,UN_DESA_PD:WorldPopulation:v2022
AE,2005,4280994,UN_DESA_PD:WorldPopulation:v2022
AE,2006,4898955,UN_DESA_PD:WorldPopulation:v2022
AE,2007,5872624,UN_DESA_PD:WorldPopulation:v2022
AE,2008,6988685,UN_DESA_PD:WorldPopulation:v2022
AE,2009,7992644,UN_DESA_PD:WorldPopulation:v2022
AE,2010,8481771,UN_DESA_PD:WorldPopulation:v2022
AE,2011,8575205,UN_DESA_PD:WorldPopulation:v2022
AE,2012,8664970,UN_DESA_PD:WorldPopulation:v2022
AE,2013,8751848,UN_DESA_PD:WorldPopulation:v2022
AE,2014,8835952,UN_DESA_PD:WorldPopulation:v2022
AE,2015,8916899,UN_DESA_PD:WorldPopulation:v2022
AE,2016,8994263,UN_DESA_PD:WorldPopulation:v2022
AE,2017,9068296,UN_DESA_PD:WorldPopulation:v2022
AE,2018,9140170,UN_DESA_PD:WorldPopulation:v2022
AE,2019,9211657,UN_DESA_PD:WorldPopulation:v2022
AE,2020,9287289,UN_DESA_PD:WorldPopulation:v2022
AE,2021,9365145,UN_DESA_PD:WorldPopulation:v2022
AE,2022,9441129,UN_DESA_PD:WorldPopulation:v2022
AF,1950,7480461,UN_DESA_PD:WorldPopulation:v2022
AF,1951,7571537,UN_DESA_PD:WorldPopulation:v2022
AF,1952,7667533,UN_DESA_PD:WorldPopulation:v2022
AF,1953,7764546,UN_DESA_PD:WorldPopulation:v2022
AF,1954,7864285,UN_DESA_PD:WorldPopulation:v2022
AF,1955,7971931,UN_DESA_PD:WorldPopulation:v2022
AF,1956,8087727,UN_DESA_PD:WorldPopulation:v2022
AF,1957,8210201,UN_DESA_PD:WorldPopulation:v2022
AF,1958,8333826,UN_DESA_PD:WorldPopulation:v2022
AF,1959,8468212,UN_DESA_PD:WorldPopulation:v2022
AF,1960,8622466,UN_DESA_PD:WorldPopulation:v2022
AF,1961,8790140,UN_DESA_PD:WorldPopulation:v2022
AF,1962,8969047,UN_DESA_PD:WorldPopulation:v2022
AF,1963,9157465,UN_DESA_PD:WorldPopulation:v2022
AF,1964,9355514,UN_DESA_PD:WorldPopulation:v2022
AF,1965,9565147,UN_DESA_PD:WorldPopulation:v2022
AF,1966,9783147,UN_DESA_PD:WorldPopulation:v2022
AF,1967,10010030,UN_DESA_PD:WorldPopulation:v2022
AF,1968,10247780,UN_DESA_PD:WorldPopulation:v2022
AF,1969,10494490,UN_DESA_PD:WorldPopulation:v2022
AF,1970,10752972,UN_DESA_PD:WorldPopulation:v2022
AF,1971,11015857,UN_DESA_PD:WorldPopulation:v2022
AF,1972,11286753,UN_DESA_PD:WorldPopulation:v2022
AF,1973,11575305,UN_DESA_PD:WorldPopulation:v2022
AF,1974,11869879,UN_DESA_PD:WorldPopulation:v2022
AF,1975,12157386,UN_DESA_PD:WorldPopulation:v2022
AF,1976,12425268,UN_DESA_PD:WorldPopulation:v2022
