target_id,actor_id,target_type,baseline_year,target_year,target_value,target_unit,datasource_id
CDP_full_states_regions_2018-2019:AT-3:2030,AT-3,Base year emissions target,2005,2030,36,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:AU-ACT:2020,AU-ACT,Base year emissions target,1990,2020,40,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:AU-ACT:2025,AU-ACT,Base year emissions target,1990,2025,60,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:AU-ACT:2025,AU-ACT,Base year emissions target,1990,2025,50,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:AU-ACT:2030,AU-ACT,Base year emissions target,1990,2030,75,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:AU-ACT:2030,AU-ACT,Base year emissions target,1990,2030,65,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:AU-ACT:2040,AU-ACT,Base year emissions target,1990,2040,95,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:AU-ACT:2040,AU-ACT,Base year emissions target,1990,2040,90,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:AU-ACT:2045,AU-ACT,Base year emissions target,1990,2045,100,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:AU-QLD:2030,AU-QLD,Base year emissions target,2005,2030,30,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:AU-SA:2050,AU-SA,Base year emissions target,1990,2050,60,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:BR-AM:2050,BR-AM,Baseline scenario (business as usual) target,1990,2050,80,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:BR-AP:2030,BR-AP,Baseline scenario (business as usual) target,2012,2030,72,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:BR-RJ:2030,BR-RJ,Base year intensity target,2005,2030,65,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:BR-RJ:2030,BR-RJ,Base year intensity target,2010,2030,30,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:BR-SP:2020,BR-SP,Base year emissions target,2005,2020,20,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:CA-AB:2025,CA-AB,Base year emissions target,2014,2025,45,percent,CDP_full_states_regions:2018-2019
CDP_full_states_regions_2018-2019:CA-BC:2030,CA-BC,Base year emissions target,2007,2030,40,percent,CDP_full_states_regions:2018-2019
