region,sector/subsector,year,co2,ch4,n20,co2e100,co2e20
ABW,buildings,2015,152269.456390,35.403592,18.970200,158287.859966,160251.490918
ABW,buildings,2016,164436.239940,36.608491,22.422140,171403.144788,173430.798144
ABW,buildings,2017,153105.669190,35.618393,21.292995,159745.627869,161718.964882
ABW,buildings,2018,169593.446230,38.016996,22.074400,176507.638118,178614.515494
ABW,buildings,2019,174162.145470,35.125786,22.756856,181176.234318,183120.521478
ABW,buildings,2020,144083.429870,39.670232,18.786281,150172.560831,152375.307542
ABW,buildings,2021,160438.773660,41.281015,20.928753,167140.761625,169431.569712
ABW,fluorinated-gases,2015,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,fluorinated-gases,2016,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,fluorinated-gases,2017,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,fluorinated-gases,2018,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,fluorinated-gases,2019,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,fluorinated-gases,2020,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,fluorinated-gases,2021,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,fossil-fuel-operations,2015,0.000000,65.383043,0.088600,1854.204204,5515.566012
ABW,fossil-fuel-operations,2016,0.000000,61.914218,0.083900,1755.831604,5222.943912
ABW,fossil-fuel-operations,2017,0.000000,63.463850,0.086000,1799.777800,5353.667400
ABW,fossil-fuel-operations,2018,0.000000,64.290874,0.087100,1823.225972,5423.427816
ABW,fossil-fuel-operations,2019,0.000000,67.368391,0.091300,1910.509448,5683.048044
ABW,fossil-fuel-operations,2020,0.000000,70.344505,0.095300,1994.900640,5934.097620
ABW,fossil-fuel-operations,2021,0.000000,70.344505,0.095300,1994.900640,5934.097620
ABW,manufacturing,2015,123815.416555,6.919493,0.937855,124257.693934,124644.247687
ABW,manufacturing,2016,110491.733633,6.521486,0.829923,110894.264836,111258.638129
ABW,manufacturing,2017,100806.811344,6.672321,0.755141,101193.748697,101566.643532
ABW,manufacturing,2018,110284.740616,6.525397,0.841783,110690.524227,111055.104676
ABW,manufacturing,2019,113630.608403,6.728183,0.867783,114048.960022,114424.870487
ABW,manufacturing,2020,95135.463252,6.146271,0.720066,95498.376330,95841.847440
ABW,manufacturing,2021,105206.959198,6.554416,0.801270,105602.819396,105969.065422
ABW,waste,2015,0.000000,1015.244000,3.118924,29253.346860,86103.891936
ABW,waste,2016,0.000000,1020.699299,3.149180,29414.113072,86570.124636
ABW,waste,2017,0.000000,1026.959974,3.220925,29608.424397,87114.962016
ABW,waste,2018,0.000000,1033.040665,3.264739,29790.294455,87637.306956
ABW,waste,2019,0.000000,1036.544522,3.286035,29894.045891,87937.253088
ABW,waste,2020,0.000000,1040.071072,3.307470,29998.469566,88239.142128
ABW,waste,2021,0.000000,1042.836486,3.345179,30085.894043,88481.392080
ABW,agriculture,2015,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,agriculture,2016,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,agriculture,2017,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,agriculture,2018,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,agriculture,2019,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,agriculture,2020,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,agriculture,2021,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,mineral-extraction,2015,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,mineral-extraction,2016,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,mineral-extraction,2017,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,mineral-extraction,2018,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,mineral-extraction,2019,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,mineral-extraction,2020,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,mineral-extraction,2021,0.000000,0.000000,0.000000,0.000000,0.000000
ABW,power,2015,875169.569500,14.176870,6.519479,877294.183795,878081.569036
ABW,power,2016,865655.963300,13.767226,6.586677,867786.915033,868551.293012
ABW,power,2017,663000.000000,11.906384,3.464293,664251.416397,664914.709608
ABW,power,2018,680000.000000,11.857883,3.403033,681233.824469,681894.462884
ABW,power,2019,688000.000000,12.184789,3.496655,689267.787667,689946.639196
ABW,power,2020,699000.000000,10.263670,2.885774,700052.112870,700623.992616
ABW,power,2021,592536.869300,11.319211,3.215077,593705.802613,594336.463352
ABW,transportation,2015,745125.562182,80.692025,25.407070,754187.637036,758682.429427
ABW,transportation,2016,727048.515938,75.448485,26.939975,736370.127085,740569.751138
ABW,transportation,2017,724470.940164,73.846974,26.756187,733701.418560,737811.591802
ABW,transportation,2018,743294.502640,77.605964,25.326044,752251.907210,756574.027727
ABW,transportation,2019,765814.771543,80.010572,26.096494,775045.813431,779501.865846
ABW,transportation,2020,530030.285271,65.317447,18.677637,536846.624859,540486.508682
ABW,transportation,2021,694602.468188,73.500598,23.727437,703015.116204,707108.806955
AFG,buildings,2015,400135.415400,5536.132366,36.004404,564688.288708,874675.696800
AFG,buildings,2016,305318.487900,5626.211733,27.417710,470118.109574,785158.548912
AFG,buildings,2017,287808.594500,5720.118112,26.128169,454895.866421,775196.352524
AFG,buildings,2018,282181.597210,5606.052183,31.658023,447540.434429,761447.698654
AFG,buildings,2019,229684.979540,5670.646194,25.765995,395291.061647,712821.482516
AFG,buildings,2020,234343.260840,5779.369244,26.285965,403131.380397,726749.772096
AFG,buildings,2021,242911.691670,5780.203382,27.318112,411996.686046,735660.757326
AFG,fossil-fuel-operations,2015,438727.611300,33054.132724,12.370149,1417835.229222,3433977.789775
AFG,fossil-fuel-operations,2016,509118.314110,38252.275305,13.553272,1629035.953064,3919614.771720
AFG,fossil-fuel-operations,2017,358055.379693,45689.365258,12.908392,1697092.510291,4440445.558394
AFG,fossil-fuel-operations,2018,371338.188677,49279.579476,12.791595,1827218.124512,4825293.083500
AFG,fossil-fuel-operations,2019,325004.440700,48847.130228,13.007513,1768553.519294,4741726.437707
AFG,fossil-fuel-operations,2020,348721.034500,51618.364767,13.368636,1878370.980481,5034561.360876
AFG,fossil-fuel-operations,2021,325096.542000,54305.865655,13.354915,1923341.357010,5208112.594613
AFG,manufacturing,2015,2623671.443140,245.255697,30.549928,2638634.333576,2652338.102680
AFG,manufacturing,2016,2654911.965088,245.525595,31.518509,2670139.086633,2683857.001444
AFG,manufacturing,2017,3206649.009487,313.721053,41.065351,3226315.516986,3243842.830603
AFG,manufacturing,2018,3532541.505690,342.732729,45.822632,3554281.019582,3573428.229774
AFG,manufacturing,2019,3328603.621332,333.696981,44.152607,3349647.577655,3368290.455984
AFG,manufacturing,2020,3348089.954875,348.336664,46.242310,3370097.593617,3389558.204491
AFG,manufacturing,2021,3397808.343962,352.650330,46.922795,3420117.093877,3439818.589562
AFG,waste,2015,0.000000,169898.682024,953.929002,5009954.282202,14523326.546544
AFG,waste,2016,0.000000,174751.554928,955.431503,5146232.886279,14931364.530744
AFG,waste,2017,0.000000,179401.164833,968.764098,5279955.101294,15325451.567844
AFG,waste,2018,0.000000,183725.439838,991.751948,5407126.581684,15694759.460664
AFG,waste,2019,0.000000,187290.393823,1014.451267,5512960.612799,16000208.215620
AFG,waste,2020,0.000000,190942.255975,1037.670131,5621365.752015,16313094.416484
AFG,waste,2021,0.000000,194710.970746,1054.418356,5731328.045228,16634087.988648
AFG,agriculture,2015,25871.822412,449156.831171,12917.051800,15992559.913403,41033906.654843
AFG,agriculture,2016,38894.295896,435444.088509,13328.622958,15739670.032946,40039448.170466
AFG,agriculture,2017,32921.413543,422451.736014,13299.680086,15364146.581650,38942178.909740
AFG,agriculture,2018,40390.282732,432657.249550,14356.883845,15935915.126111,40079455.994821
AFG,agriculture,2019,11387.578449,447645.596009,14278.431833,16303803.640232,41281188.012517
AFG,agriculture,2020,159454.016107,453395.455600,13707.127364,16457471.475491,41743401.934861
AFG,agriculture,2021,64366.076311,452910.195154,13701.350454,16361556.092799,41623408.110392
AFG,fluorinated-gases,2015,0.000000,0.000000,0.000000,396512.663263,934097.963936
AFG,fluorinated-gases,2016,0.000000,0.000000,0.000000,452375.560339,1064343.186796
AFG,fluorinated-gases,2017,0.000000,0.000000,0.000000,507475.709809,1190592.369116
AFG,fluorinated-gases,2018,0.000000,0.000000,0.000000,574910.306233,1344517.634220
AFG,fluorinated-gases,2019,0.000000,0.000000,0.000000,634376.184437,1481324.187948
AFG,fluorinated-gases,2020,0.000000,0.000000,0.000000,695043.061153,1620317.856532
AFG,fluorinated-gases,2021,0.000000,0.000000,0.000000,761807.271783,1773023.352820
AFG,mineral-extraction,2015,736.000000,0.000000,0.000000,736.000000,736.000000
AFG,mineral-extraction,2016,1430.000000,0.000000,0.000000,1430.000000,1430.000000
AFG,mineral-extraction,2017,1029.000000,0.000000,0.000000,1029.000000,1029.000000
AFG,mineral-extraction,2018,919.000000,0.000000,0.000000,919.000000,919.000000
AFG,mineral-extraction,2019,1099.000000,0.000000,0.000000,1099.000000,1099.000000
AFG,mineral-extraction,2020,1130.000000,0.000000,0.000000,1130.000000,1130.000000
AFG,mineral-extraction,2021,1144.000000,0.000000,0.000000,1144.000000,1144.000000
AFG,power,2015,2403154.635000,97.399862,24.827226,2412461.046026,2417890.611072
AFG,power,2016,2381635.012000,94.270020,26.740945,2391360.922985,2396613.303160
AFG,power,2017,2536318.701000,101.955423,30.408266,2547231.643334,2552910.738756
AFG,power,2018,2714542.263000,107.721051,32.789003,2726247.538223,2732247.128076
AFG,power,2019,2412286.049000,99.363327,30.495140,2423149.434256,2428683.285428
AFG,power,2020,2497878.234000,102.358335,31.679377,2509139.302285,2514839.689668
AFG,power,2021,2547292.769000,105.394877,32.321824,2558809.108916,2564678.900204
AFG,transportation,2015,2579711.018481,540.868059,124.024586,2627780.439307,2657946.239622
AFG,transportation,2016,1831464.125272,382.656051,84.534533,1864634.950492,1885980.289831
AFG,transportation,2017,1705201.750072,339.936083,73.992101,1734390.877998,1753354.611520
AFG,transportation,2018,2342463.936156,498.928343,96.624410,2382107.604584,2409952.379960
AFG,transportation,2019,1969162.742849,406.328681,80.308177,2001891.952638,2024567.507328
AFG,transportation,2020,1912512.649928,413.865060,79.231443,1945146.125668,1968244.350739
AFG,transportation,2021,1959731.464281,429.582043,81.417704,1993379.719155,2017355.812597
AGO,fluorinated-gases,2015,0.000000,0.000000,0.000000,277645.130372,658883.547830
AGO,fluorinated-gases,2016,0.000000,0.000000,0.000000,315598.689094,747372.864922
AGO,fluorinated-gases,2017,0.000000,0.000000,0.000000,353034.033720,833147.256560
AGO,fluorinated-gases,2018,0.000000,0.000000,0.000000,398849.472830,937724.933668
AGO,fluorinated-gases,2019,0.000000,0.000000,0.000000,439250.923360,1030672.067692
AGO,fluorinated-gases,2020,0.000000,0.000000,0.000000,480468.331896,1125105.130224
AGO,fluorinated-gases,2021,0.000000,0.000000,0.000000,525828.304712,1228854.087148
AGO,manufacturing,2015,4800902.027550,199.497829,8.490580,4808737.970462,4819901.358306
AGO,manufacturing,2016,4761425.823754,213.931396,11.170558,4770376.100712,4782345.088330
AGO,manufacturing,2017,3081734.596142,183.392155,6.066768,3088477.270002,3098741.163914
AGO,manufacturing,2018,3100198.556309,185.466721,6.245874,3107046.781107,3117426.671609
AGO,manufacturing,2019,3308935.168273,191.805625,6.799710,3316107.648923,3326841.964213
AGO,manufacturing,2020,3283040.140225,192.719317,6.396957,3290131.474706,3300917.359501
AGO,manufacturing,2021,3491512.789197,197.540120,7.001301,3498899.257322,3509954.502741
AGO,mineral-extraction,2015,5788.000000,0.000000,0.000000,5788.000000,5788.000000
AGO,mineral-extraction,2016,6789.000000,0.000000,0.000000,6789.000000,6789.000000
AGO,mineral-extraction,2017,6741.000000,0.000000,0.000000,6741.000000,6741.000000
AGO,mineral-extraction,2018,6745.000000,0.000000,0.000000,6745.000000,6745.000000
AGO,mineral-extraction,2019,7236.000000,0.000000,0.000000,7236.000000,7236.000000
AGO,mineral-extraction,2020,7525.000000,0.000000,0.000000,7525.000000,7525.000000
AGO,mineral-extraction,2021,7807.000000,0.000000,0.000000,7807.000000,7807.000000
AGO,transportation,2015,8520712.624878,1595.807948,320.134427,8650389.752695,8739438.153813
AGO,transportation,2016,8464566.753890,1512.683339,379.505332,8607646.754146,8691980.745595
AGO,transportation,2017,7246081.054893,1235.666269,326.679873,7367402.692037,7436276.488055
AGO,transportation,2018,7517738.817190,1259.208021,336.554826,7642333.058741,7712515.246901
AGO,transportation,2019,8543054.721706,1379.407137,388.477221,8684770.210053,8761631.548392
AGO,transportation,2020,7431259.340548,1255.014036,344.273532,7557681.605282,7627619.140563
AGO,transportation,2021,7954875.642356,1346.428892,368.850053,8090369.365184,8165401.536483
AGO,waste,2015,0.000000,187708.387774,995.233075,5519571.622547,16030246.104816
AGO,waste,2016,0.000000,193978.756929,998.403038,5695981.999082,16557793.984068
AGO,waste,2017,0.000000,200557.793683,1009.481152,5883130.728404,17113357.693500
AGO,waste,2018,0.000000,207067.655438,1043.035811,6074298.842179,17669044.510896
AGO,waste,2019,0.000000,211632.271692,1072.112686,6209813.469166,18060148.571232
AGO,waste,2020,0.000000,216334.926947,1102.026225,6349414.904141,18463068.786948
AGO,waste,2021,0.000000,221060.234821,1123.384855,6487383.561563,18865633.326684
AGO,agriculture,2015,6773193.263800,236618.896988,12274.594123,16650823.471868,29795386.478532
AGO,agriculture,2016,7431168.891390,239597.833357,12420.968341,17431123.054201,30733755.619923
AGO,agriculture,2017,6324336.951295,235703.903060,12542.224602,16247472.597522,29347262.621567
AGO,agriculture,2018,6138101.740715,237310.505208,12801.210191,16174882.983682,29367013.626020
AGO,agriculture,2019,6602579.778298,242387.594004,13121.628784,16866418.645601,30336172.578848
AGO,agriculture,2020,6474853.007817,241735.229223,13113.868956,16718372.842136,30153355.570835
AGO,agriculture,2021,3695607.540005,227551.959521,12945.020507,13497318.523105,26176332.976683
AGO,buildings,2015,4908060.338370,53904.525021,47.175837,6429888.635763,9448494.861102
AGO,buildings,2016,4369992.753400,54618.667397,41.861323,5910408.691111,8969012.204020
AGO,buildings,2017,3528748.849440,55335.641069,29.996284,5086095.814632,8184861.718212
AGO,buildings,2018,3270783.477770,56047.535859,26.216940,4847061.970922,7985697.762086
AGO,buildings,2019,3592685.227840,56812.511220,30.755698,5191585.801970,8373055.674592
AGO,buildings,2020,3275125.662610,58023.395338,28.037183,4907210.585569,8156492.687314
AGO,buildings,2021,3514035.263550,58046.405180,30.082403,5147306.445385,8397875.053062
AGO,fossil-fuel-operations,2015,21517125.200200,1279543.410601,262.709254,58908198.242759,132179546.349722
AGO,fossil-fuel-operations,2016,21104498.188800,1236701.825407,272.953075,57272986.292182,128108946.766129
AGO,fossil-fuel-operations,2017,19580902.285500,1201702.130685,256.986212,54636532.145632,123636368.065881
AGO,fossil-fuel-operations,2018,18018170.188400,1112905.228262,230.969722,50474610.329620,114378227.120392
AGO,fossil-fuel-operations,2019,16865262.165900,1054962.172672,220.174817,47623721.222749,108153524.146473
AGO,fossil-fuel-operations,2020,14691054.758600,872118.249977,211.431228,40169240.940112,90408652.444144
AGO,fossil-fuel-operations,2021,13546668.125300,845605.503061,209.817389,38194659.362660,86845835.977377
AGO,power,2015,6198000.000000,227.285604,47.200379,6216872.097347,6229552.890792
AGO,power,2016,6337000.000000,148.701421,31.512120,6349514.351588,6357810.119044
AGO,power,2017,4071508.850000,148.046265,30.743593,4083801.197565,4092061.044812
AGO,power,2018,4016468.964000,146.973067,30.181188,4028582.224696,4036782.535260
AGO,power,2019,4612129.507000,192.774479,30.565024,4625626.923772,4636391.729572
AGO,power,2020,4304458.056000,182.864969,28.041612,4317009.302312,4327221.698964
AGO,power,2021,4687903.324000,201.156184,30.210951,4701541.599167,4712776.134520
AIA,agriculture,2015,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,agriculture,2016,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,agriculture,2017,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,agriculture,2018,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,agriculture,2019,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,agriculture,2020,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,agriculture,2021,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,fluorinated-gases,2015,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,fluorinated-gases,2016,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,fluorinated-gases,2017,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,fluorinated-gases,2018,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,fluorinated-gases,2019,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,fluorinated-gases,2020,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,fluorinated-gases,2021,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,fossil-fuel-operations,2015,388.109345,0.000000,0.000000,388.109345,388.109345
AIA,fossil-fuel-operations,2016,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,fossil-fuel-operations,2017,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,fossil-fuel-operations,2018,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,fossil-fuel-operations,2019,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,fossil-fuel-operations,2020,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,fossil-fuel-operations,2021,0.000000,0.000000,0.000000,0.000000,0.000000
AIA,power,2015,96000.000000,0.017200,0.004050,96001.554850,96002.514000
AIA,power,2016,96000.000000,0.017700,0.004210,96001.611250,96002.598240
AIA,power,2017,96000.000000,0.018300,0.004360,96001.667800,96002.688240
AIA,power,2018,96000.000000,0.017700,0.004230,96001.616550,96002.603520
AIA,power,2019,96000.000000,0.019100,0.004190,96001.645150,96002.710560
AIA,power,2020,96000.000000,0.016800,0.003490,96001.395250,96002.332560
AIA,power,2021,96000.000000,0.020400,0.003940,96001.615300,96002.753760
AIA,transportation,2015,26263.350300,4.573968,1.070135,26675.207934,26930.284190
AIA,transportation,2016,29942.688389,4.665646,1.313491,30422.316504,30682.298110
AIA,transportation,2017,30265.346805,4.744811,1.339782,30754.077449,31018.464350
AIA,transportation,2018,27534.518933,4.529742,1.145198,27965.198813,28217.726819
AIA,transportation,2019,26198.459853,4.416540,1.098802,26613.506085,26859.737678
