"South Carolina Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,64.76427120800001,63.941844567000004,64.42233496600001,68.92158892399999,69.930520255,68.641170244,73.00177697500001,74.886914358,78.86902931699998,82.59289871499999,85.765348067,83.70685692599999,84.24934143599998,85.51679352800001,92.62593717900002,91.52519183199998,92.36565778100001,92.677974268,90.40435607800002,84.094819602,86.09710753200002,82.457187669,76.22413979699999,72.01593609399997,75.97253466699999,74.83901673099997,73.571818521,71.10319388899998,75.00473783099999,70.86770775200003,64.923302823
Methane,4.268715895,4.35703834,4.389224181,4.479295574,5.511060006,5.243366526,4.850860583999999,4.713179504999999,4.74799053,4.579495478,4.542728959,4.360320349,4.497742165,4.538303043000001,4.142085064,4.346658584,4.233467675,4.041154948,3.901738723,3.729693589,4.030381,3.6413009479999996,3.92700813,3.754554975,4.025241056,3.89574217,3.9587000110000004,3.7856933489999998,3.91473635,3.777689798,3.824161253
Nitrous oxide,2.8228553669999994,2.973705119,2.955269874,2.8505271909999994,3.248973921,3.1514161519999995,3.177327811000001,3.296482619,3.172898923000001,3.296525611,3.2790515000000005,3.1611541900000004,3.3612041329999998,3.4014597950000005,3.31678697,3.2092628580000007,3.1647738739999998,2.9775091540000007,3.193480622,3.0546305599999997,2.991872013,2.9742989410000007,2.9887500240000007,2.906377837,2.84492937,2.876798787,2.7608661499999996,2.6969690739999996,2.813722029,2.7792161880000004,2.5670844340000007
Fluorinated gases,1.492197249,1.289171565,1.268064294,1.3095829350000001,1.376415675,1.6786231559999998,1.9212474810000002,2.1145489039999994,2.090795852,2.2437254180000004,2.3899076280000005,2.1906758829999995,2.0445218069999997,2.099615963,2.3419474609999997,2.4096826619999994,2.4522906950000003,2.6934839189999997,2.7494375,3.137410533,2.3279056939999996,2.2284763819999998,2.741604817,2.7213803120000004,3.159345781,3.238166295,3.3336976320000002,3.3225494280000003,3.3705115240000003,3.517407928000001,3.612186546
Total,73.34803971900001,72.56175959100001,73.034893315,77.56099462399999,80.066969857,78.714576078,82.95121285100001,85.011125386,88.88071462199999,92.71264522199999,95.977036154,93.419007348,94.15280954099998,95.556172329,102.42675667400002,101.49079593599997,102.21619002500002,102.390122289,100.24901292300001,94.01655428399998,95.44726623900003,91.30126394,85.88150276799999,81.39824921799996,86.00205087399999,84.84972398299998,83.625082314,80.90840573999998,85.10370773399998,80.94202166600003,74.926735056
