"Pennsylvania Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,253.87178287299997,249.48471501800003,255.160328771,257.15479432,255.143223335,259.364728839,265.15480382299984,265.3135252249999,262.08603118300005,262.64791879600006,274.7670798520001,260.092994505,266.089372203,270.694262601,277.19856953500005,277.9055681120001,273.0724723,273.6361241019999,265.35365861699995,246.55991187400002,256.02995923300006,249.89041129400002,239.04833843199998,247.98341410899997,246.48161396399996,232.97198056999997,220.658765228,216.569175078,220.13863456499996,220.554399356,200.397331196
Methane,37.088754011999995,39.899550201000004,38.35202850900001,41.197528092,42.661220005,41.910643132,45.01312806199999,46.018389209999995,45.433122512,42.443178525,41.078683215,40.896072734,39.456397222999996,39.562381772,38.14488826,37.680876669,37.861987510999995,35.756226712,38.546142224,38.027566678,37.202328951,33.63936021,34.38973226,36.966601435,36.264709112,35.892180837,35.461539593,37.029867827000004,37.626263691,38.863103365,36.01216866
Nitrous oxide,8.312259774000001,7.889155371999998,8.476680368,8.576860944,8.671033206,8.412880644,9.118864492,8.591004328,8.761873468,8.751842584999997,8.829934453,8.52523403,8.678540774,8.746407374999999,8.798095606,8.309066583,8.604933557999999,8.133794019000002,8.275775566,8.227283164,7.997422331000001,8.102761375,7.690994082000001,7.872333792999999,7.7720828740000005,7.466357285999997,7.115689774000002,6.926328237999999,7.025588189000001,7.011101743,6.455025525000001
Fluorinated gases,0.6460904830000002,0.634853943,0.7259846400000001,0.849231139,1.113229208,1.6953192629999996,2.058396656,2.3783999699999994,2.61607992,2.995946733,3.228846055,3.398911076,3.615139580000001,3.686061397,3.7963033459999997,3.978996575000001,4.1792614619999995,4.369049173,4.7673990229999985,5.231677863999999,5.322845752000001,6.039385265000001,5.114199796,5.964987320999999,4.933971031999999,5.020562951,5.050103946999999,5.038345950000001,5.056246852,5.199012671,5.2598703339999995
Total,299.91888714199996,297.90827453400004,302.715022288,307.778414495,307.588705754,311.383571878,321.3451930329998,322.3013187329999,318.89710708300004,316.83888663900007,327.90454357500016,312.9132123449999,317.83944978,322.68911314499996,327.93785674700007,327.87450793900007,323.718654831,321.8951940059999,316.94297542999993,298.04643958,306.552556267,297.671918144,286.24326456999995,298.78733665799996,295.4523769819999,281.351081644,268.286098542,265.56371709300004,269.846733297,271.627617135,248.12439571500002
