"Louisiana Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,186.187223488,184.67788005899996,193.07142613699997,195.610887015,201.54788746000006,201.995464066,203.514872905,211.36369670699995,199.22887392099997,202.09637971899994,215.358882892,193.25635111,197.42036798800007,191.996128575,197.259935057,193.51945499499993,199.71611191199997,203.83164634700003,194.47947244900004,184.74414207299995,196.150050644,200.073776522,194.969798828,190.28500941599998,186.76630134,184.72186847300003,185.96820688500003,188.991819732,194.66359720900002,195.36986718100005,183.77429325500006
Methane,20.502430012999998,20.000515742999994,19.817580005999996,19.489459712,19.497687308999996,19.192546165000003,18.527161545,18.027965315000003,17.229093005,16.711561428999996,16.584583637,16.125541144000003,16.11874799,15.704794949999998,15.601422583,15.194355393,15.429429815999999,15.598521201,15.688973898,15.476950264000001,15.66293609,15.820121155000002,15.353397548000002,15.610817481000002,15.107345813000002,15.092837251999999,15.318712978,15.749843037,16.654431797,16.506056445000002,15.439942777
Nitrous oxide,7.572638168,8.010505267,7.774373413999999,7.529157357999999,8.235200922999999,7.904018352,8.177824888,8.216193588000001,8.0371887,7.987555608999999,7.976790966000001,7.629389038000001,7.7942124580000005,7.592462375,7.834357509,7.223573284,7.3916348460000005,7.888664826,8.022982871999998,7.804236899999999,7.939271485999999,8.057610884,8.175907334,8.146757609,7.737214867,8.834340009000002,7.3137500809999985,6.681370724000001,7.134926652999999,7.974704548,7.158158738000001
Fluorinated gases,13.824018036999998,12.44638576,14.157051049999998,13.308656009999998,12.13751072,12.986013008999999,12.847538727,12.653163644,16.307432402,13.052833099999999,12.926308106,10.0828067,11.607324059999998,8.235061888999999,11.294767432,11.102921467,10.414752339999998,13.130791685999997,11.710926478000001,6.954962426,6.848660803,6.291161647999999,5.072771607999999,3.010764265,3.308624231,3.3332796479999995,3.3836035760000005,3.3698956540000005,3.3561698439999996,3.4426667620000004,3.4695230349999995
Total,228.086309706,225.13528682899994,234.82043060699996,235.93816009499997,241.41828641200004,242.07804159200003,243.06739806500002,250.26101925399993,240.80258802799997,239.84832985699992,252.846565601,227.094087992,232.94065249600007,223.528447789,231.99048258099998,227.0403051389999,232.95192891399998,240.44962406000005,229.90235569700005,214.98029166299997,226.600919023,230.24267020900004,223.571875318,217.05334877099997,212.91948625100002,211.98232538200003,211.98427352000004,214.79292914700002,221.80912550300002,223.29329493600005,209.84191780500007
