"Oklahoma Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,94.53493825899999,94.98911442199999,97.09775905899997,100.08351335700002,98.40291236199997,99.76200686999998,101.64559854500001,102.300153908,100.52912086400002,98.97124908400001,101.97590101900002,103.20212230400003,102.97489810399999,103.74081879599999,102.73218255299999,108.78498470699998,110.378856208,111.10584031699999,113.890697836,107.09536983599996,106.61629031800003,107.300896313,106.469827675,106.16923072800003,107.21841440899999,102.75692800900002,98.38104585500001,95.17389513299999,100.316645174,93.33012386400002,86.211114028
Methane,33.511201958,33.328095903,33.16764114,32.508592263000004,31.76330756,31.907795014999998,31.204807447,30.730911228999997,30.505644620999995,29.54186181,29.564659512000002,29.282069150999998,29.34649814,30.210299869000004,29.384071718,29.394666377,29.294840617,29.134212435000002,29.246139791,28.436348153999997,28.693196061,28.171866138,27.028095791000002,26.673708366,26.522442775,27.349028479,27.376285568,28.611480698999998,28.630065953999996,28.201462087,26.90540128
Nitrous oxide,11.658174802000001,12.631037067000001,12.242489726000002,11.927055940999997,12.899214294,12.162254073000001,13.788598521999997,12.988454181,12.454070974000002,12.816026263,11.802328935999997,12.088165498000002,12.606930984,12.148419938999998,12.978632315,11.725240011,11.006367534999997,13.444700565,12.207643644,12.618083607,12.389618304000003,12.157331032,11.524245301999997,13.734531827000003,12.743252723,14.468670445999999,12.935391361,13.095465445999997,13.361992739000002,13.191940302999999,12.26742578
Fluorinated gases,0.6451201865,0.621287925,0.634496566,0.6816330440000001,0.780141756,0.996483083,1.1411804180000003,1.280101332,1.3337711209999998,1.462580579,1.5387605480000002,1.6180472200000005,1.6461820779999998,1.682821242,1.7092535379999998,1.740044054,1.8007893790000002,1.8836754720000004,1.981641679,2.5289164410000002,2.525655119,2.9582475900000005,2.4949909481999994,2.5619988479999996,2.8196137510000003,2.840828177,2.8593128080000003,2.842741032,2.889579038,2.9768648860000004,3.044519314
Total,140.3494352055,141.56953531699997,143.14238649099997,145.200794605,143.84557597199998,144.82853904099997,147.78018493200003,147.29962064999998,144.82260758,142.791717736,144.88165001500002,146.19040417300002,146.574509306,147.782359846,146.804140124,151.644935149,152.48085373900003,155.568428789,157.32612295,150.67871803799994,150.22475980200002,150.588341073,147.5171597162,149.13946976900004,149.303723658,147.41545511100003,141.552035592,139.72358230999998,145.198282905,137.70039114,128.428460402
