"Tennessee Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,108.72791505800001,103.96822738800005,110.13232549399997,120.60106533300001,115.835417787,122.02977140799999,122.89808998499997,126.464351834,126.35325230000001,127.51570724799998,132.739002104,130.13506701200006,128.28378934,126.74254136799999,128.42240592599998,130.604663709,132.49460746099993,132.16165231600002,126.59895708700002,104.02219787700001,108.392953391,104.18700444299999,98.079433041,96.18509819999998,101.469064534,97.537168371,100.52728944400003,96.35499938699998,92.457327902,91.75761794400002,83.18645257899998
Methane,11.001618095000001,11.253248776000001,11.239830364,10.902606521,11.233858858000001,11.335265714000002,11.034435556000002,10.291791049000002,9.75001578,9.150730761,9.045137143000002,8.881452341000001,8.912458555999999,9.078080658000001,8.856095904,8.669711287000002,8.772606596999998,8.748782939000002,8.485970754,8.108403861,8.731722792,8.465207191188,8.554164371999999,7.841803734,7.888095787999999,8.01424961,8.015049473,7.951310705,7.897046440999999,8.091454125999999,7.5240174
Nitrous oxide,6.335217388000001,6.448318648999999,6.530991394000001,6.540784235000001,7.022933846999998,6.955256288000001,7.110318877999999,6.8579425789999995,7.100783971000001,6.565036753000001,6.739310932,7.1770509,6.916726472,6.938805168999998,7.024728039999999,6.417565668,6.646322652000001,6.178704816,6.084043498000001,6.435648559999999,5.855919871000001,6.085919168999999,5.945557143,6.510708447,7.0010853,6.173571685999999,6.343378242,6.201095007000001,6.263882926000001,6.329707426999999,5.736960457
Fluorinated gases,1.5721226350000002,1.404026438,1.3793202129999997,1.408790389,1.5108775660000002,1.8839678340000003,2.195246181,2.3587302310000005,2.37613341,2.573706989,2.7393071829999998,2.59345132,2.854396304,2.984153009,2.889967969,2.956082468,3.1105970779999996,3.394863023,3.494110152,4.326626876000001,4.1370490030000004,4.966379373,4.184688884,4.243758892000001,4.5918270219999995,4.722686017000001,4.787197542,4.859413285,4.908462005,5.216890207999999,5.159943191
Total,127.63687317600001,123.07382125100006,129.28246746499997,139.45324647799998,135.603088058,142.20426124399998,143.23809059999994,145.972815693,145.580185461,145.805181751,151.262757362,148.78702157300006,146.967370672,145.743580204,147.193197839,148.64802313200002,151.02413378799994,150.484003094,144.663081491,122.89287717400002,127.117645057,123.70451017618798,116.76384344,114.78136927299998,120.950072644,116.44767568400002,119.67291470100004,115.36681838399998,111.526719274,111.39566970500002,101.60737362699997
