"Virginia Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,94.40961779599999,94.50209915099998,97.15704034699999,101.44191494299999,100.77929512000001,103.39387806000002,108.28476698999998,110.34815110800001,112.79494227800002,115.03047949999998,122.87558729300001,120.62815879899999,118.497329643,123.48828229599998,126.98372163599998,127.33628493499997,120.899109718,126.340400918,115.716999683,104.853881858,109.78129285299998,99.80110138499998,96.672560002,103.496904358,104.865582941,105.61553216000003,107.66575036299999,102.557920574,106.63295344,102.353124201,97.423650441
Methane,31.156148894,30.443794537000002,28.913548029999998,24.714274305999997,23.712519370000003,19.948244938,20.157571751,19.536747640999998,17.992288753,16.964293861999998,16.222356449,16.000408377,15.848464155000002,16.705476197,16.099199460999998,14.815791883000001,15.236299064,15.193965782000001,14.917223186000001,14.120134593,14.361221741999998,13.987519056999998,12.827906223,13.769305844000002,12.650136875,12.717364787,12.610509578,13.042224199999998,12.694239006,12.664815997,12.603124747
Nitrous oxide,6.91340993,6.785795327,7.112121834000001,7.2674346,6.250982158,7.5552920120000016,7.824469605,7.320427984,7.450177540999999,7.613601168999998,7.816328062,7.590554271000001,7.522015939999999,7.754508844999999,6.307160322,7.298046597000001,6.4278138139999985,5.606098066,5.776918920000001,5.790639355,5.597719562,5.8874604910000015,5.360946718199999,5.6425097571,5.472547562000001,5.498704555899999,5.2443061024,4.9900822575,5.073534703499999,5.231004166,4.80045443527
Fluorinated gases,0.7195827404999999,0.7093169830000001,0.7270208440000001,0.8723956230000001,1.0487483410000003,1.461998596,1.7437626390000003,1.98593057,2.2591634299999996,2.448419437,2.448963668,2.3869464750000002,2.492997642,2.565497091,2.62988817,2.7081947110000004,2.88539241,3.0087926240000002,3.160192455,3.3608952229999995,3.4205662180000003,3.962009994,3.426601929,3.897168388,3.3102782270000004,3.4040808090000008,3.450252447,3.44732658,3.4876547650000003,3.544863029,3.6086036699999995
Total,133.19875936049996,132.44100599799998,133.909731055,134.29601947199995,131.79154498900002,132.35941360600003,138.010570985,139.191257303,140.49657200200002,142.056793968,149.363235472,146.606067922,144.36080737999998,150.513764429,152.01996958899997,152.15831812599995,145.448615006,150.14925738999997,139.57133424399998,128.12555102899998,133.16080037499998,123.63809092699998,118.2880148722,126.8058883471,126.298545605,127.23568231190004,128.9708184904,124.03755361149999,127.8883819145,123.79380739300001,118.43583329327
