"Michigan Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,188.77947467500002,188.16233897899997,188.460457565,188.80749901000002,193.35378066800004,196.35456481300002,201.70310218800003,198.893231265,197.39082439900002,202.33382666900002,200.68775835900001,196.34798233499998,196.90384036199998,194.72203419000002,196.28998459600004,197.12430279400004,185.188680771,187.220291522,179.97184645100003,167.83088889900003,177.10843477100005,171.872136537,164.281112544,171.877772175,171.88416392400003,171.21527422999998,162.342993513,160.05541199500001,167.425070885,162.56533129299999,140.96356365499997
Methane,18.848534318,19.155014831000003,19.06927176,19.945330933999998,19.830771058,19.297991057000004,19.128162619999998,18.548770749,18.072261605999998,17.786066488,17.489796701,17.054917979000003,16.817407595,16.595788193,16.700179856,16.647520662999998,15.946931069,15.939895396,15.544277883,15.091437826999998,14.858756552,14.378397453,14.231589797,14.042206022999999,13.986089117000002,14.629320786999997,14.402636805,14.552875549,14.710746856,14.561601358,14.347195524000002
Nitrous oxide,9.216206519000002,9.192460977000001,9.308149895000001,9.163794787999999,9.470271399,9.110101010000001,9.533972305999999,9.216771764,9.414045561999998,9.742732599,9.611643913,9.263124667,8.927885074000002,9.349835656000002,9.095079095000001,8.485920251000001,9.252589906999999,8.35486901,8.675542510000001,8.183286932,8.610397939,8.704953847,7.955444556000001,8.630776542000001,8.514989296000001,8.867394568,8.443787758,8.345936161000001,8.571510787999998,8.540626536000001,7.863841456
Fluorinated gases,2.086145135,1.9386396389999998,2.1431592900000003,2.232167432,2.52831142,3.265213134,2.714247904,3.1473779520000003,3.375901039,3.6891150509999995,3.8936476509999998,4.489146553,4.721928835,4.902427633,4.8902335180000005,5.177560864,5.307460797,5.527055298,5.47509654,4.538490481999999,5.681760883,5.617233532999999,5.843109857,5.238822638,5.083528553000001,5.174620195,5.172335107,5.153585106,5.089870741,5.219815752000001,5.352338924999999
Total,218.93036064700001,218.44845442599998,218.98103851000002,220.148792164,225.18313454500006,228.027870014,233.079485018,229.80615173,228.25303260600006,233.551740807,231.682846624,227.155171534,227.37106186599996,225.57008567200003,226.97547706500004,227.43530457200006,215.695662544,217.04211122599997,209.66676338400006,195.64410414,206.25935014500004,200.57272136999998,192.311256754,199.789577378,199.46877089000006,199.88660977999996,190.361753183,188.107808811,195.79719927,190.88737493899995,168.52693955999996
