"Maryland Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,71.33968239899998,69.736494994,69.96901759099998,71.94571956200001,73.091978957,72.618118951,75.12429942100003,76.16171641499999,78.79226779300002,81.154797915,81.20341559799999,81.87820289900002,82.43157056299998,84.99618642200001,86.119512843,87.35126903800001,81.03996113400001,81.65616251200001,76.42282945499997,72.811007454,72.527006277,72.08706242900001,64.111206132,63.347175513,66.13791228299998,64.421811722,62.446579884,56.901516631999996,63.244382771000005,58.632868845,49.881967777
Methane,4.1819597129999995,4.1248432180000005,4.06178861,4.01722445,3.825721291,3.521353269,3.3251939310000007,3.0818284300000003,2.8435631949999998,2.828994986,2.722978371,2.6653668109999993,2.77610764,2.7762746689999993,2.715658828,2.5936015760000006,2.5551549650000003,2.4049082800000003,2.357657803,2.289717446,3.26772247,3.1369653339999997,2.82822179,2.7040387299999997,2.821541353,2.6226989759999997,2.646816958,2.697097454,2.7007744770000004,2.7128000350000003,2.6514160769999995
Nitrous oxide,2.580846874,2.522827511,2.758326888,2.780230204000001,2.850025377,2.927050069,3.042718602999999,2.8449343450000004,2.899456825,2.838165514,3.15889088,2.9442630409999992,2.8977195760000005,2.9556599249999995,2.9921101479999996,2.799420581,2.6963681220000004,2.5348173910000003,2.54530042,2.5693895600000007,2.3612036659999998,2.5081251449999997,2.339798202,2.330962812,2.351211271,2.208094745000001,2.182705837,2.06758059,2.152245569,2.0974644799999997,1.9181943209999999
Fluorinated gases,1.0196023204,0.9149725070000001,0.8887424810000001,0.883629919,0.9375746189999999,1.1580754480000002,1.361100368,1.4422097710000001,1.439692363,1.55429989,1.659541167,1.5306047889999999,1.7668739959999997,1.7479711480000002,1.7449711079999999,1.8412176699999998,1.9047610869999998,1.859029802,1.986264032,2.2763876300000003,2.313063381,2.6915012329999994,2.2951702340000004,2.627312173,2.225507676,2.2886125890000004,2.3089058569999996,2.3091754659999997,2.3244978310000004,2.3764992630000004,2.421609238
Total,79.12209130639998,77.29913823,77.67787556999997,79.62680413500001,80.70530024399999,80.22459773700001,82.85331232300003,83.53068896099998,85.97498017600003,88.376258305,88.74482601599999,89.01843754000001,89.87227177499999,92.47609216400002,93.572252927,94.58550886500002,88.196245308,88.45491798500001,83.31205170999996,79.94650209000001,80.468995794,80.423654141,71.574396358,71.009489228,73.53617258299998,71.54121803199999,69.585008536,63.975370141999996,70.421900648,65.819632623,56.873187413000004
