"Texas Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,601.45428071,596.4502592330001,601.657860783,612.9024934030002,619.6074270299999,622.1419379840002,665.3199632029999,680.1636303549999,686.6120779849998,681.5500395650002,708.079589052,698.838978542,711.7915290409999,705.231835018,704.11930217,679.6543367940002,684.1219491739998,683.5868996330001,656.553436424,610.978637011,641.5225947029999,661.7348155839999,663.0808029809998,700.7813028560001,698.7131416459999,692.6028138800002,682.426829554,697.3661278010002,727.648230569,729.126138342,666.68687876
Methane,101.15852888899998,101.15608111099999,102.33094406600001,104.307032432,104.63633536600001,102.00677080099999,99.963380835,96.859580455,93.223632738,88.949522215,90.142070061,90.143310526,88.385124103,89.9081180615,88.710312899,89.08354715299998,91.3870347798,93.62632811630002,95.1927218308,90.4726902536,91.02848830359999,91.03134277656501,89.852509518,89.83350850915998,87.847374944,87.36215704377999,86.267766386,87.31111570700001,88.61009825599999,93.472109807,88.667012224
Nitrous oxide,55.018415706999996,57.725635292,51.842671747000004,51.311195566,54.90695173699999,57.395385463000004,58.48029562000001,50.665183416000005,45.474596487999996,44.29080849500002,45.767238311,43.29623293599999,47.011004471000014,45.476296236,48.831020094,42.29235483700001,42.713155574999995,46.613422714,38.949578122000005,41.641982815,43.050961801999996,34.63814209899999,41.454864365999995,41.49457533400001,43.58151318099999,44.771193256000004,40.86468234800001,40.53041837699998,40.96623221,41.484356427,38.639026856
Fluorinated gases,4.5071872609999994,4.157625412000001,4.1691852560000005,4.589851438999999,5.300302453000002,6.937826643999999,8.126943670000001,9.006573857,9.721068026000001,10.548138401000001,10.852106524000002,10.510684628000002,11.0718784,11.271218074,11.445205163,11.782088077,12.470087675999999,13.212369888,13.833028606,17.230332664,17.382888253,21.293513625999996,18.045867682,18.592557983,20.404656896999995,21.098586196,21.595810197,21.835942626,22.220589851,22.838973702,23.570671947
Total,762.138412567,759.489601048,760.0006618520001,773.1105728400003,784.4510165859999,788.4819208920002,831.8905833279998,836.6949680829999,835.0313752369998,825.3385086760002,854.841003948,842.7892066320001,858.2595360149998,851.8874673895,853.1058403259999,822.8123268610003,830.6922272047999,837.0390203513001,804.5287649828,760.3236427436001,792.9849330615998,808.6978140855649,812.4340445469999,850.7019446821602,850.5466866679999,845.8347503757802,831.155088485,847.0436045110001,879.4451508860001,886.921578278,817.5635897870001
