"California Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,348.7816548469999,337.36342192800004,350.931190177,339.02762115900003,353.740846409,341.8114904629999,343.490586983,348.182372766,360.50009934400015,363.82524657600004,378.68900948400005,382.3188940729999,379.28059895499996,373.467194214,389.7561576409999,383.5806702689999,388.487219353,392.656082785,372.81177896200006,354.11742557599996,345.05210823199997,333.7221383140001,341.417526426,344.6104024719999,338.6948738960001,342.89431319599987,343.9478826260001,345.468835224,346.73077272599994,348.6545392910001,299.94871126500004
Methane,59.949636032,59.292729616,58.226330715,54.773356246999995,53.977589677,52.807221989,51.06408501999999,48.754367149000004,46.726321435,46.724710589,47.186283724999996,46.639441166000005,46.519536884999994,47.187637885,46.325972918000005,46.409508324,45.977347531,46.721960134999996,46.490990073000006,44.996991738999995,41.329137648,41.635470759,42.748304792000006,41.677388265000005,41.843159156000006,42.512961391000005,39.395876625,39.41000329299999,39.057080217,38.606949978,39.470850153
Nitrous oxide,18.124259031,17.460326685000002,17.96240788,18.610373539999998,18.679073936,19.397299861999993,20.141891291,19.541600198,19.786441448999998,19.123963839,20.096761922000002,19.540488365999998,20.609423269,20.959407839000004,20.746561526,19.802223791,19.980778185,18.748778384,19.253247569000003,18.062759083,18.732797074999997,18.40392581,17.016885473000002,16.883888243,16.805771828000005,16.926217708,16.841692740000003,16.659534686999994,16.577388063,16.578815669,15.976985053
Fluorinated gases,2.889888798,2.7403590429999998,2.956154053,2.1170552230000004,2.6799952630000003,3.934870131,4.858355404999999,5.67714694,6.243541292999999,6.906479136000001,7.259196630999999,7.637039786000001,8.004069088000001,8.353546036,8.622403304,8.919650999,9.392081700999999,9.895531556000003,10.511062103,8.515291938,13.400388321,12.226931475,12.293633992999998,13.602127253000003,15.445534422000001,15.895300149999999,16.025316196,16.169972376999997,16.333746587,16.687844242999997,17.083113817000005
Total,429.74543870799994,416.85683727200006,430.076082825,414.52840616900005,429.07750528500003,417.950882445,419.554918699,422.15548705300006,433.25640352100015,436.58040014,453.23125176200006,456.1358633909999,454.4136281969999,449.96778597400004,465.4510953889999,458.7120533829999,463.83742677000004,468.02235286,449.06707870700006,425.692468336,418.5144312759999,405.9884663580001,413.476350684,416.7738062329999,412.7893393020001,418.2287924449999,416.21076818700004,417.708345581,418.69898759299997,420.52814918100006,372.4796602880001
