"Delaware Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,17.782628905000003,17.195479782,17.291696235000003,18.552530078000004,18.101735094,17.449852158,17.672586124999995,16.436645206,15.912528057000001,16.002502553,16.051184013000004,15.778390969999998,15.672212334000001,16.435551118999996,16.478353221000003,17.295895768999998,16.257211428,17.202363217,16.056955076999998,11.850529295000001,12.814373920000001,13.863218489,14.485770709,14.143474736000002,13.782997965999998,13.914131286000002,14.843007653,13.622701079000002,13.863586703000001,13.510994559000004,12.439963317999998
Methane,1.184176727,1.04819411,0.909318503,1.00444866,0.935320348,0.837436963,0.860622074,0.816712367,0.7739626849999999,0.845732107,0.8788631419999999,0.871983261,0.84678024,0.893143829,0.887037843,0.869308596,0.876216326,0.8574776289999999,0.814155725,0.791998417,0.552329663,0.537843324,0.595865905,0.613109707,0.706719275,0.760037924,0.80833646,0.804938149,0.7781983969999999,0.781675962,0.7417134999999999
Nitrous oxide,0.599071338,0.584454286,0.6054430179999999,0.6277146389999999,0.626360269,0.6336218020000001,0.6477187540000001,0.648719785,0.6113880790000003,0.640908885,0.627626238,0.599811716,0.592049832,0.605075673,0.568071629,0.5496259960000001,0.5495508880000001,0.5549145779999999,0.5578404220000001,0.558538186,0.519053423,0.529230752,0.489260464,0.5034165429999999,0.520477212,0.582756977,0.555051562,0.5372426859999999,0.525730374,0.5115766420000001,0.468185024
Fluorinated gases,0.03758569458,0.0367063426,0.038672261,0.045871028,0.061023551999999995,0.094041979,0.11879276799999999,0.142141367,0.157196778,0.176931294,0.19201230000000002,0.20711872,0.21787838299999998,0.229534106,0.24003805599999997,0.252849465,0.269632277,0.289453736,0.31133094999999994,0.35683598099999997,0.361910095,0.420159723,0.3580169723,0.4109544994,0.349871407,0.36085208100000005,0.36611344400000007,0.36782713599999994,0.372820042,0.384275734,0.39554527899999997
Total,19.603462664580004,18.8648345206,18.845130017000002,20.230564405000006,19.724439263,19.014952902,19.299719720999992,18.044218725000004,17.455075599,17.666074838999997,17.749685693000004,17.457304667,17.328920789,18.163304726999993,18.173500749000002,18.967679825999998,17.952610919,18.904209159999997,17.740282173999997,13.557901879000001,14.247667101000003,15.350452288,15.928914050300001,15.670955485400002,15.360065859999997,15.617778268000004,16.572509119,15.332709050000004,15.540335516000003,15.188522897000002,14.045407120999998
