"Ohio Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,256.23811548000003,254.994920254,260.09091292,265.189543702,262.3882883889999,267.10406091400006,278.34542001799997,274.75578159900004,274.8606822570001,274.8287705469999,281.1798451489999,268.074149881,274.070588881,279.51049679000005,275.28531679,281.165991148,272.299186444,276.62799928399994,270.370544085,240.615241398,246.661964113,234.48237588299997,213.79315915599994,225.10599351399998,226.30445304900002,209.86464285399998,203.99224248000002,204.53772808200003,208.435951012,195.65800731900003,185.11431986099996
Methane,26.896590622,27.523067355,26.611633812999997,26.2218242,25.741438103,25.303242614999995,24.945743483,24.122698043999996,23.803759231,22.374024759999998,22.122877724,22.092001691,21.018017821,20.062262083999997,20.508089014,20.621655598,20.648050382999998,20.179752111,20.617714041,20.946298237,20.971211419,19.895328236,20.427674665010002,20.4593827071,20.01022496246,19.847409027999998,19.804856334,19.086716011,22.28301285,19.834356905,19.270601737
Nitrous oxide,13.852058604,11.728580030000002,13.029188778000002,13.162621714,12.970988903,14.269282871000001,14.100683467999998,12.758092729000003,12.978344379000001,12.810938827000001,13.478325854,14.385361908,13.40195656,13.459063515000002,12.894399388999998,12.706692542999999,12.522953044,11.987729885,13.113987921999998,12.656285762000003,13.021696704999998,12.836886490999998,10.966545532,13.136898056000001,12.376640102000001,12.593554487,11.985972894999998,11.819990351000001,11.764068894,11.963451786999997,11.243857424000002
Fluorinated gases,2.7987707499999996,2.501302186,2.539246514,2.670786813,2.967311092,3.758719619,4.499967045,4.852742008000001,4.904748887999999,5.186137283000001,5.122222218,4.982360659,5.363065332999999,5.415951761,5.477659572,5.423241417000001,5.922295162,6.2660101940000015,6.460699035999999,5.499499667,7.097976937,7.232755401,7.503665477999999,6.599108201,6.117392998,6.267396081999999,6.364585097,6.32093041,6.372458948,6.179903831000001,6.277597608000001
Total,299.78553545600005,296.74786982499995,302.27098202499997,307.244776429,304.0680264869999,310.435306019,321.891814014,316.48931438000005,316.54753475500013,315.19987141699994,321.90327094499986,309.533874139,313.853628595,318.44777415000004,314.165464765,319.91758070599997,311.392485033,315.061491474,310.562945084,279.71732506399997,287.752849174,274.447346011,252.69104483100992,265.3013824780999,264.80871111146,248.57300245099998,242.14765680600001,241.765364854,248.855491704,233.63571984200001,221.90637662999995
