"Minnesota Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,80.75405874999997,80.20733200200002,81.35837624799998,85.91701754900001,87.65216923399998,90.78780368000001,95.81239133300001,94.08880360200004,94.517163641,94.836422649,100.35312517100002,97.41159110799998,99.70982249300002,104.54633025899999,102.87213561700001,103.00586368200001,101.03564538499998,102.213928793,101.599409267,93.90863228699997,108.44924469200001,107.575098678,103.15337857299997,106.874697525,113.55530369799997,99.81099508800001,101.916369061,102.52010185799999,107.84573143599998,104.37166434899999,90.67424482799997
Methane,10.032758544,10.275194187,10.112224736999998,10.148273777,9.941954407999999,10.125947051,10.158226362,10.224795496,10.194651325000002,10.094609043,10.026320068999999,10.028737023999998,9.849726603,9.908502747999998,9.644220276,9.791670753,9.814207117,10.012835528,9.713552782,9.615573612000002,9.706225626999998,9.630307688999999,9.767330107000001,9.734469511999999,9.677429221,10.007933917999999,10.187592060000002,10.292690236,10.569840400999999,10.630314313,10.350245048000001
Nitrous oxide,18.925328497000002,18.994375183,17.241940033,19.846980889999994,17.992551263000003,18.793395061000002,17.378752817000006,17.560558719,18.349286946,18.191709681000006,17.103646906999998,16.888558806,18.257385651999996,17.453644193000002,19.406982110999998,19.179723476000007,16.608667052999998,17.718524579000004,18.251153539,17.05818384100001,18.041267225000002,16.646792386999998,16.126155689999997,17.404977721,19.910756598999996,20.119630043,18.424156422,18.277888282,18.968332271999998,19.124904478999998,17.703792412999995
Fluorinated gases,0.7960636910000002,0.7686504380000002,0.7889554710000002,0.8645541700000001,1.0043299190000003,1.318025778,1.5411132529999998,1.7437280419999996,1.855745162,2.037630058,2.115903357,2.2225535099999996,2.287099863,2.357867412,2.4152671180000005,2.4891989480000003,2.590433998,2.719142278,2.8542551949999995,2.5182232329999996,3.1745603749999995,3.462138243,3.5049506309999994,3.179352069,3.095017061,3.116432326,3.089637196,3.099620612,3.1252930949999995,3.1897960060000004,3.214791078
Total,110.50820948199998,110.24555181000001,109.50149648899996,116.77682638600001,116.591004824,121.02517157000001,124.89048376500003,123.61788585900004,124.916847074,125.16037143100002,129.59899550400002,126.55144044799998,130.104034611,134.26634461199998,134.33860512200002,134.46645685900003,130.048953553,132.66443117799997,132.418370783,123.100612973,139.371297919,137.314336997,132.55181500099997,137.19349682700002,146.23850657899996,133.05499137500001,133.61775473900002,134.190300988,140.50919720399995,137.31667914699997,121.94307336699997
