"Massachusetts Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,84.058832503,82.06244574300003,83.80506064900001,80.27788209299999,80.93130778300001,78.264551147,79.05102966499999,85.14102069599998,83.60440256100001,81.35395014000001,82.292301678,82.52120178899999,82.94114949300001,85.279911678,82.94197805199998,83.619892959,77.16977120899999,80.451618265,75.63065822899999,71.10835290600001,73.40829620999999,69.34202255500003,62.84919749899998,66.515642548,65.31491994699999,66.87825262999999,63.846737184,63.903469344,63.654977726999995,62.899025723,52.462401941
Methane,4.411448016,4.3767355189999995,4.270857219,3.98822103,3.929991867,3.6645510980000005,3.5906744539999997,3.373089517,3.2526050640000004,3.02172983,2.8391780200000003,2.754298845,2.78161334,2.776068194,2.737370448,2.628493007,2.584915107,2.4665492529999997,2.424106709,2.395554645,2.255330127,2.165840511,2.219157759,2.120109706,2.0527788840000003,2.0615954530000002,1.9999948610000002,1.9544964340000002,1.919550491,1.9097290210000002,1.892017493
Nitrous oxide,1.941952466,1.939853709,1.966348991,1.9393932550000001,2.0204696749999997,2.049641708,2.112262996,2.1229685810000003,2.127917868,2.0831330489999997,2.0680009799999994,1.9895170350000002,1.960247414,1.9361699799999998,1.884658881,1.8068965200000002,1.8110109209999996,1.7169584789999999,1.6709238509999997,1.6040831190000002,1.586144888,1.5423940760000001,1.460860375,1.467205839,1.420727517,1.352592244,1.337963889,1.308398253,1.257086722,1.271723828,1.1972230240000001
Fluorinated gases,0.2275454288,0.22731321699999998,0.24589152999999997,0.33110038300000005,0.477425307,0.792011139,1.018585465,1.2244181009999997,1.3908479109999998,1.5452832239999998,1.6330809020000001,1.7042501449999998,1.786919297,1.8556937299999996,1.9068296310000001,1.970803264,2.0847285610000004,2.2043735109999996,2.3441338459999996,2.651399118,2.706191887,3.164810525,2.7026094630000004,3.066069798,2.6143627379999996,2.66073004,2.6807607200000003,2.694151979,2.710803617,2.761794361,2.807314552
Total,90.6397784138,88.60634818800003,90.288158389,86.536596761,87.35919463200001,84.770755092,85.77255257999998,91.86149689499997,90.375773404,88.004096243,88.83256158,88.96926781399999,89.46992954400001,91.84784358200001,89.47083701199998,90.02608575,83.650425798,86.83949950799999,82.069822635,77.75938978800001,79.95596311199999,76.21506766700003,69.23182509599998,73.169027891,71.402789086,72.95317036699998,69.86545665399998,69.86051601,69.54241855699999,68.842272933,58.358957010000005
