"North Carolina Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,113.62278187300001,112.71828558400004,123.16076051499999,128.271840124,123.98720485599999,129.822645768,141.70584781499997,143.439770855,144.07475041100005,142.91351256500005,151.496525879,146.86491813,148.65486835299998,150.701667976,152.94408055599996,156.38091600500002,151.24621040099998,155.93307328,149.11917574199998,134.65471173800006,147.196802764,132.97185923900003,124.17220868200003,125.70254746500001,128.56836233800001,124.28846305599998,124.78191810500002,120.849009226,123.94445661900002,122.24610233399997,106.88916834999999
Methane,7.617894881000001,7.977328582,9.499637372,10.357648511999999,11.262092655,11.860387242999998,12.351435059,13.065831174,12.908729959,12.269985782999997,12.208731219,12.217689211,12.583787057000002,12.502779796999999,12.345315672000002,12.281987834999999,11.918661514,12.11920277,11.908062429,11.842858786,12.714202233000002,12.589006910599998,12.237263815,12.133261242,11.893049860000001,12.409712292999998,12.988504536,12.983180658999999,13.298958007,13.282921517000002,13.149185097
Nitrous oxide,6.228706667999999,6.286908294999998,6.713189671,6.6383397429999995,7.11851581,7.430573529,7.7173635,7.431757002,7.784227091999999,7.562229320999999,7.29115885,7.147805428,7.352609934,7.445167315,7.427719846999999,7.153665029999999,7.247401205,6.702880938999999,7.098359037999999,6.864992566000001,6.762696852000001,6.7956484480000015,6.809541006000001,6.613951536999999,6.478945211,6.598795448999999,6.355581987,6.2188014990000005,6.328025738999999,6.3885768789999995,5.892232548
Fluorinated gases,1.2463996190000002,1.1144176229999998,1.131451797,1.25468513,1.530067848,2.17763407,2.654636300999999,3.036884859,3.2284422489999995,3.5660511510000004,3.834891651,3.9300352340000004,4.163151533000001,4.234936556,4.298225329,4.4301891399999995,4.619359335999999,4.9540603359999995,5.2187818109999995,6.109442828,4.607820915,4.378949939999999,5.533565395999999,5.485356407,6.267266716,6.378302194999999,6.687762505000002,6.733532381999998,6.8437411169999995,7.107911644,7.344313050999999
Total,128.715783041,128.09694008400004,140.505039355,146.522513509,143.89788116899996,151.29124061,164.429282675,166.97424389000003,167.99614971100007,166.31177882000006,174.83130759899998,170.160448003,172.75441687699995,174.884551644,177.01534140399994,180.24675801000004,175.03163245599998,179.709217325,173.34437902000002,159.47200591800006,171.28152276400002,156.73546453760005,148.752578899,149.93511665100002,153.207624125,149.675272993,150.813767133,146.78452376599998,150.41518148200004,149.025512374,133.27489904599997
