"Wyoming Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,61.093292835,60.003476432,65.781232495,62.366382742999996,64.75714386199999,62.160743817999986,63.917152858,63.59278810299998,68.742995899,67.20523705699999,68.22522489800002,68.992861699,67.64997403,68.95607368399999,70.10695050000002,69.582759894,70.698535638,73.42175686300001,74.02412039800001,70.25894724,71.561235052,70.56937329200002,71.838801002,74.486692328,70.77277178500002,68.79536206999998,65.27289140100001,66.78765598600002,67.828124083,63.000694101,58.88602725900001
Methane,10.552358352,10.745751457,11.181408653999998,11.487044625000001,12.283304857,12.489954676,12.650126992,13.28450985,14.178539536,15.460123209999999,18.2412731156,20.0349877694,20.140211756,19.852625974000002,20.958410393,21.319341508999997,22.778452136,22.974296992,23.347644500999998,21.905359527999998,21.287564937,21.252471295,19.498329958,18.820618535999998,18.337905285,17.707483011,15.774743133000001,16.140096919999998,16.717599397,15.036646049,13.628630012
Nitrous oxide,5.3557336609999995,5.3074975239999995,5.225128679000001,5.770773335000001,5.566837163,5.970209225999999,5.559736470000001,6.842588911999998,6.460086716,5.599752872999999,5.056833459000001,5.625475869000001,5.5068154929999995,5.720154148999997,5.848759781999999,5.861430804,5.540132478,5.975755558,6.401926871,6.362329386999999,5.610122138,6.135205917,5.384817611999999,7.048295949999999,7.589274171999999,6.865059382,6.917563848,6.846852493,6.827148693,6.891074571999999,6.386516659
Fluorinated gases,0.36014062729,0.3455120014,0.343959562,0.33953196799999996,0.331848386,0.32990728099999994,0.323851992,0.31911332099999995,0.29291157200000006,0.30566332900000004,0.299616135,0.29866312899999997,0.28547737900000003,0.281794582,0.276399643,0.27159479599999997,0.263663106,0.269808151,0.281307525,0.29602392,0.26942103500000003,0.17102144,0.2930406271,0.26038935550000003,0.29469807899999995,0.29051993600000003,0.29363642000000006,0.288040677,0.285482337,0.29166559599999997,0.29448512600000004
Total,77.36152547529,76.40223741439999,82.53172939,79.963732671,82.939134268,80.95081500099998,82.45086831200001,84.03900018599998,89.674533723,88.57077646899998,91.82294760760001,94.95198846640001,93.582478658,94.810648389,97.19052031800003,97.035127003,99.280783358,102.64161756400003,104.054999295,98.82266007499999,98.72834316199999,98.12807194400003,97.0149891991,100.6159961695,96.99464932100003,93.65842439899997,88.25883480200001,90.06264607600002,91.65835451000001,85.220080318,79.195659056
