"Montana Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,29.190605334,30.494545971000008,31.540586576,29.148075987000002,32.065604527,31.774310837999998,29.078426604999997,31.039337120000003,33.474945785,34.16285817400001,33.195329515,33.38875750999999,32.44067898299999,35.229535838,36.642206054,37.56532472199999,37.99982143199999,39.40323637500001,38.44391070599999,34.44187273600001,35.929515426,32.968406302000005,31.995545835000005,33.298048101000006,34.02292281800001,34.074496334,32.027829942000004,31.982619144,32.221396337,33.435703421999996,26.801365604999994
Methane,7.631177686,7.9279704697,8.3820489936,8.2745879406,8.504750749200001,8.7274684401,8.622072513500001,8.663901667,8.598406595,8.601516947999999,8.619567184000001,8.547078133,8.453989332,8.522293938,8.6218124156,8.7409378553,8.9104816247,9.3409377391,9.509464414600002,9.147832402099999,9.53595371469,8.915039178999999,8.822580723,8.835367955999999,8.901567243999999,9.033648911000002,8.807210562999998,8.785190873999998,8.780273304,8.600255143,8.430719299
Nitrous oxide,13.165970028,13.727269482,12.198968331000003,15.339111487000002,12.331970199000002,14.655953024000002,14.38917981,16.335088208000002,13.581836199000001,14.208035253999999,11.918993537999999,12.947774701,13.242577768999999,12.313448604,14.114551475999999,13.923929183999999,13.517017724,13.192624538,12.15243408,14.011489184,14.863114912,15.924170981000001,10.339843352,15.146824236000002,16.026531160999998,14.203116995,14.363833455000002,14.290047297000001,14.558895838000003,14.888907872999997,13.590122406
Fluorinated gases,1.4759274448999997,1.3137365109000003,1.2713086990000002,1.2162683010000002,1.1367116220000004,1.1228838600000002,1.14376822,1.057907116,0.9098022259999999,0.92024226,0.9153627320000002,0.6742275219999999,0.786720606,0.700646356,0.6349298549999999,0.6469615669999998,0.604147258,0.704462106,0.657351516,0.6155739979999999,0.466764016,0.29363792000000005,0.5062701934999999,0.4493121549999999,0.511970702,0.5072651520000001,0.51735833,0.516378558,0.515790451,0.5291231900000001,0.5367284290000001
Total,51.463680492900004,53.463522433600005,53.3929125996,53.9780437156,54.0390370972,56.2806161621,53.2334471485,57.09623411100001,56.564990805,57.892652636,54.649252968999996,55.55783786599999,54.92396668999999,56.765924735999995,60.013499800599995,60.87715332829999,61.031468038699984,62.64126075810001,60.76316071659999,58.21676832010001,60.795348068690004,58.10125438200001,51.664240103500006,57.72955244800001,59.46299192500001,57.81852739200001,55.71623229,55.574235873,56.076355930000005,57.453989627999995,49.35893573899999
