"Arkansas Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,54.019665467,52.710937079,54.754481581,53.77763072,57.564948,61.019791463000004,63.51835815900001,62.50981123100001,64.05696573499999,65.87653187000001,66.617224472,65.47434909200001,63.700479404000006,65.042641923,64.89487631699998,63.42651846299998,66.261733651,67.523303517,67.368145175,64.38288366200001,69.11174393199998,70.14231602499999,69.44983837400001,71.112056078,71.78662768699999,61.418107431,64.26152054500001,66.16500172100001,72.67367156499998,66.94535832700001,56.44027560399999
Methane,10.624299410999999,10.753673786999999,10.938373078,10.59135087,11.029728367999999,10.915230033,10.737222811,10.426952915,9.9485756884,9.528426171000001,9.2018250294,8.936556447000001,8.576392895,8.608483879,8.674629732,8.500161145,8.266241342899999,8.3346897104,9.007907761999999,9.025360773700001,10.0484502694,9.634646366,9.357537901,9.254596618999999,9.135783942,9.193078056000001,8.911666025,9.063124432,8.700087971,8.582619521,8.538637206
Nitrous oxide,8.102391223,7.947535490999999,7.87563251,7.975838562,8.470846933999997,8.079575527,8.704216701,8.192478350999998,8.732098515999999,8.28076874,8.484686089,8.595684358,8.462084565000001,8.602584238999999,8.681771563999998,7.621178722000001,8.537213332999999,8.479938573,8.808536121000001,8.996187794999999,8.264331411999999,9.358009513,8.925705128,8.848106435,9.239138835999999,8.848727848000001,8.073369023,8.265818016999999,8.703796335999996,8.502813082,7.645536792
Fluorinated gases,0.3320075509,0.320504332,0.33176707299999997,0.372031363,0.4560359710000001,0.6349407450000001,0.7589896600000001,0.876354337,0.934966419,1.0340713799999999,1.1044980380000002,1.1717273480000001,1.2026346820000002,1.2391058890000002,1.269116497,1.3052817160000003,1.3649631320000002,1.432755234,1.512162871,1.9295872049999998,1.92463685,2.2674862129999998,1.8975074171000001,1.951299603,2.1720690580000004,2.1524301619999995,2.205993376,2.2117220469999994,2.193811931,2.266375864,2.2693477229999997
Total,73.0783636519,71.732650689,73.900254242,72.71685151500002,77.521559273,80.649537768,83.71878733100002,82.005596834,83.67260635839999,84.71979816100001,85.40823362840001,84.17831724500002,81.941591546,83.49281593,83.52039410999998,80.85314004599996,84.4301514589,85.7706870344,86.696751929,84.33401943570001,89.34916246339998,91.40245811699998,89.63058882010002,91.166058735,92.333619523,81.612343497,83.452548969,85.705666217,92.27136780299998,86.297166794,74.893797325
