"Florida Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,186.859994737,187.550705261,190.35318435,197.76097624399998,201.91311758400002,206.59359507000002,213.388870026,216.19356101099999,228.782021872,229.27529649200005,237.95976505199997,236.85321906200002,241.41982109500003,248.09959907900003,255.29510476500002,258.37882647299995,256.12437088200005,254.11942825799997,238.797941804,225.95777654600002,240.14655938500002,226.42545830499995,222.342492297,223.04131749,228.01021145999994,232.15647946499996,233.543850853,233.41965412399998,234.40853280200002,227.398563081,208.252625214
Methane,15.31340326,14.399667885,14.638132586000001,14.466847722,14.414816563999999,14.103750977999999,13.870625001,13.255294499,12.753419765999999,12.780929142,12.922389291,12.680522519,12.817694072999998,13.319333192,13.808399342000001,14.39270578,14.144019834999998,12.920620005,12.004596942,11.607424799,13.955416287999999,12.806260856,13.147944227,13.071302064,13.013229275,12.984325862999999,13.227530584,13.757202663,13.968260994000001,14.546113383000002,13.554356598999998
Nitrous oxide,12.234767676999999,12.488130161,12.591652537999998,12.791667192000002,13.257475226,13.394861012999998,13.463213354,13.814149658000002,13.800911549999999,13.808730567,13.854313946000001,13.456875113999999,14.115048941,13.778530718999997,13.748547573999996,15.999431978999999,17.781843708999997,20.341589873,12.994939780999998,13.034250568000003,14.752996689999996,20.399315926999996,15.078135528999999,13.90575411,14.505446017000002,13.462840217,16.917774891999997,17.035758963000006,20.089970898,15.086963862,17.362340091000004
Fluorinated gases,0.671721059,0.6580015749999999,0.7512573359999999,1.0805627890000002,1.753355511,3.0999853189999995,4.048726031000001,4.956795304999999,5.546774498000001,6.230886623,6.789210028,7.328995305,7.682979549,8.017273178,8.316023878000001,8.635397143,9.051830233,9.511729875,10.029288520999998,11.858348791,8.953538317,8.174012118,10.630400770999998,10.655367508,12.168724102,12.572877136000002,12.842248833,13.159687695999999,13.422393744,13.950553091,14.350944045
Total,215.079886733,215.096504882,218.33422681000002,226.100053947,231.33876488500002,237.19219238000002,244.77143441200002,248.21980047299996,260.883127686,262.09584282400004,271.525678317,270.319612,276.035543658,283.214736168,291.16807555900004,297.4063613749999,297.102064659,296.89336801099995,273.826767048,262.457800704,277.80851068,267.8050472059999,261.198972824,260.673741172,267.69761085399995,271.17652268099994,276.531405162,277.37230344599993,281.889158438,270.982193417,253.520265949
