"Vermont Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,5.731562695,5.979166100999999,6.3498504659999995,6.336076355999999,6.203231374,6.251148451,6.680876189999999,6.732278054999999,6.438779807,6.364708634,6.809895227000001,6.774185302000002,6.449848109,6.798476773000001,7.2159198479999995,6.956004603999999,6.909504653999999,6.65524705,5.933814317,6.215334184,6.015915943,5.985869747,5.489243547,5.737768065,5.935565754,6.070681326000001,5.869473202,5.723031042,5.857707979,6.0460747779999995,5.385585748999999
Methane,0.9686590529999999,0.9423176529999999,0.9354955461,1.053613656,1.004777649,1.014112418,1.0580401240000001,1.045356457,1.117447509,1.1531098770000001,1.163350214,1.172012893,1.1623597129999999,1.173723831,1.1370832659999999,1.198413825,1.1895361580000001,1.200129642,1.20790971,1.2428398992,1.2218296902999999,1.233155671,1.207607801,1.2334713130000001,1.229058384,1.3021077829999999,1.2850741860000001,1.279117179,1.3200341850000001,1.2945549250000001,1.259387889
Nitrous oxide,0.8379503185999999,0.8149927406000002,0.8010138694000002,0.8223981240999999,0.8534778956999999,0.8349576813999999,0.8803739231,0.8330379017,0.9162553583999998,0.8506545550999998,0.8766443077,0.8652151694000001,0.9163321342,0.9006269353,0.8790569189,0.8832710063,0.8775418654999999,0.8027878410999999,0.7819298716,0.7949948001999999,0.8231619054999999,0.8357659447000001,0.8045317701,0.8336315162000001,0.7889117106,0.8286124797000002,0.7928209960000002,0.7851348800000001,0.8063883201000002,0.814496089,0.753533812
Fluorinated gases,0.21214944400999997,0.21035951069999997,0.211742842,0.255802487,0.28614019799999996,0.36710826900000004,0.41471927,0.448225848,0.5281510909999999,0.54852128,0.493583434,0.40731700899999995,0.4193588679999999,0.414049225,0.40620459500000006,0.39901595900000003,0.426036621,0.417101047,0.41337560600000006,0.39022627699999995,0.432867397,0.6453347809999999,0.5768748743000001,0.5574312437000001,0.4423514532000001,0.45334237299999997,0.4491266339999999,0.43468190300000004,0.42655537100000007,0.44516229299999993,0.458665313
Total,7.750321510609999,7.946836005299999,8.2981027235,8.467890623099999,8.3476271167,8.4673268194,9.034009507099999,9.058898261699998,9.0006337654,8.9169943461,9.3434731827,9.218730373400001,8.9478988242,9.2868767643,9.6382646279,9.436705394299999,9.402619298499998,9.0752655801,8.3370295046,8.643395160399999,8.493774935800001,8.7001261437,8.0782579924,8.3623021379,8.3958873018,8.654743961700001,8.396495018000001,8.221965004,8.410685855099999,8.600288084999999,7.857172762999999
