"Arizona Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,64.58979853999999,65.09889007800001,68.162711528,70.64755024300001,73.679579687,68.70559128699999,70.60243381,75.17827742299998,78.77688304099999,82.62888598599999,88.07565188299999,90.348514207,90.13661561600001,91.947889054,98.686813734,99.50424140999998,102.501320896,104.46761848099999,104.61614532800003,94.98119303299998,100.41132536899998,98.27616924200001,96.112609382,99.20813315500003,98.026911264,96.20551154499998,91.68993331099999,91.34660941100002,95.290187512,93.56118583800001,81.893238336
Methane,7.7925472209999995,7.870908436000001,7.827689539,7.918113672000002,7.900110956000001,7.874416749999999,7.656990975,7.729457895000001,7.372506424999999,7.754488417000001,7.713860899,7.6116074209999995,7.581436352,7.632163658000001,7.789499402000001,7.9533375799999995,7.755785115999998,7.785433275,7.641763182,7.513810595999999,5.968183774,5.668220379000001,5.992247069,5.970782246,6.270787261999999,6.169850527,6.273155435,6.201486770000001,6.326650262000001,6.484718337,5.86392607
Nitrous oxide,6.7534361490000006,5.567157345999999,6.658899640000001,6.1826398959999995,6.0708144422,6.211976576200001,6.214973454599998,6.5572817429,6.923751599100003,6.792632241900001,6.2886140304,6.2251328462,6.011139796,6.4372741742,6.8505197841,6.726359914700001,6.848383400000001,6.6249575728000005,6.870815525,5.906903144999999,7.1767598303,6.437526589599999,6.500020863,6.788589148,6.767486055999999,7.2880271596,6.628694917400001,6.490696196200001,6.8659243941,6.842734667600001,6.19671940148
Fluorinated gases,0.9335601291,0.9188594860000001,0.92897483,1.0914148190000001,1.2369712050000001,1.6078088480000001,1.8499349219999999,2.049708103,2.3612646899999996,2.5228066780000002,2.41853716,2.2228514980000003,2.323462691,2.37778244,2.4182683060000003,2.496967327,2.701758226,2.8150846099999995,2.9604690579999997,3.087386322,3.1049107579999995,1.244644728,2.830158908,2.5801436810000005,3.133916789,3.307535714,3.276278514,3.3158684209999993,3.4433345190000004,3.4838281730000005,3.656580606
Total,80.06934203909998,79.45581534600002,83.57827553700001,85.83971863000001,88.88747629020001,84.39979346119999,86.3243331616,91.51472516389998,95.43440575509999,99.69881332289998,104.49666397239999,106.40810597219999,106.05265445500001,108.3951093262,115.7451012261,116.68090623169996,119.80724763799999,121.69309393879999,122.08919309300003,111.48929309599998,116.66117973129998,111.62656093860001,111.43503622200001,114.54764823000002,114.199101371,112.97092494559998,107.86806217739998,107.35466079820003,111.92609668710001,110.37246701560002,97.61046441348
