"District Of Columbia Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,4.535392772000001,4.419927877000001,4.541668974999999,4.742994636000001,4.6573691539999995,4.491375097000001,4.442072547,4.366846622000001,4.203634350999999,4.224250722000001,4.461670078,4.299809096,4.471140128,4.167957160000001,4.2045823460000005,4.433409961,3.495917943,3.6491459400000004,3.3760997270000006,3.4146984039999997,3.521324412,3.2389683419999997,2.697892373,2.8872615649999998,3.0668369820000003,3.0207312230000003,2.828795817,2.6292084900000003,3.6264468810000006,2.8653823780000005,2.4497298610000007
Methane,0.21180844599999998,0.208941151,0.20215885299999997,0.20238923,0.20218798699999999,0.184510794,0.178135444,0.1672165,0.15787123,0.15275578,0.147797292,0.14048454700000002,0.133001861,0.12734648299999998,0.12349504700000001,0.108738193,0.10363467100000001,0.096763749,0.091447013,0.089647703,0.09077719599999999,0.087024631,0.095499308,0.084546249,0.083753014,0.083523206,0.08195187500000001,0.081182518,0.080241458,0.079024743,0.07834006
Nitrous oxide,0.1336564511,0.12955778639999999,0.1404249256,0.1396561689,0.144504062,0.13509361420000002,0.13163624440000002,0.1329415246,0.1269593988,0.124078479,0.12669126520000001,0.13324563369999998,0.12141826309999999,0.1347239227,0.1215758285,0.11378697689999999,0.106508024,0.0937163769,0.09256587259999999,0.0909326488,0.0851357102,0.0840939324,0.09203145169999999,0.0832860356,0.08400897775,0.07954748775,0.08002397535,0.08007903266,0.07996509984,0.08063200540000001,0.0786887546
Fluorinated gases,0.00365124958,0.0040964027,0.0060178060000000005,0.012843946,0.026525671,0.053943649999999996,0.073245931,0.090749304,0.102650809,0.116451551,0.127128361,0.137740986,0.144698247,0.150299122,0.155732293,0.16236308600000002,0.173064543,0.18537098999999999,0.199443873,0.231828321,0.238589613,0.282049869,0.24471001050000002,0.28616016859999993,0.2450417618,0.25613358799999997,0.261498384,0.264236,0.268156506,0.275153942,0.28225217
Total,4.884508918680001,4.762523217100002,4.890270559599999,5.097883980900001,5.030586874,4.8649231552000005,4.8250901664,4.757753950600001,4.591115788799999,4.617536532,4.863286996199999,4.711280262699999,4.8702584991,4.580326687700001,4.6053855145,4.8182982169,3.879125181,4.0249970559,3.7595564856,3.8271070767999995,3.9358269311999994,3.6921367743999998,3.1301331432,3.3412540182,3.4796407355500003,3.4399355047500006,3.25227005135,3.05470604066,4.054809944840001,3.3001930684000005,2.8890108456000005
