"New Jersey Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,105.18355593100001,103.37841741899999,110.113861902,108.23225043,118.458599687,117.20385987200002,120.174748938,120.637147052,115.69913889899999,120.233822091,119.10455875000001,115.75058885900002,114.701789464,117.20008176699997,120.105989912,122.51792935500002,117.320555353,123.60482121799998,116.99729285999997,107.17828448700001,102.87689627600001,101.24450142200001,96.026711212,96.963998248,102.85306512199999,100.875786143,102.96647444000001,96.63076928000001,100.58950442800003,98.46895798300001,81.087469194
Methane,6.535971044,6.043166380000001,6.1225847170000005,5.824822994,5.7076464730000005,5.15416697,4.991269787,4.646234227,4.293325899999999,4.2963443450000005,4.46308649,4.161215497000001,4.0918463979999995,4.113399234,4.066369112,3.784465139,3.874998625,3.780993473,3.625071448,3.510767706,4.137639479000001,3.8675678489999994,3.7923142830000005,3.843151251,3.792606192,3.763100192,3.607882309,3.449254882,3.30621277,3.197404822,3.0530674529999997
Nitrous oxide,2.4548431340000003,2.4762824979999993,2.5047319240000006,2.6062592139999996,2.678184857,2.6612331390000006,2.8067743220000008,2.712563014,2.669412637,2.694458415,2.6648048440000003,2.613903830000001,2.5682541670000005,2.5149933900000003,2.4718082470000002,2.3911128289999994,2.4393782130000004,2.3551675679999997,2.3759776539999993,2.270961275,2.1261069569999997,2.138168633,1.933721561,1.959142097,1.9044561369999995,1.8424085070000003,1.8316506339999998,1.789358051,1.7997703349999998,1.7707175019999999,1.6541328389999999
Fluorinated gases,0.133095453,0.13545403400000003,0.160250307,0.249850373,0.4340919070000001,0.818249894,1.1042419460000001,1.3701428359999999,1.5536030770000002,1.756082737,1.9183385660000003,2.077786405,2.195950084,2.3079115999999997,2.3994951549999994,2.504906386,2.650587693,2.8220297679999993,3.0142312440000003,3.4475913410000003,3.4881343649999996,4.03610244,3.4867399210000003,3.958717538000001,3.295755919,3.4298846500000004,3.4465962539999997,3.4118483789999994,3.418990005,3.4811118980000004,3.5428808530000007
Total,114.307465562,112.033320331,118.90142884999999,116.913183011,127.278522924,125.83750987500004,129.07703499299998,129.366087129,124.21548051299999,128.980707588,128.15078865,124.60349459100001,123.55784011300001,126.13638599099997,129.043662426,131.19841370900002,126.28551988400001,132.56301202699998,126.01257320599997,116.40760480900002,112.62877707700001,111.28634034400001,105.23948697699998,106.72500913399999,111.84588336999998,109.911179492,111.85260363700002,105.28123059200001,109.11447753800003,106.918192205,89.33755033899999
