"Kansas Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,70.391731744,69.58412147599999,66.82152197399999,73.408457551,74.186304305,71.16661043099998,76.86767285599998,73.664765576,72.64667177199999,75.27182663599999,77.72606818199999,73.98413260999999,78.71466026700001,80.884380224,78.88413545099998,75.37492051800001,75.43370675,81.01955254,76.998664294,74.00304847199999,74.250235832,71.94388624099999,66.60488464800001,69.469175178,69.52666916499999,64.598463129,62.498719578000006,58.269612957999996,62.33217133400001,59.802073487,57.869936962
Methane,24.09849871,24.492196607999997,24.80312983,24.671284733999997,24.964315941,25.248303019,25.503101505000007,25.084399432999998,24.473582736099996,23.8463113282,23.837883388299993,23.6832954611,23.024366658999995,23.123215879799996,23.336302098100003,23.4254185283,24.09052156817,23.520909542669997,23.484020477190004,23.272908128059996,23.609446869929997,23.341356655,23.256946138,23.256080314,23.90056877,23.228430810000006,23.85575283,24.146640905,23.573156262,23.503008019,23.433977555000002
Nitrous oxide,20.823737021,18.401609319000002,22.107270762,26.376058631,20.786518506,22.719837435,22.216711847999992,23.325207284,23.023405772,22.356122148999997,20.627067345,26.662238093,21.577113897,23.652611371000003,23.747219032000004,25.329943678000003,20.723834025999995,25.057061632,25.615983731,21.335206816000003,24.188986522999997,20.840144379000005,22.249782058999998,27.525560017999997,25.289230319,25.720629105000004,25.069715830999996,25.023001876000002,25.812377461000004,26.053314065,23.983578425999994
Fluorinated gases,4.8804338846,4.412982723,4.98117866,4.7099960009999995,4.6911458700000015,5.043617472,5.024185976,4.9870783439999995,6.313783496999999,5.180354417,5.160715551,3.5561445520000006,2.5748109699999997,1.243571662,1.2703676449999999,1.300235682,1.3464996809999998,1.414698529,1.4981584140000002,1.3300910039999998,1.6746479530000002,1.642570753,1.7386308855,1.557344048,1.505518907,1.528574055,1.5326756289999999,1.516626313,1.518050846,1.5472953489999999,1.573442308
Total,120.1944013596,116.890910126,118.71310122599999,129.165796917,124.62828462199998,124.17836835699998,129.61167218499997,127.061450637,126.4574437771,126.65461453019999,127.35173446629999,127.8858107161,125.89095179300001,128.9037791368,127.23802422609998,125.43051840630001,121.59456202516999,131.01222224366998,127.59682691619,119.94125442005998,123.72331717793,117.767958028,113.85024373050001,121.808159558,120.22198716099999,115.07609709900001,112.956863868,108.955882052,113.23575590300001,110.90569091999998,106.86093525099999
