"Alabama Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,109.28369680499999,112.83971941200002,119.348769343,124.47105192999997,123.174413439,131.60799016899998,137.35891268999998,134.64203477,137.40851794999998,139.51446755700002,145.93690148800002,138.14500923199998,144.08133986600004,145.29882610300004,146.22145130700005,147.76503085800002,150.35458570400002,151.955358918,144.03914363800004,122.84574806800003,134.59230025199997,131.47868095599998,124.21733182700002,122.94485312200001,125.71570907600001,121.98972974800002,116.23257305800001,109.87657221199999,114.224114385,108.48075135600001,101.06811844199999
Methane,26.489098359,25.980757439999998,25.025188411000002,23.06299822,25.001701758,27.038713843999997,24.618387573,23.094781006,22.898586402,22.553264906,22.348107812,20.662817046,18.931513722,19.177905928999998,18.396651689,17.100037731,16.478623687,17.753424840999998,19.507582658,20.240570680999994,20.092680728999998,18.468983349,18.434686733,18.29146839,17.920459783000002,15.721661380999999,14.876833192000001,15.254768936000001,16.273533645999997,15.129258008,15.690906706999998
Nitrous oxide,4.705576178,5.145845166,5.223483896000001,5.170817953,5.694660327000001,5.344740474,5.581330331999999,5.50711551,5.493679337999999,5.530668183999999,5.300445945,5.573457376,5.509334869999999,5.444600494,5.267387666,5.341779489,5.032167417,5.073957695000002,5.397193788,5.184188178999999,4.770365797,5.010046271,4.945701598,4.979563504,4.866996182,4.976784478,4.741321745,4.544536713,4.5839779499999995,4.571721018999999,4.2324502709999985
Fluorinated gases,0.523622161,0.505827662,0.5256109899999999,0.5992777250000001,0.746299906,1.0500151030000002,1.258838268,1.455486572,1.555852177,1.716391985,1.827499307,1.937727934,1.986240259,2.044269952,2.08894144,2.1439808559999998,2.239850354,2.3515432130000002,2.4836308120000004,3.1706313919999998,3.1542457370000005,3.677180529,3.077181551,3.157032782000001,3.402801833,3.4695643589999996,3.4932107,3.504017935,3.5277808640000003,3.62522505,3.7057020049999996
Total,141.001993503,144.47214968,150.12305264,153.304145828,154.61707543,165.04145958999996,168.817468863,164.69941785800003,167.35663586699997,169.31479263200004,175.41295455200003,166.319011588,170.50842871700004,171.96560247800005,171.97443210200007,172.35082893400005,174.10522716200003,177.134284667,171.42755089600004,151.44113832000002,162.60959251499997,158.63489110499998,150.674901709,149.372917798,151.90596687400003,146.15773996600004,139.343938695,133.179895796,138.60940684499997,131.806955433,124.69717742499999
