"Utah Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,53.54904429300001,52.267266858000006,54.114852412999994,56.099885994,57.536679488999994,58.13196002699999,58.674744013,60.922760857,63.915602265000004,63.15605865,65.30649444400001,64.04749274999999,64.48327887399999,65.11307907000001,67.476962711,69.324615315,70.695443218,72.81344222699998,72.19453866499998,66.98589850600001,66.80128325,67.51946905400001,64.95204865000001,69.88686372100001,68.84386647400004,66.53660204900001,61.591821584,61.79072010299999,63.22585359399999,63.746849289000004,59.902711654
Methane,6.588848723,6.782688065000001,7.477498379,7.646323811999999,7.2598240050000005,7.188265402,7.301973174999999,7.6982264339999995,8.247820659,7.723832501,7.507054342000001,7.6662645220000005,7.628458638,7.685564281,8.626874981,8.684372823,9.177070711,8.541433599000001,9.655212765,9.135129108999998,8.980832015999999,8.424729099,8.363542783,8.012491745,7.3015766079999995,7.174643557999999,6.690836223,6.608745965000001,6.512236858,6.613137136000001,6.671449041
Nitrous oxide,2.8659823090000005,2.9320904170000004,2.9736487529999995,3.3377914750000004,3.1106609290000002,3.279422055999999,3.1819730960000006,3.7461508470000005,3.5883309680000006,3.2541900349999997,3.3153185450000002,3.187238321,3.2218196510000006,3.171587469,3.3265150540000006,3.5879332150000005,3.2213188809999997,3.2144337959999993,3.295371719,3.282642196,3.390350136,3.498129283999999,3.1687346720000003,3.481543621,3.6165758279999998,3.646769932,3.4188139430000004,3.3550725070000005,3.386392427,3.433111889,3.2398007060000005
Fluorinated gases,1.3831250727,1.3277401179000001,1.373883679,1.446344768,1.4769323480000003,1.642818796,1.8768699229999999,1.9076399509999997,1.9014358910000002,1.8719239050000003,1.5151928510000003,1.2681161260000002,1.517981787,1.8447578519999999,1.70249544,1.686679743,1.700733854,1.831072191,1.804428879,1.629801187,1.664463187,1.3161482569999998,1.9982364776999997,1.8572932379999998,1.6725104290000004,1.699828263,1.6807024209999997,1.6403755169999998,1.58950904,1.6737428469999998,1.5910862080000001
Total,64.3870003977,63.309785457900006,65.939883224,68.530346049,69.384096771,70.24246628099999,71.035560207,74.274778089,77.653189783,76.00600509099999,77.644060182,76.16911171899999,76.85153894999999,77.81498867200001,81.132848186,83.28360109600001,84.794566664,86.40038181299998,86.94955202799999,81.033470998,80.83692858899998,80.75847569400001,78.48256258270001,83.23819232500001,81.43452933900004,79.05784380200001,73.38217417100002,73.394914092,74.713991919,75.466841161,71.40504760900001
