"Oregon Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,31.214514920999996,33.488522177,34.74917894299999,35.34145865,36.321111328,34.354788215,36.749865497,36.164405275,42.022134103999996,43.453297660000004,41.990578229000015,41.29788714000001,39.578860971000005,40.586480644000005,41.16192276300001,41.400995654999996,40.581656171000006,43.82067708899999,42.773876773000005,40.506994919,39.477836801,36.326627497,35.768923590000014,38.12216086199999,36.904039866000005,37.909527387000004,37.847448977000006,38.953777006,39.72531614500001,41.740051740000006,37.681451968999994
Methane,6.091356405000001,6.450862488,6.526043094,6.4616398660000005,6.669346197,6.855947057,6.853379338,6.702832044999999,6.452211411,6.409496219999999,6.250859964,6.117349926,6.381302115999999,6.450868963000001,6.5968251030000005,6.567943807000001,6.5106414390000005,6.484841898,6.478786391,6.153797068,5.561899786,5.505912464,5.409753924,5.31398858,5.3498406020000004,5.4830322989999996,5.389819914,5.355718256,5.413811471,5.384316439,5.294041401
Nitrous oxide,4.2986842439999995,4.116946932,4.258579815,4.635720925000001,4.360045207999999,4.573935225,4.3690652299999995,4.736507796999998,5.053188349999999,4.309058801,4.231641026,4.435345452999999,4.5264747739999995,4.836834056999999,4.837679993,4.791858811,4.460040071,4.514945835000001,4.409151682,5.084314899,4.900760640000001,4.755344790999999,4.731597576999999,4.982416549,4.772674929000001,4.371144286,4.608791149000001,4.600655482,4.629729144,4.703467629999999,4.454841028
Fluorinated gases,2.0887273327,1.8706540912,1.3282658539999999,1.898598048,1.4910824660000002,1.7432855380000003,1.9108294199999998,1.9822577209999999,2.1519092499999997,2.229395457,2.069018,1.814192698,1.799612552,1.7479623329999998,1.694854592,1.6871917059999997,1.7588475670000001,1.6857200410000004,1.7008906429999995,1.2671561479999998,1.893168653,1.813847698,1.8110511641999998,1.8089402559999999,2.097380437,2.131779621,2.223888635,2.2150125089999997,2.306745565,2.395137125,2.5159677840000003
Total,43.6932829027,45.9269856882,46.86206770599999,48.337417488999996,48.841585199,47.527956035,49.883139484999994,49.586002838,55.679443115,56.40124813800001,54.54209721900001,53.664775217000006,52.286250413000005,53.622145997000004,54.29128245100001,54.44798997899999,53.311185248,56.506184862999994,55.36270548900001,53.012263034,51.83366588,48.40173245,47.72132625520002,50.22750624699999,49.12393583400001,49.895483593,50.069948675000006,51.125163253000004,52.07560232500001,54.222972934000005,49.94630218199999
