"Illinois Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,198.38951581899994,199.093503307,195.69255217199995,209.850217403,212.09567742300007,217.226236863,230.21292210500002,236.765185045,222.74419359300003,231.450115474,238.99804892599997,231.13265998599996,236.78332006500003,238.16063762300004,243.31806773700004,248.376140825,241.46039280399998,248.071897342,245.14329812299997,228.34283168500002,233.563622299,230.42660111800004,217.585662474,231.639592486,233.10475268,219.60382349900001,203.4724443279999,201.39791086799997,208.14466814899998,198.68544303500002,167.04330338199998
Methane,28.261610477,27.856939680000004,27.388127700000002,26.111408773,26.74189401,26.264360954999997,25.136350131,22.96967833,22.533653850000004,22.043407624,20.785037908,19.680075205,19.010783305,18.47399146,18.759708738999997,18.552227350999996,18.641613455,17.065114568,18.349144681,17.821147147999998,17.999627647999997,16.89174054,18.655831434057504,17.52955898,17.714542841,18.488855803,19.033907282999998,17.392217617,16.408064634,15.681084362,15.465436618999998
Nitrous oxide,24.748215888000004,20.182958844,19.979322239000002,23.679537217999997,21.154173755000002,22.235477928,23.571363902,21.480043171,22.570540942000004,22.157928678,22.713629915,22.662617201,23.060597467,22.741016687,21.860168583000004,20.068071476,21.697265573,20.450136931,23.110017013,22.902248977999996,21.871657189000004,21.654356355999997,20.179787604999998,23.353602846,24.119320755,23.621690642,22.251985580999996,22.056384307,23.148704271,23.257598209999998,21.121872277
Fluorinated gases,1.858387305,1.787405967,1.982738264,2.201210928,2.596870167,3.5300987580000003,4.278705761,4.733831480000001,4.986363338,5.449382794,5.2996797970000005,5.450472123,5.810326684,5.87116503,6.087455129,6.323058077,6.559370304000001,6.65978353,7.153543538,6.068420377,7.716926263,7.762476791,7.9857081999999995,7.025335394,6.818649696,6.910331827,6.846648197999999,6.7702766720000005,6.846117175000001,6.884698494,7.169325252
Total,253.25772948899996,248.92080779800003,245.04274037499997,261.842374322,262.5886153550001,269.256174504,283.19934189900005,285.948738026,272.834751723,281.10083456999996,287.796396546,278.925824515,284.665027521,285.24681080000005,290.02540018800005,293.319497729,288.358642136,292.246932371,293.75600335499996,275.134648188,281.151833399,276.73517480500004,264.4069897130575,279.548089706,281.757265972,268.624701771,251.60498538999988,247.61678946399996,254.54755422899999,244.50882410100002,210.79993752999997
