"Wisconsin Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,88.79741204000001,91.41725734399999,90.66250207200001,93.60620003099999,96.83604814600001,100.054670581,104.146808762,106.64535137600001,104.96064655,108.53649635599999,110.823579577,109.139000536,110.54103650899998,109.44639241499998,111.21927195999997,114.22149998600001,106.600719679,108.59452696899999,108.25891881399997,98.68853058999998,100.96559888899996,99.98031456499999,92.63120921999999,102.76149569600003,102.71813136700003,100.69985501800001,96.56576577499999,99.418587144,102.24613209900001,95.47894048599996,87.91132235399999
Methane,14.986995751,15.241807853000001,15.279401647,14.889262384999999,14.472396587,14.509694158000002,14.809262705,14.828662042,14.732990029,14.396238340999997,14.33191156,14.249543985,14.044978163,14.083868719999998,13.954435197,14.297621708,14.309403377,14.749608882999999,14.586116276999999,14.323607263000001,13.428377773,13.474427907,13.736004478,13.729916189000003,13.621131538000002,14.245124494999999,14.668514654,14.763278318999998,14.806676177,14.596613483,14.621988836
Nitrous oxide,11.919915216999998,11.904557051,11.077545369999998,11.994518179,11.660330720000005,11.802058062000004,11.511507512,11.550321587,12.177061343,12.107936032000001,11.452891028,11.659067936000001,11.871820270000002,11.415685415,11.120356936999999,11.093717636,11.702686775,11.279039675,10.556977435999999,10.493836672999999,11.521334478,10.731431842,10.037647219999997,11.033882497000002,11.866002923999998,12.221869931999999,11.355019202000001,11.294086784000001,11.577259406000001,11.568012352,10.785524805000001
Fluorinated gases,0.544320385,0.5265336190000001,0.548509708,0.626849445,0.7906289989999999,1.1373483500000003,1.3798539459999999,1.6110256090000001,1.7374524100000002,1.9318057849999999,2.075578152,2.2188395940000003,2.299049562,2.3820440179999993,2.45072354,2.5264631300000002,2.634942515,2.77683705,2.9412225419999998,2.5922414820000004,3.2697200690000003,3.2003718570000004,3.39768613,3.043157612,2.938914762,2.988177374,2.997056559,2.977250678,2.9875635180000004,3.051352592,3.1071145679999996
Total,116.24864339300001,119.090155867,117.567958797,121.11683003999998,123.75940445200003,127.503771151,131.847432925,134.635360614,133.608150332,136.972476514,138.683960317,137.26645205100002,138.75688450399997,137.32799056799996,138.74478763399998,142.13930246,135.247752346,137.40001257699998,136.34323506899997,126.098216008,129.18503120899996,127.38654617099999,119.80254704799998,130.56845199400004,131.144180591,130.155026819,125.58635618999999,128.453202925,131.6176312,124.69491891299995,116.425950563
