"West Virginia Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,103.13206139700002,95.17870991,98.16556806799998,98.31052615600001,106.45647529699997,104.96982333199999,108.22714280499999,113.52754138399999,115.28365000000001,118.74324254400001,115.69870918400001,105.48548211399999,117.70469999400001,114.49556029799999,112.250782128,113.887436162,114.57863805899999,115.50936517399998,111.64747267,90.46137782,100.01704882699998,97.42256273400002,93.062886452,95.695067788,101.571819311,94.536171132,95.09045787000001,93.24357627699999,91.756991618,89.26683950500001,79.868980444
Methane,35.958138485,36.281761451,36.012553278999995,29.684907139,28.803585976999997,28.249329625999998,32.02305871899999,30.021530446,31.021477869,30.779669685000002,26.349074942,28.789429363000004,27.005061662,25.871123407999995,26.174049291000003,26.768663095,26.277060396000003,26.497298813999997,30.489190811,32.094048694,32.659843945,30.146773762000002,29.282072114,29.151687097,31.499201534999997,30.492987320000005,28.872519964000002,29.662908684,27.61779366,25.826538418,24.469629293
Nitrous oxide,2.1083169789999996,1.975960976,2.074688061,2.176463791,2.246415331,2.2054408519999993,2.385068292,2.274828341,2.338480258000001,2.3219807100000005,2.416008544,2.2525263600000005,2.438925803,2.4597789270000003,2.3939884380000005,2.4561268019999996,2.42062407,2.390455832,2.331422471999999,2.1165041209999997,2.240385473,2.32847251,2.137704994,2.307937712,2.3481872839999998,2.2253291539999998,2.3155919750000002,2.206103382,2.139275642,2.069083952,1.9451747560000001
Fluorinated gases,1.1216696395999997,0.9512297952,0.923825052,0.8899355540000001,0.8522365840000001,0.909628821,0.9869100009999999,0.951320346,0.861501842,0.900982666,0.9269074369999999,0.6997882270000001,0.846499159,0.7802295229999999,0.7334976190000001,0.7667399249999999,0.756500239,0.8798897910000001,0.850011424,0.8803024279999999,0.7813084760000002,0.884479671,0.7459130782999999,0.849224282,0.7174471430000001,0.730947672,0.731565183,0.723314073,0.718705916,0.729708606,0.7364032130000001
Total,142.3201865006,134.3876621322,137.17663445999997,131.06183264,138.35871318899996,136.33422263100002,143.622179817,146.77522051699998,149.50510996900002,152.745875605,145.39070010700001,137.22722606399998,147.995186618,143.60669215599998,141.55231747599998,143.878965984,144.03282276399997,145.27700961099998,145.318097377,125.552233063,135.69858672099997,130.78228867700005,125.22857663830001,128.003916879,136.136655273,127.98543527800001,127.01013499200002,125.83590241599998,122.23276683600001,117.89217048100001,107.020187706
