"New York Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,209.90474280700002,201.10233946499994,201.014434882,194.03346069700007,192.61038656000002,198.03815364199994,199.61794441800006,202.122276884,202.11746955700002,203.84956479800002,210.294269913,207.53099114699998,204.034520658,212.63952372600002,217.29947075700005,213.830997076,196.81136315999998,202.96694978400006,189.71016104599997,174.849970912,183.61289886499995,175.76074013699994,168.164464782,168.48115938599992,173.78281113000003,172.06342002399995,166.85772414500002,162.65101838700002,169.73934718300006,167.337405135,145.122945114
Methane,15.014889402000001,14.982052712000002,14.678210984000001,14.538580834999998,14.584358488,14.133944216,13.959056082,14.146898612,14.143048741,14.076670229000001,14.230537184,13.760805451000001,13.922730837000001,14.298299747,13.910923727,14.025493792000002,13.931893235,14.259080793999999,14.148913385,13.597532934,13.103509987,12.947490712,13.118069217999999,12.865481392,13.193329953,13.178807355,12.972478198,13.010527148000001,13.209971813,13.090848908000002,13.574824891
Nitrous oxide,8.195358724,8.072599393,8.539195105,8.336732442,8.688731035,8.432605535,9.089937794999999,8.682262427,9.111653758000001,8.798493975,9.130572792999999,8.365683733999997,8.673120951999998,8.735573421000002,8.726832373999999,8.202401586999999,8.518769238,7.783902851000001,7.804069901999999,7.589817644000002,7.900483819,7.747973072000001,7.453402107999999,7.808254843,7.4595986430000005,7.4372033250000005,7.201174823000001,7.095041477,7.216770561000001,7.263453778000001,6.790990247000002
Fluorinated gases,2.1176275769999995,1.8564113310000003,1.8519311549999997,2.0168191630000005,2.358438686,3.2466869779999996,3.9421735699999996,4.412119126,4.696827511999999,5.134535843,5.419578426,5.299163083,5.521059786999999,5.6679875069999985,5.893967827000001,6.108685957999999,6.369725477,6.854526441999999,7.158894338,7.960292205000002,7.92360455,9.725248918,8.491426994,9.535894212,7.754318423000001,7.763312806999999,7.761872778000001,7.711565036,7.758587492,7.9249163309999995,7.99237174
Total,235.23261851,226.01340290099995,226.08377212599999,218.92559313700008,218.241914769,223.85139037099992,226.60911186500005,229.363557049,230.068999568,231.859264845,239.074958316,234.95664341499997,232.15143223399997,241.341384401,245.83119468500007,242.16757841299997,225.63175110999998,231.86445987100007,218.82203867099997,203.997613695,212.54049722099992,206.18145283899995,197.227363102,198.6907898329999,202.190058149,200.44274351099997,194.79324994400002,190.468152048,197.92467704900008,195.616624152,173.481131992
