"Connecticut Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,42.66474598999999,41.922905822999994,41.905599235999986,39.532588498,38.956966725,38.16778977299999,40.788652017,44.365551886000006,41.531187327000005,42.29153582799999,44.629806312999996,43.027172324999995,41.172722658000005,44.72602513099999,46.75920348100001,44.93103541499999,42.875969606,41.944770914,38.63601824,37.313799833,37.556254508,36.283461333000005,35.058348263000006,35.502330209,35.915045436999996,37.107585684,34.773802431,34.119958032,37.789606954999996,37.114465255999995,34.345992898999995
Methane,1.4593453010000002,1.4168687309999999,1.3757370740000001,1.3579575609999999,1.342483599,1.298580869,1.267382889,1.204226545,1.165884652,1.160609744,1.164150888,1.105475676,1.134435742,1.049603353,1.029790082,0.9813775250000001,0.949972166,0.939471928,0.907709865,0.9310641219999999,1.1680419679999998,0.977716352,0.9368617830000001,0.970954005,0.9485923810000001,0.9584731750000002,0.9229903880000001,0.9230502319999999,0.940256263,0.957126084,0.931559504
Nitrous oxide,1.0778836770000002,1.0974872569999998,1.114109284,1.122092694,1.16379561,1.1683323670000003,1.1937400130000002,1.1966589719999998,1.1720288889999997,1.15100726,1.177868159,1.1292028170000001,1.103671362,1.1007049210000002,1.075477499,0.991474416,1.022337161,0.9350544020000001,0.927401283,0.893776033,0.906025874,0.8673393059999999,0.8480761709999998,0.846604187,0.7996566369999999,0.745554482,0.716453737,0.701626412,0.713391449,0.711283347,0.6815936459999999
Fluorinated gases,0.08298363489999999,0.082924633,0.09516627000000001,0.13139462699999999,0.20602710200000002,0.362325508,0.47499968900000006,0.57826526,0.648608048,0.732904138,0.7980911049999999,0.859984484,0.9096120270000001,0.9529229669999999,0.9885061319999998,1.0328724249999999,1.092255526,1.160075433,1.2441413410000002,1.414033831,1.4315191360000001,1.6449636650000001,1.3938354698000002,1.58836254,1.337241551,1.389432881,1.3773108399999998,1.3709377870000001,1.369583133,1.394213646,1.417295258
Total,45.2849586029,44.52018644399999,44.49061186399999,42.14403338,41.669273036,40.99702851699998,43.724774608,47.34470266300001,44.517708916000004,45.33605696999999,47.769916464999994,46.121835301999994,44.32044178900001,47.829256371999996,49.852977194000005,47.93675978099999,45.940534459000006,44.97937267700001,41.715270729000004,40.552673819,41.061841486,39.773480656000004,38.23712168680001,38.908250941,39.00053600599999,40.201046222,37.790557396000004,37.11557246300001,40.8128378,40.17708833299999,37.376441307
