"Missouri Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,107.73276215,108.10391973699997,107.80785755000001,105.68821284799999,113.87235197500003,120.37967821000001,125.80171381699998,129.48217766100004,131.466946367,131.36174139,131.97720862199998,137.15989976100005,138.27988326500002,145.07745778499998,146.404799864,149.41750440200002,148.23843124300004,146.38826304299997,142.89594861499995,136.84812071899998,142.99686123799998,143.07267600100002,136.285873388,141.182266614,141.28547553800004,131.82277076,125.30250914000001,131.29103008599995,131.93822482499996,123.99481110599999,116.08774468900002
Methane,13.115022348,13.269464233,13.291840116,13.292746845,13.618763567,13.344467333,13.484173992999997,13.135987983000003,12.805018014,12.436931695,12.152802288000002,12.033027073200001,11.955121518999999,12.157124188000001,11.912139121000001,11.802597192,12.0775232416,11.7998652818,11.477479488300002,11.4186315973,12.2154392104,10.972433138000003,10.906748251999998,10.475177616,10.704366636,10.795837063999999,11.039068527,11.560395832,11.798072054999999,11.664554454000001,11.753407914
Nitrous oxide,16.939986583,15.148667694,14.680664911000001,16.706491327000002,15.410352485999999,16.032723472,17.164130513999996,16.453819956,16.841630153999997,14.920597827000003,15.850473773,17.415784362,16.640454258999995,16.626417546000003,16.611840592999997,15.391453784,15.068993568000002,15.828069492000001,16.396985742,16.079716025,16.754538938,15.641729427000005,14.473305903999998,17.384320948,17.199561198000005,17.876279063,16.518865551999998,16.402906567000002,16.822451486,16.987561519999996,15.70526129
Fluorinated gases,2.5983810260000006,2.333726925000001,2.401213197,2.440019563000001,2.5011801730000003,2.878962363,3.3350777739999997,3.429710962000001,3.3290286620000007,3.432054265,3.030981037,2.8007818270000007,3.1356041049999996,3.11701138,3.1518805919999995,3.2412162110000007,3.299250472,3.459080384000001,3.5101947259999995,3.014212363,3.8133595250000005,3.631583645999999,3.8917256910000004,3.5193020320000006,3.452985598,3.5965189100000003,3.251026816,3.172979148000001,3.3490834419999995,3.6780434990000006,3.4936357819999997
Total,140.386152107,138.85577858899998,138.181575774,138.127470583,145.40264820100003,152.635831378,159.78509609799997,162.50169656200003,164.44262319700002,162.151325177,163.01146572,169.40949302320007,170.011063148,176.978010899,178.08066017,179.852771589,178.68419852460005,177.47527820079998,174.28060857129995,167.3606807043,175.7801989114,173.31842221200003,165.557653235,172.56106721000003,172.64238897000004,164.091405797,156.11147003500002,162.42731163299996,163.90783180799997,156.324970579,147.04004967500003
