"Kentucky Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,122.945119927,122.044577228,125.770402177,135.70475999599998,133.955427935,138.57550247499998,140.219009398,144.46338549200001,143.10067625800002,147.37653489800007,148.62558114700005,151.92075954,151.98697033200003,149.80224432500003,155.37763107299998,156.991229927,159.97925383800006,158.385877622,156.26900651800005,146.39906076200003,154.64421025399997,152.989721846,143.696704511,142.319381278,143.311257394,133.61117827099997,128.15814583500003,118.35940359100002,123.731151015,116.356560922,103.048357849
Methane,15.939558568999999,16.045313787,16.853862467,17.075502804999996,17.547711894,17.026986325,16.143877512,18.146878468999997,17.048481496,16.452988582699998,16.16478858,16.161344934,15.735314311,15.647080323700001,15.573751829299999,15.1956778202,16.140062703999995,16.700072679999998,17.343972983999997,18.0931275061,17.7346436127,16.610658514,15.116819790000001,15.655224325999999,14.551118005,14.729799171,13.299974962999999,13.827530672,13.893537366,13.409694986000002,12.697159198000001
Nitrous oxide,6.904963955000001,6.564161774,6.951779002000002,7.063214317000001,7.0735566080000005,7.264704278000002,7.6977213639999995,6.95024904,7.579483163000001,6.7367894600000024,7.516710928,7.733565137,7.541284081,7.949532817,7.825950230000001,6.983263235,7.772354581,6.9762521060000005,6.918689046000001,7.8005136140000015,7.386918112,7.847702045000001,7.230445986,7.970525742,8.016757749,8.241084008,7.633841803000001,7.388138498,7.655538944000001,7.650123701,6.9341257689999996
Fluorinated gases,28.184132025500002,25.350844902000006,27.368864168,25.627290091000003,25.117488389000002,26.407230787000003,25.927210605,25.120611065,32.045830376,25.455725456,23.623164029999998,16.524514857000003,18.195599799000004,11.700307498,14.830341924,13.417706867,11.537709541,13.269282201,10.495504150000002,5.948437969,7.426345977999999,10.758995871000002,7.024151477,7.989001062999998,9.073215979,7.961294773999999,6.351323963999999,8.612128526,6.976678637999999,7.466918035999999,6.294161292999999
Total,173.97377447649998,170.00489769100002,176.94490781399998,185.47076720899994,183.69418482599997,189.274423865,189.98781887899997,194.681124066,199.774471293,196.02203839670008,195.93024468500005,192.34018446800002,193.45916852300002,185.09916496370005,193.60767505629997,192.5878778492,195.42938066400006,195.33148460900003,191.02717269800007,178.24113985110003,187.19211795669997,188.207078276,173.068121764,173.934132409,174.952349127,164.54335622399998,155.44328656500002,148.187201287,152.256905963,144.88329764500003,128.97380410899999
