"Georgia Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,141.24564997900004,132.75597413999998,132.04946875599998,141.806774309,145.29281970600002,153.55685616599996,156.208272981,158.64998155700002,160.91797018100004,163.47489226599998,172.22334442699997,164.39955726299996,170.15306802299997,172.734895526,175.75855246000003,186.50332272799997,182.41350971000003,185.435958606,173.29480406,161.10426754699998,170.63606559299998,154.28669447700003,137.72754756400002,139.445046612,144.795494499,143.93747089,142.00377272600002,139.60121569100002,139.934633017,133.62684341100004,115.785562812
Methane,10.236977974,10.55136039,10.756671293,11.244826316,11.011020432999999,10.999343434,10.840536557,11.095474475,10.988478683,10.936870669000001,10.846329093,10.482482112,10.591337888,10.798364661,10.580561848999999,10.262447143,10.32970056,10.360698633,10.230465424000002,10.164599689,10.767814972,9.724814997,10.046128123999999,10.502833749,10.7146133,10.49307397,10.531159297999999,10.73871714,11.274307682,11.551039547,11.779767381
Nitrous oxide,8.041246122,8.336885651000001,8.511136708999999,8.34392216,9.297338235,9.17330457,9.304000744,9.529360017000002,9.347486295,9.208620504999999,9.3091591,8.677830351999997,9.260430465000002,8.927997122,9.044315755,8.820707567,8.605744421,8.859495427,7.76484314,7.744677926,7.60093585,7.292411614,7.179859308999999,7.320149472999999,6.984629247999999,6.992141685999999,6.880348982999999,6.545125168999999,6.5244328430000005,6.053436141999998,5.5922908520000005
Fluorinated gases,0.6020879519999999,0.5836441560000001,0.6278041350000001,0.7827730669999999,1.105586134,1.763273192,2.225147677,2.671862473,2.94700836,3.311126711,3.602302508,3.873540922,4.021173297,4.162820968999999,4.277273305,4.401103072000001,4.625595151000001,4.897962934000001,5.1966393900000005,6.173050631,4.664360215,4.166161504,5.3806807569999995,5.3710048100000005,6.0919578020000005,6.287966365999999,6.403303793,6.4770230359999985,6.582565463,6.7896602869999985,7.034954861
Total,160.12596202700004,152.22786433699997,151.94508089299998,162.178295852,166.70676450800002,175.49277736199997,178.577957959,181.94667852200004,184.20094351900008,186.931510151,195.98113512799998,187.43341064899997,194.02600967299998,196.62407827799998,199.66070336900003,209.98758051,205.97454984200002,209.55411560000002,196.486752014,185.18659579299998,193.66917662999998,175.47008259200004,160.334215754,162.63903464399996,168.586694849,167.710652912,165.81858480000002,163.362081036,164.31593900500002,158.02097938700004,140.19257590599997
