"Nevada Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,31.302375943999998,33.292725839999996,34.228335381,34.45579212399999,36.556105824999996,35.67503576200001,38.301612535000004,38.446525363,41.660013510000006,42.18047043000001,46.09585881099999,45.412508414,42.38062058900002,44.863474548999996,48.955368494999995,51.322869366,42.37423752099999,42.04333134000001,41.333896943,39.891116609,41.35252022099999,37.927739461,37.95652987899999,39.674101681,40.44809040599999,38.547796061,39.606763552,39.62089057800001,40.77173807099999,41.263455459999996,36.751457821
Methane,2.417837272,2.517440625,2.4726578310000003,4.665512926,4.631050558,4.508599617,4.3342845070000005,4.129897688,3.854254886,3.8193927820000004,3.771043609,3.6906809779999996,3.5825769970000003,3.627461363,3.662426225,3.6644082080000002,3.581618717,3.4553442999999997,3.35407356,3.292187777,1.9547763800000002,1.8673613919999998,2.1017943729999997,2.033502155,2.1072492599999997,2.0146084230000003,2.071494191,1.9483863879999996,2.111562184,2.24957237,2.272627188
Nitrous oxide,1.5945234469999998,1.6193591290000002,1.653214141,1.9173723639999998,1.709175943,1.882839374,1.9389317910000001,2.009915916,2.24410988,1.863228492,1.971454754,1.897911074,1.9239231509999997,2.042363046,2.133250832,2.247204479,1.9050468660000002,1.7046975350000002,1.778234661,2.002422242,1.9532193919999998,1.8814664239999999,1.651289079,1.818478641,1.974060193,2.137112376,1.8787130310000002,1.86226783,1.896992712,1.938569308,1.792645686
Fluorinated gases,0.25337658860000006,0.24412315749999997,0.246740169,0.257746585,0.28267114299999996,0.34552412299999996,0.395894663,0.45058155499999997,0.4796317519999999,0.5401348229999999,0.581829343,0.6298987890000001,0.6637755930000001,0.705748931,0.7471874329999999,0.7966585840000001,0.8567979569999999,0.935138011,1.018361205,1.065417467,0.958787708,0.469729749,1.135640449,1.011244274,1.1837998520000002,1.2175598509999999,1.233853142,1.249456081,1.278864255,1.3101480269999999,1.3425273190000004
Total,35.568113251599996,37.6736487515,38.600947522,41.29642399899999,43.179003468999994,42.411998876000006,44.970723496000005,45.036920521999996,48.238010028000005,48.40322652700001,52.420186517,51.630999255000006,48.550896330000015,51.239047889,55.498232984999994,58.03114063699999,48.717701060999985,48.13851118600001,47.484566369,46.25114409500001,46.219303700999994,42.146297026000006,42.845253779999986,44.537326751,45.713199710999994,43.91707671099999,44.790823915999994,44.68100087700001,46.05915722199999,46.761745164999994,42.159258014
