"Hawaii Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,18.026688437,15.837015863,17.411038759999997,16.485067205000007,17.570545397,17.682461970000006,17.719285144999997,17.417478546999995,17.511683357,16.546354825999995,17.048749248000007,16.760300003999998,17.756390093000004,17.573224880000005,18.323886451000003,19.419604372000002,19.881893155,19.02201663,17.455286770999997,16.587266951999997,17.191011964,17.475325436000002,16.927801205999994,17.032168810000005,17.002343444999994,17.041897258,17.024789501,17.378395854999997,17.024371716,17.386204785999997,13.40173981
Methane,1.417146182,1.343595406,1.25337882,1.251690105,1.230159606,1.178279012,1.1514640959999998,1.070175088,0.991731066,0.935258237,0.9209091739999999,0.901005227,0.886883409,0.884028155,0.897810239,0.8821305789999999,0.856298779,0.857927374,0.797215769,0.759458314,0.8014721659999999,0.816765902,0.856905134,0.784064141,0.764681131,0.7584342179999999,0.7003510930000001,0.714724003,0.6894076339999999,0.695012109,0.6696241119999999
Nitrous oxide,0.6197231458,0.6367590751999999,0.6381347654,0.6438412427,0.6443131988999999,0.6485058271,0.6433888852999998,0.6400282265999999,0.6383384777999999,0.6407626870000002,0.6467152033,0.6203936097999999,0.6132031481,0.6189166987,0.6221249196,0.6162043810000001,0.6320882491,0.631544868,0.6043989828,0.5903775178999999,0.5779367024,0.5821567826000001,0.5760439061000001,0.5689301310000001,0.5653962683,0.5583744871000001,0.5612639248,0.5604605118,0.5604948256000001,0.5621117266000001,0.5440328219
Fluorinated gases,0.0292788316,0.029358328600000004,0.034516331,0.053601268,0.09148956899999999,0.168198772,0.22251922399999996,0.272841576,0.306307241,0.33989065399999996,0.366376306,0.393940074,0.41506802100000006,0.43424822199999996,0.45393761099999996,0.475178691,0.504842289,0.534039449,0.571150304,0.6132115919999999,0.6499079910000001,0.6610907629999999,0.6737329761,0.6818106610000002,0.704148008,0.729643124,0.7319147869999999,0.727604312,0.7307673480000001,0.745435655,0.7531943639999997
Total,20.092836596399998,17.8467286728,19.337068676399998,18.43419982070001,19.536507770900002,19.677445581100006,19.736657350299996,19.400523437599993,19.4480601418,18.462266403999994,18.982749931300006,18.675638914799997,19.6715446711,19.510417955700007,20.297759220600003,21.393118023,21.8751224721,21.045528321,19.428051826799997,18.550314375899994,19.2203288234,19.5353388836,19.034483222199995,19.066973743000005,19.036568852299993,19.0883490871,19.018319305800002,19.381184681799997,19.0050415236,19.3887642766,15.3685911079
